q_lo,q_hi,gap_lo,gap_hi,n,k,p,ci_lo,ci_hi
0.0,0.1,0.11677224147652965,3.96500318191263,1000,26,0.026,0.01780381535792082,0.0378240845019774
0.1,0.2,3.96500318191263,5.892286493887871,1000,67,0.067,0.05310169229975138,0.08421240187606284
0.2,0.30000000000000004,5.892286493887871,7.694544445490408,1000,105,0.105,0.08748748752043772,0.1255357623628108
0.30000000000000004,0.4,7.694544445490408,9.641787105666408,1000,151,0.151,0.13014576187205482,0.1745254133412458
0.4,0.5,9.641787105666408,11.970846592444014,1000,143,0.143,0.12266696873653779,0.16606543685414507
0.5,0.6000000000000001,11.970846592444014,14.771907533902386,1000,168,0.168,0.14610756799568436,0.192433492665679
0.6000000000000001,0.7000000000000001,14.771907533902386,18.483477228850028,1000,203,0.203,0.17922776346679883,0.22904541429351719
0.7000000000000001,0.8,18.483477228850028,23.931956172130725,1000,275,0.275,0.24822539918582381,0.303496705178052
0.8,0.9,23.931956172130725,33.83496430909626,1000,409,0.409,0.378931880862837,0.43976461467988615
0.9,1.0,33.83496430909626,276.9953096281146,1000,531,0.531,0.5000096789361564,0.5617530533514875
