group,n,stable_n,stable_ratio,lockin_n,lockin_ratio,eps
I <= 1e-12,0,0,,0,,1e-12
I > 1e-12,10000,4745,0.4745,1974,0.1974,1e-12
I <= 1e-09,0,0,,0,,1e-09
I > 1e-09,10000,4745,0.4745,1974,0.1974,1e-09
I <= 1e-06,0,0,,0,,1e-06
I > 1e-06,10000,4745,0.4745,1974,0.1974,1e-06
I <= 0.001,0,0,,0,,0.001
I > 0.001,10000,4745,0.4745,1974,0.1974,0.001
I <= 0.01,0,0,,0,,0.01
I > 0.01,10000,4745,0.4745,1974,0.1974,0.01
I <= 0.05,5,2,0.4,0,0.0,0.05
I > 0.05,9995,4743,0.47453726863431717,1974,0.19749874937468734,0.05
I <= 0.1,74,20,0.2702702702702703,2,0.02702702702702703,0.1
I > 0.1,9926,4725,0.47602256699576867,1972,0.19867015917791658,0.1
