universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
0,2469741251,2.916862112377791,0.0,2.916862112377791,0,0,-1,-1,,,0,0.0,0.0,0.0,2.916862112377791,1.0705084194147891,1.0705084194147891,0.0363,0.0363,
1,2614074762,14.377240281930971,0.0,14.377240281930971,1,1,489,772,,,0,0.0,0.0,0.0,14.377240281930971,2.6656464202403503,2.6656464202403503,0.5873,0.5873,
2,143625954,4.239092971937647,0.0,4.239092971937647,0,0,-1,-1,,,0,0.0,0.0,0.0,4.239092971937647,1.44434932464677,1.44434932464677,0.0959,0.0959,
3,1965758871,70.5062332515721,0.0,70.5062332515721,1,0,869,-1,,,0,0.0,0.0,0.0,70.5062332515721,4.255701120825785,4.255701120825785,0.9879,0.9879,
4,1763776122,7.047377516929553,0.0,7.047377516929553,0,0,-1,-1,,,0,0.0,0.0,0.0,7.047377516929553,1.952655564207079,1.952655564207079,0.2484,0.2484,
5,3501105305,23.784435947094817,0.0,23.784435947094817,1,0,279,-1,,,0,0.0,0.0,0.0,23.784435947094817,3.169031414954985,3.169031414954985,0.8032,0.8032,
6,2137154916,5.97987675945376,0.0,5.97987675945376,0,0,-1,-1,,,0,0.0,0.0,0.0,5.97987675945376,1.788399958963347,1.788399958963347,0.1889,0.1889,
7,164031904,14.909103340604753,0.0,14.909103340604753,1,0,446,-1,,,0,0.0,0.0,0.0,14.909103340604753,2.701971988846598,2.701971988846598,0.604,0.604,
8,2303243829,21.21771269047986,0.0,21.21771269047986,1,0,985,-1,,,0,0.0,0.0,0.0,21.21771269047986,3.054836337106532,3.054836337106532,0.7598,0.7598,
9,4225349193,17.027693281701158,0.0,17.027693281701158,1,1,382,898,,,0,0.0,0.0,0.0,17.027693281701158,2.83484103521865,2.83484103521865,0.6667,0.6667,
10,565856940,30.983448140367713,0.0,30.983448140367713,1,0,607,-1,,,0,0.0,0.0,0.0,30.983448140367713,3.4334531309374072,3.4334531309374072,0.8809,0.8809,
11,340507356,4.8704200865671945,0.0,4.8704200865671945,0,0,-1,-1,,,0,0.0,0.0,0.0,4.8704200865671945,1.5831801934499166,1.5831801934499166,0.1269,0.1269,
12,3879627360,14.542572548367698,0.0,14.542572548367698,0,0,-1,-1,,,0,0.0,0.0,0.0,14.542572548367698,2.6770803855040164,2.6770803855040164,0.5925,0.5925,
13,4258023331,4.2221724503351865,0.0,4.2221724503351865,0,0,-1,-1,,,0,0.0,0.0,0.0,4.2221724503351865,1.4403497942424148,1.4403497942424148,0.0945,0.0945,
14,523840857,25.175689599416316,0.0,25.175689599416316,0,0,-1,-1,,,0,0.0,0.0,0.0,25.175689599416316,3.2258788304605406,3.2258788304605406,0.8221,0.8221,
15,3873034047,25.379960358280492,0.0,25.379960358280492,1,1,600,717,,,0,0.0,0.0,0.0,25.379960358280492,3.2339599003575787,3.2339599003575787,0.8244,0.8244,
16,649556128,11.512289571101485,0.0,11.512289571101485,1,1,441,842,,,0,0.0,0.0,0.0,11.512289571101485,2.4434151231170884,2.4434151231170884,0.4687,0.4687,
17,1640261166,4.4943754053481175,0.0,4.4943754053481175,0,0,-1,-1,,,0,0.0,0.0,0.0,4.4943754053481175,1.5028267050649369,1.5028267050649369,0.108,0.108,
18,2126573944,15.815563157919165,0.0,15.815563157919165,1,1,340,586,,,0,0.0,0.0,0.0,15.815563157919165,2.760994465223855,2.760994465223855,0.6327,0.6327,
19,1913638111,7.440239558603786,0.0,7.440239558603786,0,0,-1,-1,,,0,0.0,0.0,0.0,7.440239558603786,2.006903047063835,2.006903047063835,0.2685,0.2685,
20,2533952413,4.036631282273551,0.0,4.036631282273551,0,0,-1,-1,,,0,0.0,0.0,0.0,4.036631282273551,1.3954105031131088,1.3954105031131088,0.0851,0.0851,
21,3157728816,11.105762128065258,0.0,11.105762128065258,0,0,-1,-1,,,0,0.0,0.0,0.0,11.105762128065258,2.407464084263573,2.407464084263573,0.4501,0.4501,
22,897627551,26.700435010779305,0.0,26.700435010779305,1,1,273,710,,,0,0.0,0.0,0.0,26.700435010779305,3.28467985781207,3.28467985781207,0.8401,0.8401,
23,509888313,6.028583291001952,0.0,6.028583291001952,0,0,-1,-1,,,0,0.0,0.0,0.0,6.028583291001952,1.7965120396866283,1.7965120396866283,0.192,0.192,
24,3227974476,16.832858626581164,0.0,16.832858626581164,1,1,509,824,,,0,0.0,0.0,0.0,16.832858626581164,2.823332846814506,2.823332846814506,0.6619,0.6619,
25,1472794951,11.119089725982255,0.0,11.119089725982255,1,0,582,-1,,,0,0.0,0.0,0.0,11.119089725982255,2.4086634262976236,2.4086634262976236,0.4511,0.4511,
26,1157110311,74.90703111581591,0.0,74.90703111581591,1,1,262,463,,,0,0.0,0.0,0.0,74.90703111581591,4.316247759492737,4.316247759492737,0.9907,0.9907,
27,1545447511,6.764850038276021,0.0,6.764850038276021,0,0,-1,-1,,,0,0.0,0.0,0.0,6.764850038276021,1.9117400940861473,1.9117400940861473,0.2313,0.2313,
28,3999084438,8.896201161977471,0.0,8.896201161977471,1,1,690,933,,,0,0.0,0.0,0.0,8.896201161977471,2.1856243498850367,2.1856243498850367,0.3427,0.3427,
29,358848050,5.000047450670633,0.0,5.000047450670633,0,0,-1,-1,,,0,0.0,0.0,0.0,5.000047450670633,1.6094474025233958,1.6094474025233958,0.1332,0.1332,
30,4009535162,20.116331125187315,0.0,20.116331125187315,0,0,-1,-1,,,0,0.0,0.0,0.0,20.116331125187315,3.001531978961093,3.001531978961093,0.7391,0.7391,
31,2161927360,7.007337309792862,0.0,7.007337309792862,0,0,-1,-1,,,0,0.0,0.0,0.0,7.007337309792862,1.946957787204188,1.946957787204188,0.2463,0.2463,
32,4108469933,15.189660941605112,0.0,15.189660941605112,1,0,886,-1,,,0,0.0,0.0,0.0,15.189660941605112,2.720614995200306,2.720614995200306,0.6121,0.6121,
33,662946000,10.91083466049726,0.0,10.91083466049726,0,0,-1,-1,,,0,0.0,0.0,0.0,10.91083466049726,2.389756301089011,2.389756301089011,0.4424,0.4424,
34,2556332373,9.069752291286871,0.0,9.069752291286871,1,1,481,801,,,0,0.0,0.0,0.0,9.069752291286871,2.204944952980987,2.204944952980987,0.3521,0.3521,
35,4178553583,4.429433392376925,0.0,4.429433392376925,0,0,-1,-1,,,0,0.0,0.0,0.0,4.429433392376925,1.4882716734790755,1.4882716734790755,0.1045,0.1045,
