universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,cold_min_z,cold_mean_z_topk,cold_count,cold_sigma_best,cold_flag,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
0,1680273794,8.898921717059586,0.4565308139737378,3.6563687774800067,1,0,747,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,8.44239090308585,2.1859301140117364,1.2964705176190174,0.3443,0.49,0.851386443417759
1,518373578,3.4262683176516378,0.37493186627037955,1.156155457212182,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,3.051336451381258,1.2314717148891225,0.14510023976687095,0.0567,0.0926,1.0167796464634213
2,4011777289,2.8387929607540747,0.4458553831720966,1.1391220109369329,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,2.392937577581978,1.043378948010507,0.13025779983240804,0.0341,0.0885,1.0179064368118818
3,160001977,17.090020675327757,0.13724253829646343,2.1109300353189195,1,0,994,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,16.952778137031295,2.838494706917801,0.747128625408333,0.6636,0.256,0.9536197455143582
4,3914335828,23.379479320312655,0.3115699850834442,6.555909620779655,1,0,933,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,23.06790933522921,3.151858685492841,1.8803668750606066,0.7959,0.7502,0.6595770711744025
5,2804844387,39.75774672537891,0.402225725771062,14.392429678473835,1,1,345,974,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,39.35552099960785,3.6828047082855773,2.6667023515718604,0.9326,0.9461,0.14117844391855708
6,3281222027,5.5990109982450695,0.3031492417021542,1.5276023445600126,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,5.295861756542916,1.7225899746881115,0.42369941116839505,0.1628,0.1528,0.99220782694635
7,1653460506,7.189442946433306,0.47096067951973575,3.0473504418785407,1,0,839,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,6.71848226691357,1.9726136925749589,1.114272505493745,0.2507,0.4108,0.8916740030520204
8,895415874,9.189737346506597,0.2631997295595125,2.1768627458911394,1,0,841,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,8.926537616947085,2.21808735560091,0.7778847329024806,0.3593,0.2675,0.9492581888029278
9,150610246,39.55654169986797,0.19292195712783292,6.868192897752538,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,39.36361974274014,3.6777310838197135,1.926901029092987,0.9313,0.7684,0.6389190213122378
10,3108183630,18.51945668478046,0.45287515133628814,7.548301573907206,1,0,293,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,18.06658153344417,2.9188218921128373,2.021322580856039,0.6989,0.8011,0.5939287193022013
11,4090566735,21.42311022139025,0.5090418600532411,9.814733887699886,1,1,550,614,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,20.91406836133701,3.0644702562244728,2.283884714543839,0.7613,0.877,0.4440005124465524
12,2610715892,8.828982159033101,0.4204572690406989,3.3409887542965,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,8.408524889992403,2.178039737194117,1.2062667973999335,0.3401,0.4514,0.8722493481099666
13,2065525152,16.493917105238147,0.4740523379409684,7.037081968988406,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,16.01986476729718,2.802991652646088,1.951193591202688,0.6462,0.7781,0.6277467328420223
14,3147134535,17.9554161224355,0.236639350029524,3.824062200650496,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,17.718776772405977,2.887891803262261,1.341313260917614,0.6856,0.5115,0.8402932490238952
15,3233750701,3.657874078542992,0.46712210897041917,1.5378064685255082,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,3.190751969572573,1.2968821257960683,0.43035702995805797,0.0654,0.1552,0.9915328074457149
16,400808998,23.41041796502744,0.22472504890030837,4.734816589770705,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,23.185692916127135,3.1531811354668213,1.5549429908871262,0.7963,0.6095,0.780045355620803
17,4285081314,9.853400624673618,0.34981476689639496,3.102178538391295,1,0,712,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,9.503585857777223,2.2878166366857253,1.132104618995006,0.3926,0.4182,0.8880470347347051
18,2767140977,14.601229488287508,0.13462461225509645,1.7691163724775474,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,14.466604876032411,2.6811057366953093,0.570480197343263,0.588,0.1949,0.9762312787318713
19,3277493356,17.248093630917314,0.4535619106056201,7.040770471389137,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,16.794531720311692,2.847701623220567,1.951717606140443,0.6672,0.7782,0.6275027323715212
20,2602577620,20.73876045861004,0.38533284217783326,7.192192959685325,1,1,349,857,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,20.353427616432207,3.0320044352781657,1.972996126576694,0.749,0.7848,0.6174858869490002
21,2095838950,2.382976140076864,0.3552604025042369,0.7619193564135297,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,2.027715737572627,0.8683501855099807,-0.27191456037303186,0.0207,0.0365,1.0428590097476458
22,3856763359,4.9000723193050275,0.4830262642279417,2.130177264156588,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,4.417046055077086,1.5892499640497137,0.7562051988677208,0.1264,0.2593,0.9523465098262635
23,2840767748,48.74357824763873,0.2833286669985485,12.429407744678633,1,0,646,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,48.46024958064018,3.8865734605133837,2.520065257137223,0.9609,0.9245,0.27103555756856346
24,1342071108,11.030473830382991,0.246503022006283,2.4471406200155643,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,10.783970808376708,2.4006617906730994,0.894920249101427,0.4493,0.3138,0.9313788650862529
25,580623142,1.9195480381756505,0.43283017868381285,0.7477544883201562,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,1.4867178594918375,0.6520897615465243,-0.2906805790545794,0.0096,0.0349,1.0437960389545904
26,1128067307,55.68003560781892,0.3728914423106127,18.686347907135286,1,1,176,868,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,55.30714416550831,4.01962165553422,2.9277931987961923,0.9715,0.9715,0.14287127443843442
27,4218894122,18.557725180814437,0.50043674983897,8.35827090650243,1,1,169,689,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,18.05728843097547,2.920886154157443,2.123251576338849,0.7003,0.8334,0.5403479223355123
28,191788520,17.44880403292664,0.42010640307147684,6.5973188701547,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,17.028697629855163,2.859271109504705,1.8866633347033006,0.6717,0.7524,0.6568377815568582
29,3144833605,4.573086809184967,0.2724021382316113,1.1211467626266856,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,4.3006846709533555,1.520188427479773,0.11435205668712979,0.1099,0.0859,1.0190955289063333
30,1594392433,9.976102890576673,0.1844115393549143,1.6557376417328291,1,0,604,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,9.79169135122176,2.300192522135462,0.5042466145071909,0.3993,0.1775,0.9837314673290235
31,2647698352,25.845890003440147,0.09425571888022943,2.192510648136228,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,25.751634284559916,3.2521515942493697,0.78504730187144,0.8289,0.2703,0.9482230544596776
32,654348744,7.079688096422768,0.38751634282587144,2.469145355526246,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,6.692171753596897,1.9572298525577807,0.903872080856648,0.2456,0.3185,0.9299232158187358
33,1055498493,5.664046300259523,0.5136162752448682,2.6182317271983955,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,5.150430025014654,1.7341385308390322,0.9624991766338344,0.1661,0.3431,0.9200609083342401
34,1668163060,12.722729879741971,0.4196020832829521,4.804635566327394,1,1,356,786,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,12.30312779645902,2.543390148073201,1.56958119486919,0.5199,0.6185,0.7754267160541424
35,816360526,6.730808165937268,0.4533678060929236,2.7463785582809828,1,0,786,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,6.277440359844345,1.9066952205389864,1.010283155922153,0.2259,0.3643,0.9115837857299057
36,586578639,26.403081094033855,0.5622415334247813,13.360417921303604,1,0,344,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,25.840839560609073,3.27348071144979,2.5922964491540186,0.8353,0.9361,0.20944771067091672
37,1386194668,30.004433340025667,0.3036061745923737,8.198578104459365,1,1,192,614,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,29.700827165433292,3.401345148744951,2.1039607373392832,0.8726,0.8277,0.5509118625477859
38,2707608736,3.7322278054778124,0.40678395422441405,1.3663893463007146,1,0,952,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,3.3254438512533984,1.3170053222472475,0.3121717471114347,0.0696,0.1275,1.0028723306263174
39,11742605,47.06623536124866,0.41318429241381094,17.502326238887473,1,1,366,876,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,46.65305106883485,3.851555872636219,2.8623338000318173,0.9565,0.9664,0.06454630328517422
40,15479450,18.334103333709393,0.33217221544503794,5.481071750300854,1,1,862,875,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,18.001931118264356,2.9087628957029517,1.701300656710253,0.6944,0.674,0.7306793554123828
41,132952998,9.560032545227743,0.3896522426117307,3.3525793086202103,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,9.170380302616012,2.2575911313701456,1.209729992455021,0.3791,0.4529,0.8714826139720699
42,1173677623,7.908399168648666,0.23168477859402564,1.6490301393793882,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,7.676714390054641,2.0679253805961393,0.5001873207787702,0.2894,0.1762,0.9841751795873651
43,2156991672,9.095481267074565,0.44161857687448447,3.6150601438386016,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,8.65386269020008,2.2077777261364138,1.2851084927723577,0.3545,0.4857,0.8541190771398528
44,3237876855,23.08666569787223,0.49181774696813885,10.218988717680721,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,22.594847950904093,3.1392552083428344,2.324247628576397,0.7927,0.8859,0.41725839383003055
45,392770962,9.426234637803383,0.3688878374442581,3.129500979703305,1,0,806,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,9.057346800359124,2.243496720808356,1.1408735604371492,0.372,0.4216,0.8862396105253435
46,2265869068,40.010528428542294,0.3253048630278103,11.714057523105534,1,0,404,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,39.685223565514484,3.689142630193656,2.4607896182843993,0.9337,0.9141,0.3183571454851998
47,2400210817,12.481103746918736,0.5643423590508149,6.339253978884676,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,11.91676138786792,2.524215800290178,1.846761092580124,0.5123,0.7369,0.6739091964696496
48,1514635820,37.91537048191265,0.43026153673204587,14.68217301238133,1,1,666,783,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,37.485108945180606,3.6353565834862396,2.6866340375983397,0.924,0.9483,0.12201144817958706
49,3402259568,19.735672301661133,0.41008908799547,7.284045469649105,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,19.325583213665663,2.982427774998313,1.9856864042470455,0.7279,0.7886,0.6114096930868438
50,1715425797,6.419804109683047,0.4347701517339106,2.512025286181993,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,5.9850339579491365,1.8593876047260807,0.921089314710939,0.2058,0.3249,0.9270866382275204
51,3568338752,15.881678961355504,0.2605648036500959,3.72438590417951,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,15.621114157705408,2.765166178275294,1.3149019803028412,0.6309,0.4986,0.8468869991681026
52,644194821,13.906591918401686,0.41736748278688673,5.223743336814996,1,1,825,919,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,13.4892244356148,2.6323629664550037,1.6532142592234906,0.5626,0.6533,0.7477020511144142
53,1661920073,16.53700840083341,0.3832494470062796,5.704019392281844,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,16.153758953827133,2.805600802670253,1.7411710828752978,0.6474,0.689,0.7159310040138056
54,2361898805,9.051876547003452,0.4355051549215775,3.5479250081403593,1,1,204,653,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,8.616371392081875,2.2029720894772793,1.266362927848917,0.3518,0.4775,0.8585601762412879
55,3628505011,15.5323609291893,0.21909521836857124,3.0627594086041743,1,0,742,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,15.31326571082073,2.7429256493788703,1.1193162771342613,0.6195,0.4131,0.8906546746844299
56,1386563615,5.606146525172998,0.3034955314802381,1.5312963772921224,0,0,-1,-1,,,,,0,,,0,0.0736,0.0704150214176747,0.2617877553612515,5.30265099369276,1.7238635896065195,0.4261146820640868,0.1633,0.1533,0.9919634606353771
