i_definition,I_value_mean,I_value_std,I_value_range
composite,0.37053665914243666,0.12602729670572588,0.5344622996984723
entanglement,0.6808120062551813,0.07304874698928863,0.3943711195063802
fisher,0.29927360238601336,0.11899695044992857,0.5267367131523879
fisher_kl_fusion,0.3464580676808248,0.08837914381219934,0.40117558668601916
jensen_shannon,0.27674783368682226,0.08988661469896705,0.3705329099486781
kl_divergence,0.4442807775189445,0.1724161447964846,0.6226405985060317
kl_shannon,0.557534325191896,0.1265488778039758,0.5878370060524792
mutual_info,0.5286552748948591,0.09216537940850626,0.37733708823059336
renyi,0.6852344229519315,0.12094095450146054,0.5402157043513438
shannon,0.833152926587594,0.06593977435257,0.26706275340653207
