i_definition,life_score_json,complexity_score_json,information_richness_json,life_planck_component,life_stability_component,life_goldilocks_component,top_universe_seed,top_universe_lock_epoch,top_universe_I
entanglement,66.6667,99.9492,100.0,0.0,100.0,100.0,3855995593,128,0.353782
shannon,66.6667,99.9536,100.0,0.0,100.0,100.0,1410277682,127,0.452856
fisher_kl_fusion,60.4555,99.9384,100.0,0.0,81.36645962732919,100.0,4106270834,141,0.130889
renyi,58.3851,99.9461,100.0,0.0,75.15527950310559,100.0,2599046780,146,0.282533
mutual_info,57.906,99.9508,100.0,0.0,73.71794871794873,100.0,2587802107,129,0.411937
kl_shannon,55.3086,99.9454,100.0,0.0,65.92592592592592,100.0,2511131491,156,0.260764
energy_only,50.0,66.5929,0.0,0.0,100.0,50.0,3795357853,122,0.0
jensen_shannon,47.5,86.0311,100.0,0.0,42.5,100.0,2529967444,144,0.069633
composite,43.0303,75.9477,91.4286,0.0,29.09090909090909,100.0,4071591939,138,0.28061
fisher,41.8519,63.9418,65.7143,0.0,25.555555555555554,100.0,4250298146,278,0.187347
kl_divergence,39.8268,53.2733,42.8571,0.0,19.480519480519483,100.0,3041242072,218,0.228259
