i_definition,planck_E,planck_I,planck_alpha,planck_chi2_total,planck_chi2_reduced,planck_score,planck_validation_chi2_mean,planck_validation_ell_span
energy_only,0.766,0.0,13.702344779539475,411389.49269163946,1074.1240018058472,12837.877817589424,418270.4871652608,
composite,0.766,0.2014820943119272,12.248937155865102,412418.56888750946,1076.8108848237846,12890.342201729567,418088.46883624006,
entanglement,0.766,0.35561377045883613,10.570600048671581,413147.3549357552,1078.7137204588907,12970.465951513286,418394.48777574755,
fisher,0.766,0.12551223181729707,14.155149699050176,411608.8509993048,1074.696738901579,12841.153720801045,417830.5515927111,
fisher_kl_fusion,0.766,0.22144225191183745,13.732629474863701,411586.40586508246,1074.6381354179698,12843.964533173976,418162.1485797496,
jensen_shannon,0.766,0.14615165516513784,13.3331036060592,412133.1355051853,1076.0656279508755,12871.92321118262,418144.84470043203,
kl_divergence,0.766,0.1484826840116873,11.537882448090054,413761.70186348335,1080.3177594346823,12973.561841990348,418394.4862766274,
kl_shannon,0.766,0.1334517566553825,16.50875201421702,411308.03550479846,1073.9113198558707,12836.761402864797,418522.4256859886,
mutual_info,0.7342794929439754,0.31760781229932566,15.423903586776643,412001.6042561085,1075.722204324043,12903.27679598829,418003.73027089034,
renyi,0.7444449642045552,0.5125870389124008,12.432940317981268,412125.48228256893,1076.0456456463942,12983.045796775035,418411.31382795365,
shannon,0.72,0.4591372678934544,13.290167385954867,412404.5065769791,1076.7741686083007,12977.060421375152,418218.8984271133,
