i_definition,total_universes,stable_count,unstable_count,lockin_count,stable_percent,unstable_percent,lockin_percent,X_peak,X_peak_uncertainty,X_low,X_high,goldilocks_width,ucb_kappa,gp_noise,bayesian_samples,BIC,AIC,log_evidence,chi_squared_reduced,complexity_score,life_compatibility_score,information_richness,run_type,power_law_exponent,correlation_strength,phase_transition_detected,n_phase_transitions,age_Gyr_mean,age_Gyr_std,age_deviation_from_planck,H0_mean,H0_std,H0_deviation_from_planck,Omega_m_mean,Omega_m_std,Omega_b_mean,Omega_b_std,Omega_k_mean,Omega_k_std,lock_epoch_mean,lock_epoch_std,lockin_efficiency,early_lockin_rate,vacuum_energy_mean,vacuum_energy_std,zero_point_energy_mean,quantum_fluctuation_mean,entanglement_entropy_mean,entanglement_entropy_std,holographic_entropy_mean,entropy_volatility_mean,entropy_volatility_std,curvature_radius_mean,topological_defect_rate,E_sensitivity,I_sensitivity,X_sensitivity,n_coldspots_mean,coldspot_depth_mean,alignment_angle_mean,alignment_angle_std,I_value_mean,I_value_std,I_value_range,life_score_json,complexity_score_json,information_richness_json,life_planck_component,life_stability_component,life_goldilocks_component,planck_E,planck_I,planck_alpha,planck_chi2_total,planck_chi2_reduced,planck_score,planck_validation_chi2_mean,planck_validation_ell_span,entropy_volatility_global_mean,entropy_volatility_global_std,entropy_volatility_max,stability_eps_slope,stability_eps_intercept,stability_zero_baseline,advanced_anomaly_sigma_mean,advanced_anomaly_sigma_max,physical_anomaly_count,cmb_gaussianity_p_mean,cmb_anisotropy_index_mean,nested_sampling_iterations,nested_logZ_final,nested_logZ_span,pre_fluctuation_pairs,unique_seed_count,top_universe_seed,top_universe_lock_epoch,top_universe_I
energy_only,0,0,0,0,100.0,0.0,100.0,14.406458042287346,0.0031884400501943247,14.406458042287346,14.406458042287346,0.0,2.0,0.0,75,411397.9896821236,411393.49269163946,-0.2777184297008382,6049.8454807594035,33.25955993622593,16.666666666666668,0.0,E-only,,,False,0,,,,,,,,,,,,,141.18857142857144,54.129197145160376,120.93714285714286,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,50.0,66.5929,0.0,0.0,100.0,50.0,0.766,0.0,13.702344779539475,411389.49269163946,1074.1240018058472,12837.877817589424,418270.4871652608,,0.027981543458505342,0.005085612197708068,0.0306286057947234,9.344142035196192e-17,1.0000000000000004,1.0,,,10,,,1000,,,175,175,3795357853,122,0.0
composite,0,0,0,0,62.857142857142854,37.142857142857146,18.285714285714285,20.74396562557802,0.0032560582480705607,17.900907187363718,21.170424391310167,3.2695172039464495,2.0,0.0,75,412431.3143732356,412424.56888750946,-0.2521540782936192,6155.501028171783,63.75720243718126,5.449195339910749,91.42857142857142,E+I,,,False,0,,,,,,,,,,,,,327.25,100.78242294266173,200.90625,0.0,,,,,,,,,,,0.0,0.1007884811709787,0.0129750796424915,0.0271784860882806,0.0,,,,0.37053665914243666,0.12602729670572588,0.5344622996984723,43.0303,75.9477,91.4286,0.0,29.09090909090909,100.0,0.766,0.2014820943119272,12.248937155865102,412418.56888750946,1076.8108848237846,12890.342201729567,418088.46883624006,,0.012090439734628866,0.0067130958202680545,0.0281417990677426,0.010276165117538856,0.7198081551413256,0.6285714285714286,3.4107465839732645,3.598706497954575,10,,,1000,,,175,175,4071591939,138,0.28061
entanglement,0,0,0,0,100.0,0.0,100.0,21.295477849900507,0.0032424000541314145,21.255317624912564,23.25663550347831,2.0013178785657466,2.0,0.0,75,413160.10042148136,413153.3549357552,-0.3167444182904304,6166.378431876943,66.61591410663202,3.3355297976095777,100.0,E+I,,,False,0,,,,,,,,,,,,,171.28571428571428,59.94267924230184,104.44,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.6808120062551813,0.07304874698928863,0.3943711195063802,66.6667,99.9492,100.0,0.0,100.0,100.0,0.766,0.35561377045883613,10.570600048671581,413147.3549357552,1078.7137204588907,12970.465951513286,418394.48777574755,,0.02397923685402442,0.005788988565470638,0.0303675352698811,9.344142035196192e-17,1.0000000000000004,1.0,,,10,,,1000,,,175,175,3855995593,128,0.353782
fisher,0,0,0,0,51.42857142857143,48.57142857142857,13.142857142857142,18.529850206585003,0.003235281202623646,16.916026047786605,19.14997708241957,2.233951034632966,2.0,0.0,75,411621.59648503095,411614.8509993048,-0.2818352644967806,6143.415686556788,55.17989578933995,3.723251724388277,65.71428571428571,E+I,,,False,0,,,,,,,,,,,,,321.04347826086956,91.64827938714674,196.7391304347826,0.0,,,,,,,,,,,0.0,0.0466251449242181,0.0177022248995779,0.0104745432602198,0.0,,,,0.29927360238601336,0.11899695044992857,0.5267367131523879,41.8519,63.9418,65.7143,0.0,25.555555555555554,100.0,0.766,0.12551223181729707,14.155149699050176,411608.8509993048,1074.696738901579,12841.153720801045,417830.5515927111,,0.011930503604317804,0.004763918631621927,0.0228687895555081,-0.00038070481693579846,0.5109056341790476,0.5142857142857142,3.618266115383627,4.2203485539367165,10,,,1000,,,175,175,4250298146,278,0.187347
fisher_kl_fusion,0,0,0,0,92.0,8.0,74.85714285714286,17.66723808335406,0.003264815392581958,17.623987656589474,20.21036317711166,2.5863755205221857,2.0,0.0,75,411599.1513508086,411592.40586508246,-0.2444290325064729,6143.08068455347,66.60506836859695,4.310625867536976,100.0,E+I,,,False,0,,,,,,,,,,,,,270.39694656488547,97.91681551110405,146.793893129771,0.0,,,,,,,,,,,0.0,0.1001350819410082,0.0926667561752544,0.0816754669704703,0.0,,,,0.3464580676808248,0.08837914381219934,0.40117558668601916,60.4555,99.9384,100.0,0.0,81.36645962732919,100.0,0.766,0.22144225191183745,13.732629474863701,411586.40586508246,1074.6381354179698,12843.964533173976,418162.1485797496,,0.015529728965451706,0.006825368802564564,0.0300752632145404,5.339509734397824e-17,0.9200000000000005,0.92,,,10,,,1000,,,175,175,4106270834,141,0.130889
jensen_shannon,0,0,0,0,68.57142857142857,31.428571428571427,29.142857142857142,16.82590104134173,0.0032367354284770526,16.82590104134173,19.071403405961156,2.2455023646194263,2.0,0.0,75,412145.88099091145,412139.1355051853,-0.2682292132414586,6151.2408284356015,66.60254458447675,3.742503941032377,100.0,E+I,,,False,0,,,,,,,,,,,,,344.3137254901961,113.25766909063216,185.05882352941177,0.0,,,,,,,,,,,0.0,0.0064391403403172,0.0276074619910809,0.0231387669263622,0.0,,,,0.27674783368682226,0.08988661469896705,0.3705329099486781,47.5,86.0311,100.0,0.0,42.5,100.0,0.766,0.14615165516513784,13.3331036060592,412133.1355051853,1076.0656279508755,12871.92321118262,418144.84470043203,,0.011671593452036612,0.006778373489833503,0.0297187597179593,-0.0016179954719772185,0.6713489452609521,0.6857142857142857,3.843703487585199,3.843703487585199,10,,,1000,,,175,175,2529967444,144,0.069633
kl_divergence,0,0,0,0,44.0,56.0,8.571428571428571,18.192065995489955,0.0032756009428802873,17.599719105012436,22.027512111331887,4.427793006319451,2.0,0.0,75,413774.4473492095,413767.70186348335,-0.269807013470778,6175.547789007214,47.55902876350748,7.379655010532418,42.857142857142854,E+I,,,False,0,,,,,,,,,,,,,377.8,67.72760568208928,220.0,0.0,,,,,,,,,,,0.0,0.013906255700599,0.0451018948200176,0.0434209084914712,0.0,,,,0.4442807775189445,0.1724161447964846,0.6226405985060317,39.8268,53.2733,42.8571,0.0,19.480519480519483,100.0,0.766,0.1484826840116873,11.537882448090054,413761.70186348335,1080.3177594346823,12973.561841990348,418394.4862766274,,0.008922887044249499,0.003009294707722732,0.0179103873013313,4.004632300798368e-17,0.44000000000000006,0.44,3.330706842863013,3.330706842863013,10,,,1000,,,175,175,3041242072,218,0.228259
kl_shannon,0,0,0,0,77.14285714285714,22.857142857142858,50.857142857142854,20.070473102229915,0.0032872202882173905,19.322413109864026,23.050245405154033,3.727832295290007,2.0,0.0,75,411320.7809905246,411314.03550479846,-0.27865552934170573,6138.925903056694,66.61207203451768,6.213053825483345,100.0,E+I,,,False,0,,,,,,,,,,,,,301.561797752809,103.89778139377924,154.76404494382024,0.0,,,,,,,,,,,0.0,0.1438796825624739,0.0044526718560768,0.0159989760611755,0.0,,,,0.557534325191896,0.1265488778039758,0.5878370060524792,55.3086,99.9454,100.0,0.0,65.92592592592592,100.0,0.766,0.1334517566553825,16.50875201421702,411308.03550479846,1073.9113198558707,12836.761402864797,418522.4256859886,,0.013629080320166465,0.006759482125636507,0.0298438664190501,1.0679019468795647e-16,0.7714285714285718,0.7714285714285715,,,10,,,1000,,,175,175,2511131491,156,0.260764
mutual_info,0,0,0,0,89.14285714285714,10.857142857142858,65.71428571428571,21.976723475120394,0.0032458432029507877,19.11929379056849,22.065402327399593,2.946108536831101,2.0,0.0,75,412014.3497418347,412007.6042561085,-0.29622822697212453,6149.277675464306,66.61743513606376,4.910180894718502,100.0,E+I,,,False,0,,,,,,,,,,,,,283.17391304347825,113.33154752485443,143.23478260869564,0.0,,,,,,,,,,,0.0,0.1211009088239769,0.0174028274638045,0.0352902692812652,0.0,,,,0.5286552748948591,0.09216537940850626,0.37733708823059336,57.906,99.9508,100.0,0.0,73.71794871794873,100.0,0.7342794929439754,0.31760781229932566,15.423903586776643,412001.6042561085,1075.722204324043,12903.27679598829,418003.73027089034,,0.015227712615445017,0.0076646304408351015,0.0302365948364561,5.339509734397824e-17,0.8914285714285718,0.8914285714285715,,,10,,,1000,,,175,175,2587802107,129,0.411937
renyi,0,0,0,0,92.0,8.0,69.14285714285714,20.12619652644518,0.003256463588013859,19.721409609074758,24.983639534890276,5.262229925815518,2.0,0.0,75,412138.2277682951,412131.48228256893,-0.25668744469404864,6151.126601232372,66.61273258820107,8.77038320969253,100.0,E+I,,,False,0,,,,,,,,,,,,,300.26446280991735,107.53524760088676,160.86776859504133,0.0,,,,,,,,,,,0.0,0.1683052928859341,0.0316004520149757,0.0151054364749826,0.0,,,,0.6852344229519315,0.12094095450146054,0.5402157043513438,58.3851,99.9461,100.0,0.0,75.15527950310559,100.0,0.7444449642045552,0.5125870389124008,12.432940317981268,412125.48228256893,1076.0456456463942,12983.045796775035,418411.31382795365,,0.013812358991762216,0.006715619198973481,0.0290207114373682,5.339509734397824e-17,0.9200000000000005,0.92,,,10,,,1000,,,175,175,2599046780,146,0.282533
shannon,0,0,0,0,100.0,0.0,100.0,23.472178309266443,0.003269750714758137,22.88125273151395,24.741113234124434,1.8598605026104842,2.0,0.0,75,412417.2520627053,412410.5065769791,-0.2124023963660642,6155.291142939987,66.6202322501179,3.099767504350807,100.0,E+I,,,False,0,,,,,,,,,,,,,138.82285714285715,19.657923524804463,103.21714285714286,0.0,,,,,,,,,,,0.0,,,,0.0,,,,0.833152926587594,0.06593977435257,0.26706275340653207,66.6667,99.9536,100.0,0.0,100.0,100.0,0.72,0.4591372678934544,13.290167385954867,412404.5065769791,1076.7741686083007,12977.060421375152,418218.8984271133,,0.027537465480573686,0.0026502326254240183,0.0305175015348913,9.344142035196192e-17,1.0000000000000004,1.0,3.180939634614438,3.180939634614438,10,,,1000,,,175,175,1410277682,127,0.452856
