i_definition,emergent_laws_quality,friedmann_consistency,cmb_anomaly_match,lockin_efficiency,quantum_field_realism,physical_laws_total_score
shannon,75.0,9.090909090909092,40.0,53.08311688311689,50.0,45.73519480519481
entanglement,75.0,9.090909090909092,40.0,52.52727272727273,50.0,45.651818181818186
mutual_info,75.0,9.090909090909092,40.0,34.89328063241107,50.0,43.006719367588936
fisher_kl_fusion,75.0,9.090909090909092,40.0,33.27550312283136,50.0,42.76405274115198
kl_shannon,75.0,9.090909090909092,40.0,29.652706843718068,50.0,42.220633299284984
renyi,75.0,9.090909090909092,40.0,26.87828700225394,50.0,41.80447032306537
jensen_shannon,75.0,9.090909090909092,40.0,15.88235294117647,50.0,40.155080213903744
fisher,75.0,9.090909090909092,40.0,10.573122529644275,50.0,39.358695652173914
composite,75.0,9.090909090909092,40.0,8.678977272727273,50.0,39.07457386363637
kl_divergence,75.0,9.090909090909092,40.0,0.0,50.0,37.77272727272727
