universe_id,E,I,X,stable,lockin,stable_epoch,lock_epoch,age_Gyr,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction
0,0.766,0.0,15.32,1,1,7,130,305391684.58036417,0.7277,0.0,0.0,0.0066928509242848554,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06
1,0.757262458286626,0.0,15.145249165732519,1,1,4,122,305391684.58036417,0.7193993353722946,0.0,0.0,0.0066928509242848554,101.14524916573254,0.0,0.07500000000000001,32139.628308280546,False,1.0286312291433131e-09,1.0229049833146505e-06,0.1,1.0171787374859878e-12,0.05,1.0114524916573252e-06
2,0.766,0.0,15.32,1,1,14,164,305391684.58036417,0.7277,0.0,0.0,0.0066928509242848554,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06
3,0.72,0.0,14.399999999999999,1,1,14,129,305391684.58036417,0.6839999999999999,0.0,0.0,0.0066928509242848554,100.4,0.0,0.07500000000000001,31667.756603009693,False,1.01e-09,1.008e-06,0.1,1.006e-12,0.05,1.004e-06
4,0.766,0.0,15.32,1,1,14,122,305391684.58036417,0.7277,0.0,0.0,0.0066928509242848554,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06
5,0.748213181796767,0.0,14.964263635935339,1,1,4,122,305391684.58036417,0.7108025227069286,0.0,0.0,0.0066928509242848554,100.96426363593534,0.0,0.07500000000000001,32024.712313398933,False,1.0241065908983835e-09,1.0192852727187067e-06,0.1,1.0144639545390302e-12,0.05,1.0096426363593532e-06
6,0.766,0.0,15.32,1,1,34,122,305391684.58036417,0.7277,0.0,0.0,0.0066928509242848554,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06
7,0.7594846345835349,0.0,15.189692691670697,1,1,4,122,305391684.58036417,0.7215104028543581,0.0,0.0,0.0066928509242848554,101.1896926916707,0.0,0.07500000000000001,32167.87901184633,False,1.0297423172917675e-09,1.0237938538334138e-06,0.1,1.0178453903750604e-12,0.05,1.011896926916707e-06
8,0.72,0.0,14.399999999999999,1,1,6,138,305391684.58036417,0.6839999999999999,0.0,0.0,0.0066928509242848554,100.4,0.0,0.07500000000000001,31667.756603009693,False,1.01e-09,1.008e-06,0.1,1.006e-12,0.05,1.004e-06
9,0.766,0.0,15.32,1,1,86,122,305391684.58036417,0.7277,0.0,0.0,0.0066928509242848554,101.32000000000001,0.0,0.07500000000000001,32250.780907485256,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06
