universe_id,E,I,age_Gyr,vacuum_energy,entanglement_entropy,holographic_entropy,magnetic_field_strength,string_density,wall_probability,pbh_mass_fraction,topological_defects
156,0.766,0.0,305391684.58036417,0.7277,0.0,32250.780907485256,1.033e-09,0.1,0.05,1.0132e-06,False
145,0.766,0.0,305391684.58036417,0.7277,0.0,32250.780907485256,1.033e-09,0.1,0.05,1.0132e-06,False
101,0.72,0.0,305391684.58036417,0.6839999999999999,0.0,31667.756603009693,1.01e-09,0.1,0.05,1.004e-06,False
127,0.766,0.0,305391684.58036417,0.7277,0.0,32250.780907485256,1.033e-09,0.1,0.05,1.0132e-06,False
141,0.72,0.0,305391684.58036417,0.6839999999999999,0.0,31667.756603009693,1.01e-09,0.1,0.05,1.004e-06,False
139,0.766,0.0,305391684.58036417,0.7277,0.0,32250.780907485256,1.033e-09,0.1,0.05,1.0132e-06,False
42,0.766,0.0,305391684.58036417,0.7277,0.0,32250.780907485256,1.033e-09,0.1,0.05,1.0132e-06,False
15,0.7331197169787103,0.0,305391684.58036417,0.6964637311297747,0.0,31833.499598957602,1.0165598584893553e-09,0.1,0.05,1.006623943395742e-06,False
126,0.766,0.0,305391684.58036417,0.7277,0.0,32250.780907485256,1.033e-09,0.1,0.05,1.0132e-06,False
65,0.766,0.0,305391684.58036417,0.7277,0.0,32250.780907485256,1.033e-09,0.1,0.05,1.0132e-06,False
