universe_id,E,I,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction,anomaly_seed
156,0.766,0.0,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06,42
145,0.766,0.0,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06,42
101,0.72,0.0,False,1.01e-09,1.008e-06,0.1,1.006e-12,0.05,1.004e-06,42
127,0.766,0.0,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06,42
141,0.72,0.0,False,1.01e-09,1.008e-06,0.1,1.006e-12,0.05,1.004e-06,42
139,0.766,0.0,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06,42
42,0.766,0.0,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06,42
15,0.7331197169787103,0.0,False,1.0165598584893553e-09,1.013247886791484e-06,0.1,1.0099359150936132e-12,0.05,1.006623943395742e-06,42
126,0.766,0.0,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06,42
65,0.766,0.0,False,1.033e-09,1.0264e-06,0.1,1.0198e-12,0.05,1.0132e-06,42
