pixel_values,skewness,kurtosis,mean,std,n_maps,total_pixels
-66.01311,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-12.39494,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
103.39648,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-61.00978,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
29.072727,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-49.18692,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
37.16713,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-58.91461,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-10.192728,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-23.902473,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-29.476656,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-39.193123,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-86.33712,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
11.608369,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
1.1983804,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
45.372166,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-17.811451,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
14.953381,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-48.81871,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
18.631691,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
14.980002,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-27.511086,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-45.889763,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
19.257792,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-26.278898,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
33.478622,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
28.869633,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
29.113348,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
18.908348,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
51.094254,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
18.086123,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-48.705593,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
45.998093,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
46.188995,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-24.375734,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
4.867806,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-66.6702,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
8.220991,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-12.391383,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
82.10715,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
20.789837,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-27.791784,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-9.851358,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
16.739077,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
86.862946,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-43.7545,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-63.36588,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-12.7499485,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-113.10758,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-24.265776,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
9.509288,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-83.52301,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-47.337315,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-76.10896,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
38.558113,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-62.415283,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-32.08967,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
93.16276,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
29.415226,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-66.47986,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-2.6976688,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-23.438581,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-15.96775,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-43.058853,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-77.54919,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-16.006388,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-36.236134,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
48.752697,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-13.202358,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-56.39088,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-10.200783,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-8.607609,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-26.030478,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
107.354996,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-69.93083,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
65.18512,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-47.758877,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-6.6869316,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
15.716037,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-44.67903,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-26.315355,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
67.54216,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-94.380516,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-34.67047,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-4.421675,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
11.917154,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
18.75332,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-31.353334,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-14.943494,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
50.250717,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-19.147495,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
0.3502572,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
8.671249,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
41.85576,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-42.51406,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-18.73542,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-54.691227,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-28.130838,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
55.360134,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-12.933889,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
13.884074,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
61.565853,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-12.174866,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
0.5812124,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
36.833324,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
37.626793,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
47.816257,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
46.01163,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
22.825914,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-22.695816,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-27.751595,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
65.98251,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-15.397664,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-84.14383,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-27.17353,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
22.687618,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
32.680943,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-18.754635,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-14.466917,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-17.644655,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
64.412735,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
28.376284,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
91.54823,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-43.48118,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
61.142204,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-7.3589354,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-0.2475388,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-66.65681,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
60.92956,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-33.551983,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
2.9707274,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-11.670818,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-4.293235,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-27.469696,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-17.695095,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
8.562365,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
1.4063135,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-16.744879,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-32.772316,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-20.06164,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-54.08688,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
52.16498,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
13.84478,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-27.813341,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
4.763896,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
23.006838,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-98.66952,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-42.41967,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-3.57725,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-0.95502716,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-48.16948,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
57.09221,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-21.144636,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-24.694109,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
2.8329165,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
12.201638,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
9.736801,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-11.504616,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-80.15245,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-8.128331,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-26.98896,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-20.813257,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
57.615665,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
25.20913,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
33.474545,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-6.7679076,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-59.59482,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-39.489265,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-32.61789,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
39.303562,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-15.848805,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
34.44973,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
20.361267,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
17.274303,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-7.406842,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-15.631691,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
3.722113,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-12.17928,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
13.945266,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-59.087852,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-15.228563,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-21.291262,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
23.275036,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-18.032808,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-75.41039,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
81.628204,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
27.925503,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-21.272472,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-11.105095,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
0.65308225,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-52.98416,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
6.2622046,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-0.15507029,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
112.4312,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
16.315298,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
97.879395,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-45.253536,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
47.958805,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-43.99768,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-21.9441,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
29.910408,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-24.32033,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
44.662334,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
37.218044,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-29.059994,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-9.993882,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-20.423313,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-7.0707593,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-62.772263,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
19.056053,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
23.586063,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-23.171572,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
1.1127038,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-39.732086,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
0.7126626,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-32.426456,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
111.94381,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
34.049484,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-40.791435,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-40.72096,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
40.254475,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-26.801987,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
21.860575,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-12.230816,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
39.88077,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-44.764828,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
28.089859,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-56.472816,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-74.80721,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-39.58858,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
98.8507,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-26.097353,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
16.99767,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
20.911875,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
63.84381,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
7.758435,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
17.484243,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
57.798706,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
-67.214745,-0.0032072354,0.006725073,1.5799937e-05,41.3617,38,7471104
