Target,E_importance,I_importance
Reaching Lock-in,0.7631674658588478,0.23683253414115232
Stability Reached,0.7640243951298072,0.23597560487019276
Time to Lock-in,0.4115742361230993,0.5884257638769007
Time to Stabilize,0.6843953462274065,0.3156046537725936
Cold Spot Presence,0.6236698833424009,0.32516643306358584
Cold Spot Depth,0.6502222879171825,0.33462224344372843
AoE Strength,0.6518965214740182,0.3420816812205695
Entropy Volatility,0.650660183756258,0.391264780576138
CMB Quality,0.543457945434926,0.4957165209467198
Feature Importance,0.6769544934442466,0.30948010362864253
Power Law Fit Quality,0.6256898766785626,0.39479249391546656
Phase Transition Sharpness,0.6255238981005957,0.38152716362221545
Correlation Matrix Strength,0.641950917863436,0.3535306015700325
Finetuning Sensitivity,0.5050454025700978,0.4538073816976751
E-I Balance,0.5176838277204301,0.4813047246908245
Planck Chi-Squared,0.6503561963529659,0.30847789112663876
Planck R-Squared,0.7339105474486876,0.2551254015452501
CMB Anomaly Score,0.46309819090479265,0.548736003306352
CMB Statistical Significance,0.4772873231492672,0.48868955435044337
