group,n,stable_n,stable_ratio,lockin_n,lockin_ratio,eps
I <= 1e-12,0,0,,0,,1e-12
I > 1e-12,175,110,0.6285714285714286,32,0.18285714285714286,1e-12
I <= 1e-09,0,0,,0,,1e-09
I > 1e-09,175,110,0.6285714285714286,32,0.18285714285714286,1e-09
I <= 1e-06,0,0,,0,,1e-06
I > 1e-06,175,110,0.6285714285714286,32,0.18285714285714286,1e-06
I <= 0.001,0,0,,0,,0.001
I > 0.001,175,110,0.6285714285714286,32,0.18285714285714286,0.001
I <= 0.01,0,0,,0,,0.01
I > 0.01,175,110,0.6285714285714286,32,0.18285714285714286,0.01
I <= 0.05,0,0,,0,,0.05
I > 0.05,175,110,0.6285714285714286,32,0.18285714285714286,0.05
I <= 0.1,2,2,1.0,0,0.0,0.1
I > 0.1,173,108,0.6242774566473989,32,0.18497109826589594,0.1
