time_step,region_1_entropy,region_2_entropy,region_3_entropy,region_4_entropy,region_5_entropy,region_6_entropy,region_7_entropy,region_8_entropy,global_entropy,lock_epoch
0,2.489120085441405,2.5811741134059174,2.4930272396340944,2.529769415924062,2.6039800727709816,2.6336372023736114,2.568703718147796,2.4922746999640433,5.594872283640096,-1
1,3.1025210689308977,3.2309469972530183,3.1204333395486934,3.1624211662544437,3.265873619611302,3.2883243924784304,3.217711722278362,3.1194163304893436,5.600175842948483,-1
2,3.719728732601511,3.8731406718113925,3.745120258632871,3.798189626597726,3.9170082081294293,3.931700738698753,3.8607486910442246,3.7397391670297626,5.601534418497701,-1
3,4.342905450369656,4.517954789536494,4.3732362719621705,4.435403739443148,4.562907736717275,4.576927345173045,4.50768929979893,4.359727098292492,5.605506427186544,-1
4,4.965569269977341,5.165990105247666,5.0009187599136995,5.06207298960796,5.211253595184549,5.2178401055780474,5.147020046539652,4.977797211710279,5.6115010734811985,-1
5,4.950636620456479,5.1712706902919585,5.004024696379254,5.050145209079908,5.206762266838847,5.20347447667449,5.142411459755752,4.969728435681622,5.615101167848821,-1
6,4.933077194893388,5.175001584169154,5.010870314800369,5.044813516517877,5.2046575686656285,5.18715644674762,5.134089336649033,4.968030118861823,5.619223966720123,-1
7,4.928983054416287,5.169202974871909,5.020652141059425,5.044202905541723,5.183381995230674,5.166900141884566,5.1281550500275355,4.96740854962377,5.62009514852904,-1
8,4.93266974959828,5.155412536217688,5.019716620828335,5.043880605649327,5.15661487759003,5.138453479942064,5.129428545037063,4.978924705877262,5.62458580598816,-1
9,4.931914282687005,5.141588076091392,5.018715814805621,5.044993009189652,5.128573689669997,5.110627442701503,5.120035075990826,4.974953509065162,5.623118937114507,-1
10,4.942080129498269,5.14006322345357,5.024666232716198,5.04782613776481,5.1037052211008715,5.091575762421873,5.1231333196262945,4.982213692617112,5.6349204421397,-1
11,4.941151674907441,5.132817342213918,5.029933730072175,5.048597834320144,5.088692548589636,5.067407577237076,5.13146861282489,4.9859498768213495,5.620531820459958,-1
12,4.941849092108126,5.125616968169403,5.0317273943036,5.055805409031696,5.066709704111215,5.0505356815042575,5.1477865075088065,4.993566258173798,5.634301739075811,-1
13,4.948543843285477,5.119246754131809,5.036371549471658,5.066271621342465,5.042586623250491,5.03170040982609,5.166592462811762,4.99592490345346,5.641124811513455,-1
14,4.960403644657671,5.109127875440039,5.032804766963315,5.0808753130037045,5.021833584047592,5.011113099277864,5.196790111815159,4.996448527534283,5.638787661059391,-1
15,4.960771436569871,5.106762688275929,5.018884140622495,5.093956686818475,5.014859419029879,5.00068499596029,5.230987973252777,5.005542213750637,5.6319200624376045,-1
16,4.964097221607801,5.102718026065027,5.020289862669128,5.101896257646176,5.004533245245644,5.000138799833415,5.251615171559669,5.002009602431891,5.643745497632209,-1
17,4.979535148353225,5.102432056215281,5.019231205130485,5.109815918474674,4.9883639300457165,4.99988076830187,5.272187727193771,5.011438956226171,5.642057921481765,-1
18,4.982933785570072,5.092481867552185,5.025986490705274,5.114330195900095,4.97262568441059,5.005979288309989,5.2866473250442505,5.02141754119642,5.643071497171938,-1
19,4.987742009780877,5.086510285321059,5.038180627412375,5.121239429966541,4.9472544362918605,5.019061212986023,5.288265003379455,5.0387767716741125,5.650525368423659,-1
20,4.995515181435926,5.072016599023069,5.057860343561064,5.137755556973049,4.933780633910777,5.023391934844693,5.289941345429937,5.060151168951098,5.651213721366027,-1
21,5.0044528045825185,5.0575893020332146,5.067721362708874,5.1460592628436315,4.930511019700856,5.030698314536005,5.284696017013248,5.09234953705999,5.649996035129373,-1
22,5.010274843405111,5.050951307108126,5.083367509264036,5.153236974740125,4.922717994680476,5.032207994422697,5.2716841102171275,5.118252767336907,5.6619252727765215,-1
23,5.020076230814243,5.042766067517494,5.1053928051390525,5.1476007815013896,4.914232148479359,5.0191062782412486,5.251515739784443,5.147708675544887,5.655362158253893,-1
24,5.0312333158282785,5.043785232812783,5.118980199310288,5.14815389582339,4.900208701819512,5.0055997321042724,5.2463993696831315,5.182407772622705,5.660119594465489,-1
25,5.038387850294274,5.0418856758588015,5.12808127898689,5.137590355156772,4.891655301867539,4.997054111062807,5.2451008916089945,5.218182189233925,5.660041917514639,-1
26,5.045579266192555,5.044952603969763,5.125451858800275,5.121517334438846,4.890049512528741,4.990541983520083,5.238730694146196,5.256018605943134,5.677311249176564,-1
27,5.052656304709945,5.048948338202836,5.1225394997247795,5.101921976503767,4.883660311849151,4.981865875707057,5.2348133146189815,5.29671901129246,5.675263923760426,-1
28,5.061141789638194,5.053229325983366,5.1133572295062,5.075997171643827,4.864388685162302,4.978212907630637,5.229769282408457,5.3158495454368095,5.6717999328538244,-1
29,5.068658942326158,5.057269052515598,5.111804526627263,5.057115136034298,4.835866501825808,4.975268366525005,5.224007370983714,5.333276406108049,5.67604960143388,-1
30,5.078561789511642,5.060153289819383,5.115675672737699,5.0368845206814,4.808437734526975,4.978946215821166,5.22569986233165,5.35677162629107,5.67274039077579,-1
31,5.091242350682572,5.071141376086253,5.121914579843129,5.025986459135059,4.788375600528016,4.9948478961387615,5.234828863812917,5.372920009632055,5.686593527116545,-1
32,5.087682922231468,5.077867271343182,5.129819364135357,5.017382857913635,4.770246912127852,5.016574589859477,5.239624489796047,5.377447407939748,5.678052340859443,-1
33,5.082630494771723,5.08329107247823,5.151868332961413,5.0169046059504625,4.749882550255535,5.040252044630706,5.238521961433065,5.374233529441271,5.6826243429632335,-1
34,5.076141941350392,5.090178047647185,5.1665082169853145,5.0265023304893965,4.725950130410665,5.057668744256164,5.246293517660393,5.368036900420968,5.684158615947354,-1
35,5.08036583018102,5.09030348165042,5.174502241191057,5.02964162157278,4.706017251747799,5.0793209635598044,5.257014835022392,5.352448982473471,5.694361836671358,-1
36,5.0836823901298605,5.091925653256154,5.183564293277604,5.030233239494871,4.685714408506215,5.095343827918058,5.268032525208978,5.353922036481729,5.6756981880377655,-1
37,5.086923840106748,5.089297461728181,5.189894578265014,5.027542432678055,4.674965960037292,5.107267134275643,5.278182485245485,5.350178285716269,5.694902082676247,-1
38,5.0947375417941165,5.086267300615561,5.190758949593582,5.021448473047885,4.669255152662835,5.126858573521854,5.284739153262941,5.341335521045318,5.699225080959642,-1
39,5.106432824761111,5.071498033501147,5.1949555305501445,5.014716040765872,4.659775332434234,5.151316376215874,5.285790202750688,5.324136749295398,5.6957654911108175,-1
40,5.12548668310662,5.055967429400875,5.198721507113896,5.007491129646298,4.656858245179353,5.16692905881883,5.278398422010985,5.310113519590538,5.692366649009768,-1
41,5.139516020634951,5.049854589087047,5.193456539552673,4.994029073234023,4.654992073014727,5.17855549349002,5.27093632961385,5.297663369562338,5.701875178002839,-1
42,5.152185087761081,5.04555687422818,5.190289744834626,4.969246332455075,4.659668532766315,5.1922652716653035,5.2543696106905555,5.284314028517296,5.703854292662296,-1
43,5.157477679537262,5.040455648124895,5.186464379316449,4.956247270584431,4.666499666814135,5.197747677287387,5.229939592263163,5.269619639674136,5.705585167168574,-1
44,5.147020763088978,5.0428131027928895,5.1808951789801165,4.948588743125707,4.683069219560816,5.217411163732397,5.2171133836571775,5.249816532453374,5.707124070179504,-1
45,5.135542435863888,5.053687095985117,5.17847195173081,4.945986584451245,4.692459447580146,5.237051971336474,5.206627186614954,5.22353874667739,5.711724993173841,-1
46,5.111902355527401,5.0708684002873055,5.183471160761645,4.950587411923764,4.700321089486556,5.249504668075145,5.2004441748161145,5.194928924032977,5.70844044709542,-1
47,5.086923196082745,5.096107382449195,5.174581404474418,4.95444695664188,4.699525144068868,5.263761712455449,5.1906394142381345,5.177354952414336,5.7101169359024615,-1
48,5.0686523787575615,5.121706442319798,5.163875575106981,4.958568483154623,4.698618522086588,5.275409879206496,5.191548995239982,5.159754619099316,5.701113026978005,-1
49,5.053281748691537,5.135444600934688,5.150503665372601,4.970309555736093,4.702202655915888,5.281767740897401,5.201878017102348,5.140854064991801,5.71416023245975,-1
50,5.0379664846270105,5.151947503027416,5.142240199215755,4.980956989991586,4.693607610946779,5.290012117500773,5.207126023898094,5.114269335188983,5.713532862769841,-1
51,5.026829369518059,5.172761109825148,5.138696246222962,4.992903337808557,4.689851964367488,5.29711783137777,5.22365160768714,5.083791491928905,5.720575175681388,-1
52,5.024303216014567,5.190988150941073,5.148369970507847,4.999609130390061,4.671751095232741,5.295888774250307,5.232666680103631,5.063942456187383,5.723066924096043,-1
53,5.020571085768604,5.203827839154237,5.151730540527057,5.000975171181749,4.661204261752473,5.2976054554401815,5.23154979031197,5.051198984190482,5.718850042205424,-1
54,5.031209379308214,5.204048231827576,5.148329149873197,4.993818910318971,4.654183691340137,5.294629518850098,5.22819809565257,5.045243520063795,5.712661333385543,-1
55,5.036448600947296,5.199835914055099,5.1473679235921574,4.987583465872705,4.65096579388352,5.280486719028344,5.244784673159531,5.034748431269587,5.729313256868846,-1
56,5.038365732595746,5.189940974142208,5.148330773730419,4.9776467314185044,4.645894712583002,5.27169602642074,5.249002162732447,5.021512753335281,5.723480171672902,-1
57,5.033005468978269,5.177396839328855,5.146685423187195,4.970718052372693,4.632494105647797,5.2711084345619295,5.243272424934034,5.009337455041798,5.730862481487756,-1
58,5.029254678331758,5.167022709215132,5.150407903582573,4.966992511520707,4.631033076891615,5.269284195050343,5.2445149873529315,4.999778994429896,5.735633504378643,-1
59,5.018108754559383,5.161191095908226,5.149840680129698,4.959136070874472,4.632141002066893,5.269837490173022,5.241791725017133,4.998175251475854,5.734950179030733,-1
60,5.012935201110148,5.148731156439,5.135547592188681,4.959076975504509,4.656153886326478,5.26923160215749,5.233402962722775,4.987960498467566,5.729365916507372,-1
61,5.001574861761158,5.135196493518059,5.133000323961712,4.963463207453609,4.668104713843551,5.270450096640676,5.24808662930825,4.979115461632486,5.738578196163117,-1
62,4.982984571570518,5.118443613986575,5.12338590352132,4.970061504256924,4.671932132829529,5.284980739830847,5.256412678865399,4.9741778200069495,5.737865395786627,-1
63,4.972852550152727,5.098304769845538,5.10871074864026,4.987703306156938,4.68156280577159,5.306814008371376,5.252821290926694,4.970412191413133,5.740618796243158,-1
64,4.967160849254224,5.080335472331481,5.099169711317253,5.003193786736592,4.701333683952619,5.334146138242116,5.254389718893983,4.970577050295244,5.737503422268975,-1
65,4.973305144179401,5.064661831350872,5.091517122974635,5.015224785646482,4.727646210416484,5.357043791385294,5.264909911915662,4.978294414302557,5.745105469471616,-1
66,4.974470238877501,5.049103766822315,5.083819876411403,5.026649204562815,4.7553124350562825,5.386625249889244,5.275269641213302,4.984014801011161,5.742166354637043,-1
67,4.989471557756953,5.029334464391368,5.081593192532127,5.04429590553992,4.777030986145858,5.412842163651527,5.284909168077805,4.990873368297216,5.74617789196237,-1
68,5.001074727193574,5.022691360540161,5.072346470413806,5.052536288312692,4.782233342448697,5.435069981496483,5.292996006269043,5.010911336637217,5.760766118488733,-1
69,5.023640882062516,5.010610138593508,5.06141339402859,5.059778404501346,4.794982245554003,5.450265224525135,5.285383138687522,5.033570599576469,5.754285346951233,-1
70,5.045128384000642,5.001515396519955,5.0516237180410535,5.072246688445885,4.817169925381399,5.4485913901145056,5.2820645967418125,5.048733445966064,5.756833423048721,-1
71,5.06470247927966,4.993831218134439,5.046013223719978,5.081357830286151,4.835380464036909,5.442911388391762,5.2754447524821995,5.06212070451032,5.7562530180970874,-1
72,5.07867060358473,4.985872499201944,5.040913454660827,5.092286716472588,4.8424677087441115,5.424562307152997,5.268627540493285,5.082727671718774,5.7654894543276205,-1
73,5.083972403086931,4.981993423070899,5.03661039234277,5.099899019858849,4.850416764237755,5.40040009984505,5.260392160528923,5.09944790287514,5.763246823083825,-1
74,5.0883156099695945,4.9733172605098535,5.028204221673353,5.108977648791767,4.850168005969104,5.3749342191611476,5.2468093388143515,5.120299961776168,5.770598865067197,-1
75,5.0848620716302575,4.976355498687268,5.016554160363598,5.114894170160536,4.849918630258685,5.350556390975463,5.227633287153717,5.128087160240697,5.766780877916613,-1
76,5.075996289496544,4.967004734679011,5.009978075708027,5.128549984772749,4.852628141707766,5.329675353274553,5.2068793069125885,5.120869794049799,5.768652792755393,-1
77,5.065135855034573,4.971266493741311,5.000154935772307,5.138241425207232,4.859520612399214,5.308462861468473,5.190925626091671,5.107703811381301,5.766113581497698,-1
78,5.054901238581563,4.981883070089837,4.996796841805303,5.140730983754406,4.8533314210877005,5.291792412150298,5.1714471447368595,5.099148098583869,5.763143526330903,-1
79,5.041739265896396,5.0010695299811445,4.99348944311015,5.136512003357932,4.8434353406759465,5.272674434408305,5.153621850075826,5.098763901266142,5.766259328885865,-1
80,5.025239860419832,5.022464398618571,4.9868537421357875,5.134696178596321,4.833654794155448,5.269837933048054,5.134244618879431,5.091251680733669,5.765778022439938,-1
81,5.003195024576505,5.051738996344946,4.978828307178237,5.143566351361071,4.824623778559555,5.267856862538816,5.11203404560982,5.078474338788969,5.777200469473223,-1
82,4.984160131497132,5.083696223858075,4.967527661999642,5.161447433780136,4.822113955254317,5.254467140485276,5.094975253192111,5.07055323520255,5.767510695930308,-1
83,4.967366770601832,5.103733145856898,4.957743235193815,5.181485042565022,4.821867129597463,5.243583251996558,5.084817153233213,5.076186240084052,5.771074373536066,-1
84,4.95834938186109,5.123726998669376,4.955451066723213,5.200027665709437,4.816636159950705,5.2309100150468515,5.084793613854801,5.08055739302288,5.779201959297496,-1
85,4.953235580998085,5.140060273732115,4.9550118209423815,5.217476096688708,4.809702481547183,5.219893813344245,5.081327053554268,5.089854461443553,5.782859180873604,-1
86,4.950207977387085,5.151618875402202,4.9444300894977165,5.240964833014378,4.807573286974771,5.20360133416596,5.081880594137349,5.097525988058643,5.787121675452052,-1
87,4.939404444721497,5.15597599537933,4.95044726148519,5.255203366674936,4.810263933048161,5.1951377382683965,5.078568879449914,5.110474046349311,5.790518739176381,-1
88,4.932085602638221,5.15567802826649,4.959701526342735,5.265736331163816,4.813372630231897,5.185904824640424,5.070134671723348,5.115622828085039,5.782278090264086,-1
89,4.933610700671423,5.149749047447688,4.968663508565347,5.268085943912415,4.8156904845664625,5.1898452314941235,5.063116687859611,5.124635697776223,5.783252227199202,-1
90,4.934561838164602,5.134558449649739,4.981446340245834,5.253211580657043,4.808825116899101,5.195029437629747,5.061451924579871,5.133837605080739,5.794272476771503,-1
91,4.935004135493137,5.130356568335589,4.986133581940287,5.229717702558161,4.80507023660671,5.21011508556654,5.0547510846417385,5.13503274275431,5.784267703604717,-1
92,4.942462962889715,5.134904279569632,4.984703108538833,5.2015837106492455,4.804476995084006,5.231698075223311,5.041017591839257,5.133794744165069,5.77777372117547,-1
93,4.945105064155807,5.133010031607871,4.97914196041943,5.177996073106039,4.801795280770419,5.248653269148261,5.0366096237042965,5.133815068456744,5.795231656109159,-1
94,4.952492770477168,5.128524125480556,4.978599663598202,5.15405221547606,4.809378431583662,5.273712559680111,5.029696700346741,5.132845545920077,5.792648598634362,-1
95,4.96851446083276,5.127285485910944,4.967382897091351,5.141891468697197,4.813978181492905,5.289252795394407,5.035798003450056,5.12051787121401,5.796770702319977,-1
96,4.993123519738067,5.118930181570713,4.950131711363309,5.129335330127284,4.828046923900059,5.289844537411753,5.0421560872615725,5.118874184395447,5.793828841143549,-1
97,5.0186711912273365,5.115367884858619,4.940727500203427,5.115316408558292,4.837050535108324,5.278854763408438,5.049164856722209,5.119243758549675,5.799475095119646,-1
98,5.046966260113511,5.113202830066672,4.927702800624129,5.114722822551634,4.858726819538356,5.265955815187332,5.058127380798601,5.116168740442931,5.805619118696389,-1
99,5.06829310753735,5.102961220013438,4.927186198994178,5.115809781926764,4.875351492958391,5.247466080938755,5.072296380478848,5.127158401764682,5.799994630099947,-1
100,5.082109999947022,5.082531687476279,4.933230892502084,5.115611573900464,4.897237048156593,5.2240257877553615,5.075899983289806,5.150859482340689,5.8086941160981915,-1
101,5.097800053768669,5.05959890994702,4.940294079423076,5.116596694062256,4.9155725326021456,5.200100722597834,5.071467028198704,5.16575130121736,5.8087707467274985,-1
102,5.114093468075735,5.046869955046613,4.94915846537097,5.1182862357537635,4.916968896969393,5.177287590529438,5.062608384733193,5.178435519639651,5.801255511228372,-1
103,5.125691250029991,5.023047029558555,4.962665294981704,5.124116595463271,4.922558252886453,5.161238400761132,5.051231516218233,5.189737921949302,5.812727783979859,-1
104,5.123776071534778,5.010012878856487,4.978857065954778,5.139959377808511,4.9261411590875435,5.150920509652978,5.042531260070229,5.197598367566314,5.809672682133404,-1
105,5.117282413704929,4.994535399104508,4.986266187470134,5.161675318751104,4.932003819185904,5.143362899541997,5.024561372021856,5.198706665440326,5.813579829671575,-1
106,5.107422474072411,4.985850057589842,5.001226405757945,5.179047003181724,4.934346921090066,5.147228728479144,5.002707283601558,5.202145387629407,5.808001661276064,-1
107,5.113797979028758,4.969499496096162,5.002368782406073,5.202644190015514,4.932382645309791,5.142046489423766,4.970576075835031,5.198870017377901,5.808111680958687,-1
108,5.107741442793483,4.963982658636999,4.993011783494046,5.226113982812608,4.927840993131149,5.142921849338288,4.958381347008125,5.184606095992302,5.816804196357985,-1
109,5.0975830210212045,4.963450211541755,4.9875549308025295,5.2549619451876435,4.9202735202580445,5.139559229100104,4.9533653213973245,5.169349955063581,5.809649936490939,-1
110,5.081789612960532,4.955348488154763,4.977062829685115,5.276338978929641,4.92907200707742,5.128749755650765,4.95210956827866,5.169907893759458,5.8191341301523325,-1
