universe_id,E,I,X,stable,lockin,stable_epoch,lock_epoch,age_Gyr,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction
0,0.766,0.31141924822103545,20.92554646797864,1,1,18,122,305391684.58036417,0.7515547144137313,1.4138411995920846e-07,0.21585937387650847,0.13172323303916778,101.32000000000001,0.11606705673404749,0.09057096241105178,33255.1323019603,False,9.74558825023699e-10,1.0264e-06,0.09622838496442071,1.0198e-12,0.046228384964420714,9.943419248221035e-07
1,0.72,0.4414448505936561,22.346007310685813,1,1,47,233,305391684.58036417,0.7157840292427432,2.004156521096261e-07,0.305986253561699,0.3576561978222791,100.4,0.16304678143025972,0.09707224252968281,33065.71341123488,False,9.922577897298779e-10,1.008e-06,0.09882889701187313,1.006e-12,0.048828897011873124,9.981444850593655e-07
2,0.7482247687259116,0.42744957376831494,22.6585877023479,1,1,226,361,305391684.58036417,0.7427963661370947,1.9406180626085586e-07,0.2962854668890578,0.32618206036755876,100.96449537451824,0.15875928791086077,0.09637247868841575,33393.7605700066,False,1.001822447364552e-09,1.0192899074903648e-06,0.0985489914753663,1.0144674306177734e-12,0.0485489914753663,1.0023899111220137e-06
3,0.7629282968158495,0.35954048823528506,21.730294724552124,1,1,104,122,305391684.58036417,0.7522122432076256,1.6323112912651454e-07,0.24921447571743402,0.1970879480560801,101.25856593631698,0.13392179683508143,0.09297702441176425,33369.82350776164,False,9.880004632014695e-10,1.0251713187263397e-06,0.0971908097647057,1.0188784890447549e-12,0.0471908097647057,9.985397081866984e-07
4,0.766,0.4143455385592492,22.778219694066486,1,1,10,157,305391684.58036417,0.7594388682536385,1.8811258347988872e-07,0.2872024418299357,0.29806177991480487,101.32000000000001,0.15442804966673662,0.09571727692796246,33587.07762589209,False,1.0064556823995114e-09,1.0264e-06,0.098286910771185,1.0198e-12,0.048286910771184986,1.0046345538559248e-06
5,0.766,0.40319631207212975,22.577533617298336,1,1,42,236,305391684.58036417,0.7585848375047252,1.8305084248567617e-07,0.27947438692496457,0.27527196668790765,101.32000000000001,0.1502726934688989,0.09515981560360649,33551.120499819684,False,1.003000537111153e-09,1.0264e-06,0.09806392624144261,1.0198e-12,0.048063926241442595,1.003519631207213e-06
6,0.766,0.3630057680655486,21.854103825179877,1,1,12,159,305391684.58036417,0.755506241833821,1.6480436373552772e-07,0.2516164246616324,0.2026291657686399,101.32000000000001,0.13529353537885958,0.09315028840327744,33421.5028568888,False,9.905454875235135e-10,1.0264e-06,0.09726011536131098,1.0198e-12,0.04726011536131097,9.995005768065548e-07
7,0.766,0.2833259171905481,20.419866509429866,1,1,123,136,305391684.58036417,0.749402765256796,1.2862976740342484e-07,0.19638656068018895,0.10277718599120954,101.32000000000001,0.10559657276367453,0.0891662958595274,33164.52911555773,False,9.65852701737351e-10,1.0264e-06,0.09566651834381096,1.0198e-12,0.04566651834381097,9.915325917190549e-07
8,0.7645455748355592,0.3926434831409049,22.358494193247473,1,1,15,205,305391684.58036417,0.7563376798461211,1.7825986556294492e-07,0.2721597233043547,0.2547256791223512,101.29091149671119,0.14629814464703,0.09463217415704525,33497.84436390363,False,9.99026424146099e-10,1.0258182299342237e-06,0.0978528696628181,1.0193636724506678e-12,0.0478528696628181,1.0021734632812021e-06
9,0.72,0.3950297064388608,21.510534715899496,1,1,341,391,305391684.58036417,0.712442138863598,1.7934320926419292e-07,0.2738137272555192,0.2592821494142778,100.4,0.14590343984663118,0.09475148532194305,32918.72706245611,False,9.781940010509749e-10,1.008e-06,0.09790059412877722,1.006e-12,0.04790059412877722,9.93502970643886e-07
10,0.741786620174979,0.4083276461828323,22.185630034790563,1,1,127,146,305391684.58036417,0.7349864876248268,1.8538046456781354e-07,0.2830311566963091,0.28562596609097696,100.83573240349959,0.15146551337472233,0.09541638230914162,33247.55719938572,False,9.928170022679135e-10,1.0167146480699915e-06,0.09816655292365666,1.0125359860524937e-12,0.04816655292365665,9.99190088653279e-07
11,0.766,0.3135739297489469,20.96433073548104,1,1,89,154,305391684.58036417,0.7517197630187693,1.4236234385948548e-07,0.21735288530258487,0.13420720489059096,101.32000000000001,0.11687011417051782,0.09067869648744735,33262.0813181485,False,9.752265608291987e-10,1.0264e-06,0.09627147859497893,1.0198e-12,0.04627147859497894,9.945573929748947e-07
12,0.766,0.4366297506785698,23.17933551221426,1,1,83,194,305391684.58036417,0.7611458389019784,1.9822960013018343e-07,0.3026486806314425,0.34667148339322673,101.32000000000001,0.16273345444534856,0.0968314875339285,33658.945950167705,False,1.0133615597352888e-09,1.0264e-06,0.0987325950135714,1.0198e-12,0.0487325950135714,1.006862975067857e-06
13,0.766,0.39584278712705395,22.44517016828697,1,1,18,158,305391684.58036417,0.7580215574939323,1.7971234732554494e-07,0.27437731184210806,0.2608467645428346,101.32000000000001,0.14753200867863328,0.09479213935635271,33527.40480762955,False,1.000721679730674e-09,1.0264e-06,0.09791685574254108,1.0198e-12,0.047916855742541085,1.0027842787127055e-06
14,0.766,0.3509158148661104,21.63648466758999,1,1,4,147,305391684.58036417,0.754580151418744,1.593155334746655e-07,0.24323630768834015,0.18379540376320297,101.32000000000001,0.13078756700366398,0.09254579074330553,33382.51181370712,False,9.867988110270076e-10,1.0264e-06,0.09701831629732222,1.0198e-12,0.04701831629732221,9.98291581486611e-07
15,0.766,0.33282224387600445,21.310800389768083,1,1,13,207,305391684.58036417,0.753194183880902,1.5110106495363206e-07,0.230694799970287,0.15818732766077842,101.32000000000001,0.12404402901548035,0.09164111219380022,33324.158634323525,False,9.811916133771739e-10,1.0264e-06,0.09665644487752009,1.0198e-12,0.04665644487752009,9.964822243876006e-07
16,0.72,0.36827654466490095,21.028977803968214,1,1,19,176,305391684.58036417,0.7105159112158729,1.671972926095712e-07,0.25526984860083485,0.21127875968329848,100.4,0.13602221252126728,0.09341382723324505,32834.005800914245,False,9.70087793033465e-10,1.008e-06,0.09736553089329802,1.006e-12,0.04736553089329802,9.908276544664901e-07
17,0.766,0.39635975400758566,22.454475572136545,1,1,120,166,305391684.58036417,0.7580611571569811,1.7994704992620163e-07,0.2747356459777915,0.26184473792536705,101.32000000000001,0.14772468406589678,0.09481798770037929,33529.07206618959,False,1.000881887766951e-09,1.0264e-06,0.09792719508015171,1.0198e-12,0.04792719508015172,1.0028359754007587e-06
18,0.7493466851230846,0.4051909604458116,22.280370990486304,1,1,21,125,305391684.58036417,0.742242201172121,1.8395641144633625e-07,0.28085697182139063,0.2792690209679428,100.9869337024617,0.15052532589188508,0.09525954802229059,33337.29048046193,False,9.955288539220306e-10,1.0197386740492338e-06,0.09810381920891624,1.0148040055369254e-12,0.04810381920891624,1.000388433069198e-06
19,0.766,0.3926417065317351,22.38755071757123,1,1,32,134,305391684.58036417,0.7577763547203309,1.7825905898362964e-07,0.2721584918527176,0.2547223064131835,101.32000000000001,0.14633895460381444,0.09463208532658676,33517.081072734865,False,9.997296648541847e-10,1.0264e-06,0.09785283413063471,1.0198e-12,0.04785283413063471,1.0024641706531736e-06
20,0.766,0.4401584550028496,23.242852190051295,1,1,323,367,305391684.58036417,0.7614161376532184,1.998316294149322e-07,0.30509459208484674,0.35470629746189475,101.32000000000001,0.16404861504426302,0.09700792275014249,33670.32629717267,False,1.0144551052053832e-09,1.0264e-06,0.098803169100057,1.0198e-12,0.048803169100057,1.007215845500285e-06
21,0.766,0.43062768717744504,23.07129836919401,1,1,14,122,305391684.58036417,0.7606860808377923,1.9550466751637306e-07,0.29848836723809613,0.3332053572513243,101.32000000000001,0.16049646412157786,0.09653138435887226,33639.588826670944,False,1.0115015202562901e-09,1.0264e-06,0.09861255374354891,1.0198e-12,0.048612553743548906,1.0062627687177444e-06
22,0.766,0.394175344798685,22.41515620637633,1,1,242,257,305391684.58036417,0.7578938314115793,1.7895532967963547e-07,0.2732215288934528,0.25764468345483127,101.32000000000001,0.14691054701743825,0.09470876723993425,33522.02717590874,False,1.0002049393531125e-09,1.0264e-06,0.09788350689597371,1.0198e-12,0.047883506895973704,1.0026175344798685e-06
23,0.766,0.3346218289616785,21.343192921310212,1,1,12,129,305391684.58036417,0.7533320320984646,1.5191807531854424e-07,0.2319421772985997,0.16059849541811663,101.32000000000001,0.12471474075031964,0.09173109144808393,33329.96243675576,True,9.817493047952242e-10,1.0264e-06,0.09669243657923357,1.0198e-12,0.046692436579233575,9.966621828961678e-07
24,0.735392832512712,0.4296221267904161,22.441054932481734,1,1,37,133,305391684.58036417,0.7302172941601304,1.9504814380694254e-07,0.2977913658909443,0.33097496738731763,100.70785665025423,0.15916395906814496,0.09648110633952081,33231.13331155774,False,9.962094234516147e-10,1.014157133005085e-06,0.09859244253580833,1.0106178497538136e-12,0.04859244253580833,1.000040779181584e-06
25,0.766,0.3968031944081866,22.46245749934736,1,1,108,123,305391684.58036417,0.7580951246916672,1.8014837155661293e-07,0.2750430154412144,0.26270273341898875,101.32000000000001,0.1478899558736888,0.09484015972040934,33530.50219611012,False,1.001019309947097e-09,1.0264e-06,0.09793606388816374,1.0198e-12,0.04793606388816374,1.0028803194408186e-06
26,0.7271410527542133,0.4842041980136252,23.25849661932952,1,1,65,134,305391684.58036417,0.7259924751456663,2.198283658051889e-07,0.33562477466843377,0.4605923983698407,100.54282105508427,0.17909307067646815,0.09921020990068126,33295.648409694375,False,1.008767478576943e-09,1.0108564211016852e-06,0.09968408396027251,1.0081423158262638e-12,0.049684083960272504,1.0038486303522052e-06
27,0.7601139942617878,0.37699740517453484,21.988233178377385,1,1,138,234,305391684.58036417,0.750764394896053,1.7115655715562926e-07,0.26131468847514416,0.22617688421136264,101.20227988523575,0.14034704849473012,0.09384987025872675,33388.90478272172,True,9.92047092091326e-10,1.024045597704715e-06,0.0975399481034907,1.0180341982785364e-12,0.0475399481034907,9.99722539369811e-07
28,0.766,0.4426312818355524,23.287363073039945,1,1,162,178,305391684.58036417,0.7616055561886033,2.0095429106012717e-07,0.30680862503194767,0.36038646297611526,101.32000000000001,0.16497024636257215,0.09713156409177763,33678.30135681303,False,1.0152214342408376e-09,1.0264e-06,0.09885262563671104,1.0198e-12,0.048852625636711056,1.0074631281835552e-06
29,0.7314574461767278,0.3602512580068109,21.113671567657157,1,1,131,225,305391684.58036417,0.721235420384253,1.6355381810356024e-07,0.2497071437805944,0.1982151226958305,100.62914892353456,0.1333602190234246,0.09301256290034055,32958.52444436654,False,9.7314467971098e-10,1.0125829784706913e-06,0.09720502516013622,1.0094372338530184e-12,0.04720502516013622,9.923166150360267e-07
30,0.7653852892265443,0.3477371183063752,21.56697391404564,1,1,61,400,305391684.58036417,0.75373131225219,1.5787240746918322e-07,0.24103300313010412,0.17907473889092088,101.30770578453088,0.12958733339372672,0.09238685591531877,33364.16194956652,False,9.85520417221484e-10,1.0261541156906176e-06,0.0969547423661275,1.0196155867679633e-12,0.04695474236612751,9.978507696759463e-07
31,0.7232786199141464,0.4804147488113544,23.113037876887308,1,1,22,126,305391684.58036417,0.721862060569107,2.181079585289729e-07,0.3329981286380046,0.4511927854804237,100.46557239828293,0.17755562489392035,0.09902073744056772,33232.48889075107,False,1.005695346957728e-09,1.0093114479656586e-06,0.09960829497622709,1.006983585974244e-12,0.04960829497622709,1.0026971988639647e-06
32,0.7390939562031893,0.36980321551699596,21.438337003369714,1,1,31,236,305391684.58036417,0.7294711905503415,1.6789040010412666e-07,0.25632805619760757,0.21383401818159126,100.78187912406378,0.13710254455292936,0.0934901607758498,33089.12562288744,False,9.797244566481374e-10,1.0156375824812757e-06,0.09739606431033992,1.0117281868609569e-12,0.04739606431033992,9.947991127923372e-07
33,0.766,0.3267827002657387,21.2020886047833,1,1,89,186,305391684.58036417,0.7527315548403556,1.4835911639659677e-07,0.22650850734496245,0.15030984055737953,101.32000000000001,0.12179306972229328,0.09133913501328694,33304.680634547934,True,9.793199588123524e-10,1.0264e-06,0.09653565400531477,1.0198e-12,0.04653565400531478,9.958782700265738e-07
34,0.7547886856542907,0.41683522852820476,22.5988078265935,1,1,126,178,305391684.58036417,0.7485115027990971,1.8924290097709817e-07,0.2889281634123856,0.30329678232627993,101.09577371308582,0.15501625383491405,0.09584176142641024,33446.57626182398,True,1.001761438107355e-09,1.0219154742617162e-06,0.09833670457056409,1.0164366056962873e-12,0.0483367045705641,1.0026412599836786e-06
35,0.7416127014245377,0.3246481369018625,20.67592049272428,1,1,199,212,305391684.58036417,0.7286083845353342,1.4739002612866125e-07,0.22502894076756513,0.1476039452103707,100.83225402849077,0.12042122292188819,0.09123240684509314,32977.982544817205,False,9.671062620743267e-10,1.016645080569815e-06,0.09649296273803726,1.0124838104273612e-12,0.046492962738037255,9.907873539750938e-07
36,0.766,0.30494810615622914,20.809065910812127,1,1,12,144,305391684.58036417,0.7510590249315672,1.3844622600695578e-07,0.21137391999928512,0.1244967842577951,101.32000000000001,0.11365523916830456,0.09024740530781146,33234.262363464964,False,9.725534180978153e-10,1.0264e-06,0.09609896212312459,1.0198e-12,0.04609896212312459,9.93694810615623e-07
37,0.7600401299437843,0.3479803927670693,21.46444966868294,1,1,91,122,305391684.58036417,0.7484860297402524,1.579828539034684e-07,0.24120162813663648,0.17943264857489427,101.2008025988757,0.1295428455113435,0.09239901963835347,33294.56793790108,False,9.830450912561729e-10,1.0240160519775137e-06,0.0969596078553414,1.0180120389831352e-12,0.04695960785534139,9.96806065265464e-07
38,0.766,0.3879260257268581,22.302668463083446,1,1,37,179,305391684.58036417,0.7574151335706774,1.761181432103925e-07,0.2688898309983965,0.24587409465228532,101.32000000000001,0.14458140366678682,0.09439630128634291,33501.872633888095,False,9.982682753727534e-10,1.0264e-06,0.09775852051453716,1.0198e-12,0.04775852051453716,1.001992602572686e-06
39,0.7237934939064,0.45042092044335313,22.58344644610836,1,1,45,148,305391684.58036417,0.7202049923847031,2.044907815168201e-07,0.31220799107052566,0.3785303561448542,100.475869878128,0.16648724254803793,0.09752104602216766,33144.17440671886,False,9.968460741571087e-10,1.00951739756256e-06,0.09900841840886707,1.0071380481719201e-12,0.04900841840886706,9.998007908256153e-07
40,0.766,0.3992325058022131,22.506185104439837,1,1,57,125,305391684.58036417,0.7582812099444496,1.8125127722321302e-07,0.276726885784686,0.26743511480983745,101.32000000000001,0.14879536883388902,0.09496162529011065,33538.33691506261,False,1.0017721535481058e-09,1.0264e-06,0.09798465011604426,1.0198e-12,0.04798465011604427,1.0031232505802214e-06
41,0.766,0.34268615069491665,21.488350712508502,1,1,67,135,305391684.58036417,0.7539497591432307,1.5557927172125517e-07,0.237531939171122,0.17176943490826466,101.32000000000001,0.1277203420208905,0.09213430753474583,33355.97050409438,False,9.842484381003548e-10,1.0264e-06,0.09685372301389833,1.0198e-12,0.04685372301389834,9.974686150694918e-07
42,0.7629709206681479,0.4035525556633092,22.523364415302524,1,1,52,127,305391684.58036417,0.7556122611279824,1.8321257682585496e-07,0.27972131616578316,0.27598323174487904,101.25941841336297,0.15031668052310432,0.09517762778316546,33512.15804267113,False,1.0016402193781711e-09,1.0251883682672591e-06,0.0980710511132662,1.0188912762004443e-12,0.048071051113266185,1.0029494396999605e-06
43,0.766,0.3859670376867446,22.267406678361404,1,1,86,178,305391684.58036417,0.7572650750868046,1.7522876401612553e-07,0.2675319639616412,0.2422598469328509,101.32000000000001,0.14385128188628662,0.09429835188433723,33495.55474447989,False,9.976611849791222e-10,1.0264e-06,0.0977193407537349,1.0198e-12,0.04771934075373489,1.0017967037686744e-06
44,0.7429791291193308,0.3430946235809888,21.035285806844417,1,1,216,263,305391684.58036417,0.7313213871267371,1.557647181246307e-07,0.2378150710004381,0.17235132697118608,100.85958258238661,0.12729775207694044,0.09215473117904945,33054.812913041205,False,9.734064031690678e-10,1.0171916516477323e-06,0.09686189247161979,1.0128937387357992e-12,0.04686189247161978,9.929052881819649e-07
45,0.72,0.4697693218670046,22.85584779360608,1,1,55,226,305391684.58036417,0.7178233911744243,2.1327494217332148e-07,0.32561928096567166,0.42499366838874464,100.4,0.1735083688077605,0.09848846609335023,33155.41065745422,False,1.0008401045257025e-09,1.008e-06,0.0993953864373401,1.006e-12,0.049395386437340094,1.0009769321867002e-06
46,0.72,0.563925282865585,24.55065509158053,1,1,13,154,305391684.58036417,0.7246026203663221,2.5602168233386963e-07,0.39088321986474983,0.6545845419792615,100.4,0.20828468655763666,0.10319626414327926,33453.581463016766,False,1.0293693607082723e-09,1.008e-06,0.1012785056573117,1.006e-12,0.05127850565731171,1.0103925282865583e-06
