Target,E_importance,I_importance
Reaching Lock-in,0.5391419492125237,0.46085805078747627
Stability Reached,0.5246823420170806,0.4753176579829193
Time to Lock-in,0.8666249161074449,0.13337508389255515
Time to Stabilize,0.6090167478156752,0.39098325218432484
Cold Spot Presence,0.6167509163134146,0.34873438791780925
Cold Spot Depth,0.6985194497476994,0.3232336758842417
AoE Strength,0.6146953417201078,0.3250750717355248
Entropy Volatility,0.6772596326998104,0.39521749891641034
CMB Quality,0.5270926434967547,0.49011352405128533
Feature Importance,0.6153364042857333,0.38927893047853857
Power Law Fit Quality,0.5745661038382778,0.38747426660860124
Phase Transition Sharpness,0.6433634816736243,0.3538821968397521
Correlation Matrix Strength,0.6787435374042443,0.31201006208352794
Finetuning Sensitivity,0.5693361467478922,0.4262919702472142
E-I Balance,0.5832631125723418,0.45227132120537894
Planck Chi-Squared,0.7110260832665769,0.2542315026543266
Planck R-Squared,0.7340699951768437,0.31541003647538546
CMB Anomaly Score,0.4848408251097849,0.48906717493010615
CMB Statistical Significance,0.4667845227511256,0.5366126691750898
