universe_id,E,I,age_Gyr,redshift,scale_factor,hubble_parameter,matter_density,dark_energy_density,total_density,epoch
156,0.766,0.09630388175843344,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
156,0.766,0.09630388175843344,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
156,0.766,0.09630388175843344,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
156,0.766,0.09630388175843344,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
156,0.766,0.09630388175843344,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
145,0.766,0.18558900396100386,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
145,0.766,0.18558900396100386,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
145,0.766,0.18558900396100386,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
145,0.766,0.18558900396100386,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
145,0.766,0.18558900396100386,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
101,0.728188465060694,0.23340366026112402,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.728188465060694,1.043488465060694,transition_era
101,0.728188465060694,0.23340366026112402,305391684.58036417,1.0,0.5,118.15171740693758,2.5224,0.728188465060694,3.2505884650606944,transition_era
101,0.728188465060694,0.23340366026112402,305391684.58036417,3.0,0.25,302.83225886236784,20.1792,0.728188465060694,20.907388465060695,matter_dominated
101,0.728188465060694,0.23340366026112402,305391684.58036417,10.0,0.09090909090909091,1372.4430717783353,419.6643,0.728188465060694,420.3924884650607,matter_dominated
101,0.728188465060694,0.23340366026112402,305391684.58036417,1100.0,0.0009082652134423251,1381712.9817311042,420809879.80530006,0.728188465060694,420809880.5334885,matter_dominated
127,0.72,0.1310686136303733,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.72,1.0352999999999999,transition_era
127,0.72,0.1310686136303733,305391684.58036417,1.0,0.5,118.62247090463089,2.5224,0.72,3.2424,transition_era
127,0.72,0.1310686136303733,305391684.58036417,3.0,0.25,303.7510302768371,20.1792,0.72,20.8992,matter_dominated
127,0.72,0.1310686136303733,305391684.58036417,10.0,0.09090909090909091,1374.0664017305714,419.6643,0.72,420.38430000000005,matter_dominated
127,0.72,0.1310686136303733,305391684.58036417,1100.0,0.0009082652134423251,1381729.2795895697,420809879.80530006,0.72,420809880.5253001,matter_dominated
141,0.766,0.14020599697748914,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
141,0.766,0.14020599697748914,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
141,0.766,0.14020599697748914,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
141,0.766,0.14020599697748914,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
141,0.766,0.14020599697748914,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
139,0.766,0.1014791123853777,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
139,0.766,0.1014791123853777,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
139,0.766,0.1014791123853777,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
139,0.766,0.1014791123853777,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
139,0.766,0.1014791123853777,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
42,0.766,0.14070444582880126,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
42,0.766,0.14070444582880126,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
42,0.766,0.14070444582880126,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
42,0.766,0.14070444582880126,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
42,0.766,0.14070444582880126,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
15,0.72,0.19002829322938777,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.72,1.0352999999999999,transition_era
15,0.72,0.19002829322938777,305391684.58036417,1.0,0.5,118.62247090463089,2.5224,0.72,3.2424,transition_era
15,0.72,0.19002829322938777,305391684.58036417,3.0,0.25,303.7510302768371,20.1792,0.72,20.8992,matter_dominated
15,0.72,0.19002829322938777,305391684.58036417,10.0,0.09090909090909091,1374.0664017305714,419.6643,0.72,420.38430000000005,matter_dominated
15,0.72,0.19002829322938777,305391684.58036417,1100.0,0.0009082652134423251,1381729.2795895697,420809879.80530006,0.72,420809880.5253001,matter_dominated
126,0.735005194898567,0.09792466110079612,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.735005194898567,1.0503051948985669,transition_era
126,0.735005194898567,0.09792466110079612,305391684.58036417,1.0,0.5,117.75838933169688,2.5224,0.735005194898567,3.257405194898567,transition_era
126,0.735005194898567,0.09792466110079612,305391684.58036417,3.0,0.25,302.065268885083,20.1792,0.735005194898567,20.914205194898567,matter_dominated
126,0.735005194898567,0.09792466110079612,305391684.58036417,10.0,0.09090909090909091,1371.0902167778095,419.6643,0.735005194898567,420.3993051948986,matter_dominated
126,0.735005194898567,0.09792466110079612,305391684.58036417,1100.0,0.0009082652134423251,1381699.4139503338,420809879.80530006,0.735005194898567,420809880.54030526,matter_dominated
65,0.766,0.22602670841955183,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
65,0.766,0.22602670841955183,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
65,0.766,0.22602670841955183,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
65,0.766,0.22602670841955183,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
65,0.766,0.22602670841955183,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
