time_step,region_1_entropy,region_2_entropy,region_3_entropy,region_4_entropy,region_5_entropy,region_6_entropy,region_7_entropy,region_8_entropy,global_entropy,lock_epoch
0,2.519948980343359,2.556877001644067,2.5307694000116174,2.58952393037342,2.5654994755422345,2.5736555455760706,2.4958998663093848,2.5189848799089374,5.599959317261334,-1
1,3.140923030724977,3.2012981514599304,3.1723263579727337,3.2333147643206783,3.209758270376481,3.2159461016217694,3.1201448109997,3.1587071764389583,5.608599410478836,-1
2,3.763108909046738,3.846788063233878,3.819040842744495,3.8769921986713074,3.8575313534816797,3.860456693788795,3.7496945826816153,3.7943107222260037,5.607415780841996,-1
3,4.381970728142724,4.49277538450203,4.46539291244615,4.516566310924501,4.508784881304648,4.511454926808426,4.383080657880566,4.423306095963912,5.599662050870109,-1
4,5.012534593952634,5.142053051950697,5.113604040653236,5.155373541194132,5.150994299735599,5.172044561718474,5.011359467561409,5.0462090567284115,5.606676566257595,-1
5,5.01421701777056,5.145396632845315,5.139323275951485,5.156207226973808,5.153486940079636,5.191573128533466,5.015028744953689,5.037043293778703,5.62942358080969,-1
6,5.031647465546132,5.154749115574344,5.153265445036481,5.1576357101963275,5.151135970645266,5.19373697701996,5.029872996333478,5.028173940231803,5.611406037841288,-1
7,5.046087885927736,5.171343931375004,5.159292869225036,5.141157837715941,5.154087417078044,5.188285064427735,5.046289200965655,5.02599924711462,5.614375164949721,-1
8,5.064792025107152,5.184043120636611,5.1678486961584555,5.132206518725,5.159204272773687,5.192706563305936,5.056115197006939,5.00761196987371,5.61974228270121,-1
9,5.08789435561545,5.189466428905526,5.177213072678081,5.132195844789408,5.163396631271386,5.19257222371032,5.073128563955699,4.9814058167803354,5.62228027095907,-1
10,5.109632383629598,5.191391588110257,5.179746752386377,5.126001458375133,5.1661023647465445,5.1946855780421,5.085087858127934,4.957012979514345,5.623870823361634,-1
11,5.134574173421083,5.1937551144106635,5.185322089381044,5.127499282154003,5.168502376489934,5.193633098365076,5.087470573235027,4.940771843759964,5.625498825291011,-1
12,5.153487328685258,5.183659793552988,5.1821743798494335,5.1270747647391595,5.171712508610176,5.178313959229607,5.096976414286825,4.939818030524808,5.627672608742678,-1
13,5.16275584507941,5.178017178837599,5.178744604755924,5.12663974020814,5.171870006181301,5.174159888611143,5.104378932814846,4.935075269256972,5.628435157866337,-1
14,5.166284046855915,5.1785621041642536,5.178499916037045,5.118543619653022,5.173824408477496,5.172859946920511,5.101489691094843,4.922690089827365,5.627391251325687,-1
15,5.170674580310917,5.181421687674597,5.173449923423626,5.118973899539063,5.167828392191499,5.177744290729523,5.095311927029104,4.912323945968179,5.63991010086474,-1
16,5.175468520308742,5.179514710176544,5.165455246606285,5.116315183969093,5.164086252963754,5.170101636719943,5.086263400296568,4.910624526352468,5.6442693230466565,-1
17,5.175753369859389,5.175857046731952,5.146386698644906,5.103030980178642,5.162870474047666,5.173965638438012,5.070607710904625,4.9065021925755765,5.6474533414002845,-1
18,5.174819143667253,5.174742414531254,5.126219457057683,5.096363247344874,5.157458887490661,5.172989378641425,5.049600321322624,4.906096919898745,5.6432785338496965,-1
19,5.176734090722197,5.180100874078163,5.1128135363119895,5.089215424760282,5.1550280684174155,5.16224022887832,5.030505748666783,4.9107994127610635,5.652896079058316,-1
20,5.172428789945195,5.189648199310385,5.1058915787428205,5.077378725627732,5.15962272836634,5.155511662970042,5.00812074394337,4.905716111089831,5.657674475726318,-1
21,5.163836192920669,5.198994922001859,5.102501081005868,5.060524167866002,5.163368805857434,5.142547355109284,4.987606271295894,4.91284161035105,5.653394705781488,-1
22,5.156508898926685,5.207924540656723,5.1036152140571405,5.050956354171335,5.178158814335778,5.14500115433179,4.974551919435535,4.921644393439589,5.659258312415652,-1
23,5.147392389558089,5.206396936719053,5.105502669826889,5.042060135517989,5.1907613889587125,5.138866397094623,4.96755701740728,4.9311139192658775,5.656662100966491,-1
24,5.141334967619294,5.205469449001866,5.107973959933146,5.029951408602432,5.195128996145561,5.130622686928479,4.964151272947925,4.936069616959287,5.659717035946686,-1
25,5.134558569222849,5.212522850160364,5.122727949655263,5.019333273719377,5.197836798187788,5.112953308865272,4.968965270080447,4.947887017327245,5.661772739135014,-1
26,5.1318828776471275,5.2210122501012375,5.1430012030898125,5.012458032395481,5.200523562455213,5.096718026005327,4.974507780382835,4.954147853305071,5.657341378638532,-1
27,5.122614345846023,5.220252011493896,5.150118631654924,4.998985634942881,5.199006617284255,5.089121263375134,4.987808355026756,4.9527742030934725,5.659582584861094,-1
28,5.117347286136224,5.221234234243926,5.16168928436473,4.998528630446665,5.198238521036635,5.084487917644556,5.002331738323195,4.955938125508737,5.667690781371736,-1
29,5.116833515569196,5.2122287104883505,5.1757252881652756,5.0008750620471965,5.20450172128908,5.084908269931756,5.018671476005636,4.942405535545166,5.67529463649996,-1
30,5.112939308425986,5.202662971741339,5.187926886231446,5.003174425940944,5.198050871971039,5.072547404088647,5.033262500511001,4.932051304087844,5.683369371524112,-1
31,5.108105773777078,5.185635433697003,5.2000277567157,5.004493526192087,5.1942009676505965,5.070004396626541,5.042504494580808,4.91463361862878,5.670586900342103,-1
32,5.101957146204524,5.167370409864074,5.21310463976002,5.002316205690379,5.1936794926263365,5.077391807390418,5.059552631891262,4.898338662928373,5.687339763136554,-1
33,5.110038447729125,5.148036106975937,5.223302597774078,5.004890611517214,5.193455110200849,5.085799690853154,5.074925093738237,4.871984064803788,5.672150480826506,-1
34,5.110516712274319,5.122783116481369,5.225988342752645,4.997646892590857,5.188923091935916,5.095119662795416,5.094866344783459,4.856237802083596,5.673690484320906,-1
35,5.111582455114596,5.101166472726658,5.224279457747112,4.9879233130903655,5.182647635194327,5.104688762553173,5.107591686861041,4.844802389466602,5.684503929639771,-1
36,5.105613458448686,5.073201947779111,5.225862750922963,4.964648825361154,5.18508246930913,5.110011462433049,5.123236294687517,4.8339245873205865,5.681021519979576,-1
37,5.107372741417005,5.047900915058274,5.221323822998681,4.936523239574899,5.180364259696861,5.112025049839638,5.135784242160229,4.834084102464504,5.680245422525314,-1
38,5.113307477591886,5.030898145243966,5.214151891169642,4.902256734655534,5.1829607728960605,5.125289933287943,5.139642413992821,4.83881639044969,5.694096001851635,-1
39,5.125925825926981,5.025631357426101,5.211458896322457,4.871963573447906,5.181859407567464,5.129892227427918,5.141304231836732,4.84806190390041,5.699882501831912,-1
40,5.127099007752599,5.02273821183168,5.2039956328453,4.852552024931691,5.177018601649262,5.127979124266087,5.1281353180267,4.862584023700987,5.696762519304814,-1
41,5.117271357305327,5.024391866834016,5.19911070700851,4.842050325219296,5.1717346791295125,5.133397280065508,5.110864331520073,4.875878306136503,5.700355303822154,-1
42,5.10811095515003,5.032466959939658,5.199538566714123,4.83334588212841,5.175933564998693,5.129152853906853,5.0928447347085894,4.87482076661024,5.702604127333257,-1
43,5.101539733092779,5.035832298277475,5.205433639078251,4.829893115907414,5.185641000443608,5.116966708925532,5.077591107240396,4.86888434507073,5.692974013534365,-1
44,5.089880485190785,5.044056794526639,5.205487209535926,4.841772812130642,5.18448210503987,5.107239105699895,5.055993991318768,4.867480986215928,5.705341517065898,-1
45,5.071685557714334,5.065368932028458,5.198808149377825,4.858683539052864,5.1849051128520305,5.096283966278348,5.036463586997281,4.8667276259216905,5.700562559091454,-1
46,5.049897778504557,5.07450156014602,5.185975342694466,4.8840815607224535,5.184531757526744,5.080728351529413,5.019625063216427,4.874089947067596,5.708113038391895,-1
47,5.020700258316316,5.08486036499254,5.180138882455029,4.8971877330976055,5.194588750635989,5.064714570790665,4.99642625357929,4.885819271960239,5.712937647521677,-1
48,5.001565608211408,5.089297441042328,5.175423703866689,4.90853609375414,5.2037860964855325,5.04733228707113,4.983175624088327,4.9062738704605975,5.714009282744449,-1
49,4.978945884394664,5.080556805039696,5.173028603912651,4.912833653141733,5.20126261284747,5.029204708236368,4.972945798162185,4.932365948680185,5.7181412038612915,-1
50,4.9599827710596065,5.073913451529956,5.166018953066998,4.9193838385063415,5.1884162299021055,5.024464169119733,4.9625524573640325,4.963649583485196,5.717207893357238,-1
51,4.942457391473965,5.057813242162191,5.163882994631104,4.935749327780491,5.168915399526885,5.029415176773041,4.945965931021962,5.001343098281269,5.713634690024811,-1
52,4.930290952033936,5.045682398294522,5.157099464553072,4.9397483248821255,5.151110065699498,5.0310661837442705,4.9429644804535275,5.025867995994236,5.718431273261249,-1
53,4.91836567037032,5.025125530743342,5.15094480287025,4.941383666296979,5.13903817336084,5.029268458059063,4.935687560969823,5.049019344759646,5.713209446312134,-1
54,4.909628933653894,5.005819057102981,5.150540408727519,4.93286894320614,5.131285194669242,5.03024302043712,4.933751605442739,5.064373939651405,5.724306961618164,-1
