pixel_values,skewness,kurtosis,mean,std,n_maps,total_pixels
-3.7527447,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
21.323168,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
45.51424,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
69.1177,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
70.980675,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-15.592395,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
37.592552,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-4.4566545,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-33.51077,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
9.942797,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
11.282627,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
29.438591,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
2.8104062,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
12.11269,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-7.767137,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-62.443287,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-74.367455,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
15.400664,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
20.298935,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
10.225807,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-12.795335,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
26.991007,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-24.732697,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-57.0917,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
33.74036,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
3.3676956,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-20.92364,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-27.645447,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
9.745088,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
26.356712,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
16.407606,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-17.13892,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
2.9116638,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-60.28205,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-3.3068838,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
66.06494,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-46.381073,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
40.494358,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
54.305622,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-106.88706,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-48.0,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
61.60658,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-72.647675,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-44.672768,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
27.349812,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-4.539227,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
15.639827,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-4.245494,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-32.842316,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-69.61732,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
12.732085,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-41.854633,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
7.4975524,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-6.9953732,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
56.298203,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-11.670066,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-40.883415,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
30.03217,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-38.189102,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
19.557533,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-28.856146,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-39.391483,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
34.030796,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-0.6929839,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
28.601643,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
43.699223,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-20.780571,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-72.01779,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-96.8899,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
-37.23365,0.0035692032,-0.007107258,2.7937322e-06,41.444862,137,26935296
