Target,E_importance,I_importance
Reaching Lock-in,0.5109102105564965,0.4890897894435035
Stability Reached,0.3402990223766181,0.6597009776233819
Time to Lock-in,0.2612059343873085,0.7387940656126915
Time to Stabilize,0.7004834137757198,0.29951658622428035
Cold Spot Presence,0.6877638323252826,0.3086728564734204
Cold Spot Depth,0.6469129080643757,0.38235049689521416
AoE Strength,0.6181602061171618,0.35005491551992907
Entropy Volatility,0.6413473557238544,0.3968629636889343
CMB Quality,0.531498685565476,0.5444924019684547
Feature Importance,0.674931710064448,0.33326021945910683
Power Law Fit Quality,0.6416135868405658,0.4024569881152889
Phase Transition Sharpness,0.6260932120493933,0.3564923342878504
Correlation Matrix Strength,0.6265112169584293,0.35040196608845825
Finetuning Sensitivity,0.5578138869609447,0.489304374331263
E-I Balance,0.5577334559051697,0.4286363671779972
Planck Chi-Squared,0.7154667580573797,0.3008494995901495
Planck R-Squared,0.719306128592228,0.25159544079128987
CMB Anomaly Score,0.5316908174482667,0.468367371877645
CMB Statistical Significance,0.4731103901668292,0.496684514672395
