universe_id,E,I,age_Gyr,redshift,scale_factor,hubble_parameter,matter_density,dark_energy_density,total_density,epoch
156,0.766,0.15983854708983386,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
156,0.766,0.15983854708983386,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
156,0.766,0.15983854708983386,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
156,0.766,0.15983854708983386,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
156,0.766,0.15983854708983386,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
145,0.7640779395986885,0.1306004527079448,305391684.58036417,0.0,1.0,67.36,0.3153,0.7640779395986885,1.0793779395986887,transition_era
145,0.7640779395986885,0.1306004527079448,305391684.58036417,1.0,0.5,116.0659161598392,2.5224,0.7640779395986885,3.2864779395986887,transition_era
145,0.7640779395986885,0.1306004527079448,305391684.58036417,3.0,0.25,298.77201985251924,20.1792,0.7640779395986885,20.94327793959869,matter_dominated
145,0.7640779395986885,0.1306004527079448,305391684.58036417,10.0,0.09090909090909091,1365.305360710531,419.6643,0.7640779395986885,420.4283779395987,matter_dominated
145,0.7640779395986885,0.1306004527079448,305391684.58036417,1100.0,0.0009082652134423251,1381641.5470797387,420809879.80530006,0.7640779395986885,420809880.569378,matter_dominated
101,0.766,0.22144225191183745,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
101,0.766,0.22144225191183745,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
101,0.766,0.22144225191183745,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
101,0.766,0.22144225191183745,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
101,0.766,0.22144225191183745,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
127,0.7464822930780771,0.17568811931201694,305391684.58036417,0.0,1.0,67.36,0.3153,0.7464822930780771,1.0617822930780771,transition_era
127,0.7464822930780771,0.17568811931201694,305391684.58036417,1.0,0.5,117.09317123072432,2.5224,0.7464822930780771,3.2688822930780774,transition_era
127,0.7464822930780771,0.17568811931201694,305391684.58036417,3.0,0.25,300.7694949973794,20.1792,0.7464822930780771,20.92568229307808,matter_dominated
127,0.7464822930780771,0.17568811931201694,305391684.58036417,10.0,0.09090909090909091,1368.8094396879023,419.6643,0.7464822930780771,420.4107822930781,matter_dominated
127,0.7464822930780771,0.17568811931201694,305391684.58036417,1100.0,0.0009082652134423251,1381676.570034334,420809879.80530006,0.7464822930780771,420809880.55178237,matter_dominated
141,0.766,0.13088948386786314,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
141,0.766,0.13088948386786314,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
141,0.766,0.13088948386786314,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
141,0.766,0.13088948386786314,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
141,0.766,0.13088948386786314,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
139,0.72,0.1791007927639375,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.72,1.0352999999999999,transition_era
139,0.72,0.1791007927639375,305391684.58036417,1.0,0.5,118.62247090463089,2.5224,0.72,3.2424,transition_era
139,0.72,0.1791007927639375,305391684.58036417,3.0,0.25,303.7510302768371,20.1792,0.72,20.8992,matter_dominated
139,0.72,0.1791007927639375,305391684.58036417,10.0,0.09090909090909091,1374.0664017305714,419.6643,0.72,420.38430000000005,matter_dominated
139,0.72,0.1791007927639375,305391684.58036417,1100.0,0.0009082652134423251,1381729.2795895697,420809879.80530006,0.72,420809880.5253001,matter_dominated
42,0.72,0.2959956761178622,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.72,1.0352999999999999,transition_era
42,0.72,0.2959956761178622,305391684.58036417,1.0,0.5,118.62247090463089,2.5224,0.72,3.2424,transition_era
42,0.72,0.2959956761178622,305391684.58036417,3.0,0.25,303.7510302768371,20.1792,0.72,20.8992,matter_dominated
42,0.72,0.2959956761178622,305391684.58036417,10.0,0.09090909090909091,1374.0664017305714,419.6643,0.72,420.38430000000005,matter_dominated
42,0.72,0.2959956761178622,305391684.58036417,1100.0,0.0009082652134423251,1381729.2795895697,420809879.80530006,0.72,420809880.5253001,matter_dominated
15,0.7385317424600677,0.1819822744119717,305391684.58036417,0.0,1.0,67.36,0.3153,0.7385317424600677,1.0538317424600678,transition_era
15,0.7385317424600677,0.1819822744119717,305391684.58036417,1.0,0.5,117.55438957733556,2.5224,0.7385317424600677,3.260931742460068,transition_era
15,0.7385317424600677,0.1819822744119717,305391684.58036417,3.0,0.25,301.66771110137046,20.1792,0.7385317424600677,20.91773174246007,matter_dominated
15,0.7385317424600677,0.1819822744119717,305391684.58036417,10.0,0.09090909090909091,1370.389810448107,419.6643,0.7385317424600677,420.4028317424601,matter_dominated
15,0.7385317424600677,0.1819822744119717,305391684.58036417,1100.0,0.0009082652134423251,1381692.3947810568,420809879.80530006,0.7385317424600677,420809880.5438318,matter_dominated
126,0.766,0.2101234144739196,305391684.58036417,0.0,1.0,67.36,0.3153,0.766,1.0813000000000001,transition_era
126,0.766,0.2101234144739196,305391684.58036417,1.0,0.5,115.95315260362695,2.5224,0.766,3.2884,transition_era
126,0.766,0.2101234144739196,305391684.58036417,3.0,0.25,298.5530160126338,20.1792,0.766,20.9452,matter_dominated
126,0.766,0.2101234144739196,305391684.58036417,10.0,0.09090909090909091,1364.9220476542973,419.6643,0.766,420.43030000000005,matter_dominated
126,0.766,0.2101234144739196,305391684.58036417,1100.0,0.0009082652134423251,1381637.7212936003,420809879.80530006,0.766,420809880.5713,matter_dominated
65,0.7621898703907954,0.18909337546591334,305391684.58036417,0.0,1.0,67.35999999999999,0.3153,0.7621898703907954,1.0774898703907954,transition_era
65,0.7621898703907954,0.18909337546591334,305391684.58036417,1.0,0.5,116.17657895420484,2.5224,0.7621898703907954,3.2845898703907954,transition_era
65,0.7621898703907954,0.18909337546591334,305391684.58036417,3.0,0.25,298.9869944732596,20.1792,0.7621898703907954,20.941389870390797,matter_dominated
65,0.7621898703907954,0.18909337546591334,305391684.58036417,10.0,0.09090909090909091,1365.6817902147277,419.6643,0.7621898703907954,420.4264898703908,matter_dominated
65,0.7621898703907954,0.18909337546591334,305391684.58036417,1100.0,0.0009082652134423251,1381645.3051974205,420809879.80530006,0.7621898703907954,420809880.5674899,matter_dominated
