universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch
0,2399586109,0.732933232218902,0.2253932780503695,18.71574364928469,1,0,374,-1
1,121854094,0.766,0.19235042885859024,18.782307719454625,1,1,411,443
2,2722290648,0.7585866094516062,0.19510218471677576,18.683571513934087,1,1,133,156
3,3610738759,0.72,0.1866961222338969,17.76053020021014,1,1,165,243
4,2316165737,0.7524265900778672,0.22482606065299324,19.095400893311222,0,0,-1,-1
5,1033961707,0.766,0.23520789609666864,19.553742129740037,1,1,385,496
6,1145003318,0.7617572018566293,0.21424457555228907,19.09154639707379,0,0,-1,-1
7,3073000613,0.766,0.17519810289630092,18.47356585213342,1,1,368,393
8,1619441923,0.72,0.2517172937165889,18.9309112868986,1,0,172,-1
9,1378115571,0.766,0.1543668257145044,18.098602862861078,1,1,21,376
10,2830600570,0.766,0.15454355504518258,18.10178399081329,1,1,114,319
11,1220395524,0.7399278186539798,0.23573487883197727,19.041784192055186,1,1,52,285
12,2147769999,0.766,0.2308048093567273,19.474486568421092,1,1,78,345
13,2307598733,0.72,0.17544367683423356,17.557986183016205,1,1,111,210
14,2986114239,0.72,0.26612486196423196,19.190247515356177,1,0,344,-1
15,19683203,0.7385317424600677,0.1819822744119717,18.046315788616845,1,1,37,244
16,3123738446,0.744591264247339,0.2536543122264072,19.45760290502211,1,1,60,386
17,4164190581,0.766,0.22562930994841304,19.381327579071435,1,1,76,215
18,3896146760,0.766,0.17324806805368603,18.43846522496635,1,1,12,197
19,2215729190,0.753248540812669,0.24751072718659675,19.520163905612122,1,1,151,266
20,1361783544,0.766,0.18539030556361516,18.65702550014507,1,0,200,-1
21,2214459803,0.7325567335457768,0.19750221549919783,18.206174549901096,1,1,31,130
22,1812603594,0.72,0.2737099199018485,19.326778558233272,0,0,-1,-1
23,1151757861,0.766,0.2513848856601544,19.84492794188278,1,1,161,176
24,1527880305,0.766,0.2564748011561962,19.93654642081153,1,1,50,301
25,3477821186,0.766,0.13904259082132356,17.822766634783825,1,1,61,379
26,1399263610,0.7584116073652523,0.1675612377333952,18.184334426506158,1,1,162,274
27,2856505368,0.72,0.2223904296706723,18.4030277340721,1,1,74,179
28,354014279,0.766,0.1864542645329403,18.676176761592927,0,0,-1,-1
29,912073397,0.7418789820644293,0.1769166216099567,18.02207883026781,1,1,44,284
30,3719801524,0.7569611543060141,0.29347744580136587,20.421817110544865,1,1,54,204
31,278773404,0.766,0.291489941547069,20.566818947847242,1,1,115,197
32,3927748446,0.72,0.2091860456883667,18.165348822390598,1,1,27,244
33,2853620348,0.766,0.11622349355026271,17.41202288390473,1,1,36,301
34,1251839733,0.766,0.30001934303434846,20.720348174618273,1,1,197,335
35,2436166671,0.7314964149965055,0.26320291101853033,19.36758069826366,1,1,165,317
36,1165686991,0.72,0.20854458599057646,18.153802547830374,1,1,12,210
37,3636745976,0.7611551114928315,0.20753731517812163,18.95877390306282,1,1,298,483
38,1074199758,0.7222039480666761,0.16641272828079454,17.439508070387824,1,1,15,483
39,1350540580,0.766,0.20797797066462706,19.06360347196329,1,1,94,192
40,2107537244,0.72,0.32824855525079843,20.30847399451437,1,1,63,122
41,579425981,0.766,0.15584216232919013,18.125158921925426,1,1,70,310
42,3232181061,0.72,0.2959956761178622,19.72792217012152,0,0,-1,-1
43,3489344256,0.7265766710799598,0.2234791612876083,18.554158324776147,1,1,100,184
44,3972649514,0.766,0.18991273058242047,18.73842915048357,1,1,47,145
45,4066846787,0.72,0.2088569280616844,18.159424705110318,1,1,274,315
46,2059654593,0.766,0.19748042810805078,18.874647705944913,1,1,76,225
47,2362345811,0.7289029447474339,0.1571085083557456,17.4060120453521,1,0,108,-1
48,607849417,0.766,0.2499881586250598,19.819786855251074,1,0,474,-1
49,2296912746,0.766,0.25839413342483536,19.971094401647036,1,1,50,385
50,2895797716,0.766,0.16633660428304597,18.314058877094826,1,0,146,-1
51,3584697513,0.72,0.2568162996629916,19.022693393933846,1,0,107,-1
52,823130824,0.766,0.18716499128919611,18.68896984320553,1,1,80,205
53,2224628758,0.766,0.20871410513676936,19.07685389246185,1,1,121,205
54,1462600883,0.72,0.22736987587876067,18.49265776581769,1,1,12,355
55,1899795378,0.766,0.23402977079004392,19.53253587422079,1,1,4,131
56,3221737190,0.7479613556598749,0.25256393828008816,19.505378002239084,1,1,50,303
57,317137794,0.74034302175402,0.1927221207182352,18.275858608008633,1,1,313,407
58,151203299,0.766,0.2349216407455127,19.54858953341923,1,0,88,-1
59,598460101,0.72,0.2569233088964581,19.024619560136244,1,1,174,268
60,2564432170,0.7585493117182064,0.19671046429257621,18.711774591630498,1,0,96,-1
61,4185545244,0.72,0.3220038223781277,20.1960688028063,1,0,27,-1
62,3323053004,0.766,0.14263499777035998,17.88742995986648,1,1,111,288
63,832988286,0.766,0.19199518200785998,18.77591327614148,1,1,150,478
64,3349734363,0.72,0.23692140678210089,18.664585322077816,0,0,-1,-1
65,2655193220,0.7621898703907954,0.18909337546591334,18.647478166202347,1,1,118,180
66,463675168,0.766,0.1782980917726642,18.529365651907955,1,1,295,377
67,2348217878,0.7563477095048374,0.2565181128583979,19.74428022154791,1,1,282,318
68,3541676836,0.72,0.2540190315551685,18.97234256799303,1,1,4,124
69,2775610476,0.766,0.19914753659473503,18.90465565870523,1,0,321,-1
70,3667449526,0.7303069696155541,0.27090373175563714,19.48240656391255,0,0,-1,-1
71,51853973,0.737863956413485,0.2865849585695698,19.915808382521956,1,1,154,180
72,522007636,0.766,0.24168970595119293,19.670414707121473,1,1,51,271
73,3426746282,0.72,0.2288989363735241,18.520180854723435,1,1,46,165
74,1226847102,0.766,0.14354941148922107,17.90388940680598,1,1,91,309
75,3214924359,0.766,0.15788622217248288,18.161951999104694,1,1,43,184
76,3090234716,0.72,0.16773276318786498,17.41918973738157,1,1,4,403
77,1713210074,0.72,0.2973838182462083,19.75290872843175,1,1,49,225
78,1821541715,0.766,0.3024650325286091,20.764370585514964,1,0,289,-1
79,1210680223,0.7505284582384661,0.11324653998139597,17.04900688443445,1,1,387,403
80,648662158,0.766,0.17853492112020294,18.53362858016365,1,1,26,149
81,2999471287,0.766,0.28507491307824123,20.451348435408345,1,1,246,267
82,3823679723,0.7430846650395815,0.20731131493815866,18.593296969678484,1,1,230,261
83,1268916001,0.7302746137595676,0.27485616260625917,19.552903202104016,1,1,6,194
84,4207343626,0.745614615875439,0.22036050087229836,18.87878133321015,1,1,122,215
85,3372535244,0.766,0.2164999058484976,19.216998305272956,1,1,91,301
86,3449396193,0.72,0.2277507395731148,18.499513312316065,1,1,74,316
87,2186194772,0.7240852536772321,0.20715859012005222,18.21055969570558,1,1,52,414
88,1333781101,0.7201412483075411,0.17000555450203908,17.462924947187524,1,0,324,-1
89,45750650,0.750272022021084,0.21773532128284806,18.924676223512943,1,1,151,367
90,2669650069,0.72,0.17950486416386546,17.631087554949577,1,1,172,477
91,1072939260,0.72,0.2832550661328286,19.498591190390915,0,0,-1,-1
92,725793725,0.766,0.21042033173561434,19.10756597124106,1,1,254,365
93,2313218505,0.72,0.3504035894657742,20.707264610383938,1,0,495,-1
94,3410480216,0.7608681165297647,0.2188988286361661,19.157541246046286,0,0,-1,-1
95,3355819410,0.7601024129940198,0.25814589796158954,19.848674423189006,0,0,-1,-1
96,256992742,0.7392438441154906,0.1903753387566133,18.21163297992885,0,0,-1,-1
97,3379791913,0.7469363210758985,0.17877752701753935,18.156721907833678,1,1,102,124
98,1981425120,0.766,0.2754830125801068,20.278694226441925,1,1,123,277
99,281278342,0.766,0.23122599579997258,19.482067924399505,1,1,239,285
100,4015270083,0.72,0.22450712297463288,18.441128213543394,1,1,166,270
101,1860373626,0.766,0.22144225191183745,19.305960534413074,1,1,146,166
102,1610453799,0.766,0.2633798399748533,20.060837119547358,1,1,34,428
103,3356970514,0.766,0.22508150053103804,19.371467009558685,1,1,309,423
104,2238094582,0.766,0.28119775185953433,20.381559533471616,1,1,148,439
105,367273699,0.72,0.2968942632621809,19.744096738719254,1,1,117,313
106,1707163794,0.766,0.22340804846969436,19.3413448724545,1,1,74,332
107,1692420828,0.7476175350472478,0.23550786360714596,19.191492245873583,1,1,133,200
108,3009417149,0.738852022675889,0.2336772458907847,18.983230879551904,1,0,41,-1
109,1193356446,0.72,0.2765310506063162,19.37755891091369,1,1,148,232
110,56277939,0.7303964739479596,0.2248857912924141,18.655873722222648,1,1,33,264
111,2851319535,0.72,0.22060432758786774,18.370877896581618,1,1,64,237
112,2882015806,0.766,0.18820580122457625,18.707704422042372,0,0,-1,-1
113,1517267610,0.766,0.13612615751101043,17.770270835198186,1,0,324,-1
114,440282313,0.766,0.20342590063241717,18.98166621138351,1,1,84,140
115,2109155874,0.72,0.20615242870409844,18.11074371667377,1,0,166,-1
116,4084373458,0.7659980786376074,0.25081302028240904,19.83459593783551,0,0,-1,-1
117,4139159552,0.72,0.18252093638089373,17.685376854856088,1,0,36,-1
118,604908272,0.766,0.30130577226632593,20.743503900793865,1,1,44,143
119,2141850392,0.7434546176711266,0.1994561319287727,18.45930272814044,1,1,4,190
120,2943951490,0.766,0.15321334594678904,18.077840227042202,1,0,331,-1
121,3568125519,0.766,0.15585319106828163,18.12535743922907,1,1,403,458
122,4264712645,0.7427623357354503,0.22881640192752128,18.973941949404388,1,1,309,398
123,1220686987,0.766,0.28631513505228484,20.47367243094113,1,1,92,184
124,1777696177,0.766,0.1649270367377013,18.288686661278625,1,1,18,212
125,188844294,0.72,0.2520734847593813,18.937322725668864,1,1,109,154
126,2408855896,0.766,0.2101234144739196,19.102221460530554,1,1,268,372
127,3967686788,0.7464822930780771,0.17568811931201694,18.09203200917785,1,1,226,374
128,4249754957,0.7240570438683135,0.2944587892595031,19.781399084037325,0,0,-1,-1
129,2963837567,0.766,0.17760945358699803,18.516970164565965,1,1,153,210
130,1145836304,0.7622851903905637,0.20481027969687393,18.932288842355007,1,0,390,-1
131,2119431374,0.754162093170307,0.15192850086676213,17.817954879007857,1,1,4,167
132,3354351254,0.72,0.3014821266862485,19.82667828035247,1,1,4,256
133,3614510526,0.766,0.1964825056432415,18.856685101578346,1,1,161,252
134,3795239697,0.766,0.17095391964652787,18.3971705536375,1,1,48,123
135,3917757420,0.7572364095889875,0.2587974965014697,19.803083128806204,1,1,155,184
136,3968065592,0.7590672594885554,0.2789601876598197,20.20262856764786,1,0,312,-1
137,2426998582,0.7378022795477638,0.23770690464268548,19.034769874523615,1,1,298,311
138,1576197633,0.766,0.22476439458423667,19.36575910251626,1,0,405,-1
139,177898736,0.72,0.1791007927639375,17.623814269750874,1,1,261,273
140,2880870745,0.766,0.22013734523311834,19.282472214196133,1,1,73,152
141,4106270834,0.766,0.13088948386786314,17.676010709621536,1,1,19,141
142,2566058165,0.72,0.2640713249331928,19.153283848797468,1,1,123,164
143,3348444906,0.766,0.2857963426597812,20.46433416787606,1,1,259,369
144,667955777,0.72,0.20223638008928313,18.040254841607094,1,0,104,-1
145,3849483349,0.7640779395986885,0.1306004527079448,17.63236694071678,1,1,97,186
146,2399030138,0.72,0.21807947901349167,18.325430622242852,1,1,97,211
147,1853818257,0.72,0.20057200050902296,18.010296009162413,1,0,176,-1
148,1976281105,0.72,0.2903569400484099,19.62642492087138,1,1,214,324
149,3851138557,0.7203511951849775,0.3207880712706519,20.181209186571284,1,1,22,231
150,2361406196,0.766,0.24648856638777827,19.75679419498001,1,1,25,346
151,3800928834,0.766,0.19334133150077545,18.80014396701396,1,0,452,-1
152,3350363390,0.766,0.18369062221886306,18.626431199939535,1,1,136,374
153,461541629,0.766,0.2623671603289731,20.042608885921517,1,1,270,408
154,3709493709,0.7438411413627853,0.2744226932352936,19.81643130549099,1,1,66,171
155,889476750,0.7311640797096612,0.20446432952756843,18.303639525689455,1,1,145,451
156,2922257325,0.766,0.15983854708983386,18.19709384761701,1,1,152,183
157,2389402987,0.72,0.2649265150967541,19.168677271741572,1,1,157,282
158,975239486,0.72,0.3232654283654355,20.21877771057784,1,0,181,-1
159,1105308454,0.752307237651908,0.19399573251123442,18.538067938240378,1,1,155,193
160,3107659939,0.766,0.15535762471314246,18.116437244836565,1,1,71,141
161,846817742,0.7540780022234798,0.15818325936358718,17.928858713014165,1,1,124,328
162,3997813285,0.72,0.19148421302634344,17.846715834474182,1,0,384,-1
163,1953807072,0.766,0.1421131104798019,17.878035988636434,1,1,112,124
164,1098530406,0.7514480959281582,0.29130113818937814,20.272382405971968,1,0,385,-1
165,2880037811,0.72,0.20555103117594653,18.099918561167037,1,1,221,276
166,1136244612,0.7411685511614053,0.2569532414341749,19.448529369043253,1,1,51,237
167,3329629467,0.766,0.19642509251665383,18.855651665299767,1,1,73,183
168,2537150720,0.7466334282419906,0.2334476482484455,19.13472623331183,1,1,181,308
169,1079156881,0.766,0.1841250926564522,18.63425166781614,1,1,69,209
170,3523555933,0.72,0.2874713080156405,19.574483544281527,1,1,10,282
171,216927142,0.766,0.2557924020169884,19.92426323630579,1,0,129,-1
172,2171846487,0.766,0.21886040475406776,19.259487285573222,1,1,36,188
173,3492657269,0.72,0.32723753736066447,20.290275672491962,1,1,284,353
174,341709204,0.766,0.26504677885421796,20.090842019375927,1,1,60,162
