time_step,region_1_entropy,region_2_entropy,region_3_entropy,region_4_entropy,region_5_entropy,region_6_entropy,region_7_entropy,region_8_entropy,global_entropy,lock_epoch
0,2.53187999692521,2.51786452701165,2.5659880338442305,2.546221201403581,2.5667338755140197,2.5399791966888103,2.5025960410990056,2.5124817837907383,5.598984419885954,123
1,3.1582903384545347,3.1434148543080966,3.2125473529904864,3.167366244844427,3.209493584425058,3.1736854754707986,3.1237961807992685,3.1489034561319347,5.602323253655775,123
2,3.791807916895029,3.775085702086604,3.8529210009767367,3.7927858469518307,3.8574014193039083,3.8093932483522015,3.7428291599046477,3.7914080735452425,5.604035563429306,123
3,4.421636404590776,4.412618062169786,4.497412357400748,4.420527772137473,4.504467979348043,4.449923950512907,4.3590778656583336,4.436846342971513,5.604051356965277,123
4,5.06081752318992,5.052613169485989,5.141759593793475,5.040328950643478,5.154864038500657,5.092795089856513,4.981704027735393,5.086020817193527,5.604219656886029,123
5,5.066155969705886,5.063465934119902,5.146276690346259,5.011514463661342,5.161531083894386,5.097352324289232,4.974848791962002,5.095036854653392,5.614517803350488,123
6,5.073356028067678,5.070578725336671,5.147860339617803,4.991207394525551,5.1554070194800765,5.105081092860276,4.9718043184804595,5.109008115550729,5.619491167641308,123
7,5.084541092870275,5.0737066207258925,5.152027437212081,4.976543258393006,5.1560830530015815,5.1115363292820835,4.970141668193788,5.120566422119882,5.619452017403086,123
8,5.112682728081361,5.078899922060068,5.160940191403876,4.955387871619074,5.15177537462698,5.1178145314290076,4.975227522224321,5.139857858994405,5.618160162581234,123
9,5.140686251533335,5.078383419689094,5.164177238121079,4.948805325078976,5.145819940265658,5.127570650042776,4.969793610800396,5.150028669741804,5.625224445935617,123
10,5.157975355096304,5.075258365613305,5.176606107338667,4.938072747816283,5.13459020584272,5.138532577199298,4.962363369905039,5.149496377865235,5.6191212877688415,123
11,5.177504792079453,5.0637712705604585,5.17907085612345,4.919569862964267,5.117977852528396,5.140101681537228,4.959911030608674,5.1466982260633705,5.630684881761239,123
12,5.19166651430742,5.062030360264072,5.190072481691657,4.902639888244963,5.087968162083417,5.138387963807516,4.953245441750171,5.147733878152238,5.627038361449488,123
13,5.19997400697489,5.063954469359195,5.19208367786069,4.896797298642618,5.064429335014999,5.144786109959868,4.9561591942329795,5.154767962883923,5.636313908259574,123
14,5.202898599826457,5.068010209345993,5.194583155526285,4.882581918911939,5.047462773777093,5.143231633916296,4.956196835645695,5.167757316036521,5.638088426276959,123
15,5.2039532719061175,5.07992706517571,5.196041800050003,4.873384918224193,5.034027512714292,5.143490016145813,4.953057942426146,5.177881375926181,5.632489584346222,123
16,5.2104623088768856,5.089401407873753,5.202085174120746,4.873092243702992,5.029103058750548,5.149953133965583,4.959955261855275,5.178221783686709,5.639427740097394,123
17,5.203906140321067,5.097490043222336,5.206638814158045,4.871034228142607,5.019535133498589,5.156712433830594,4.970538488055082,5.1744768583982985,5.63998217074331,123
18,5.198754846044318,5.097410932729769,5.209883769069227,4.86680845967097,5.010843528255793,5.160553597523686,4.9814415456646035,5.173135757518128,5.640625999814659,123
19,5.200080878964645,5.1030184253453355,5.226255047030363,4.865436252466458,5.014114656147908,5.169434023587657,4.990650628644416,5.167781666876507,5.635921769666838,123
20,5.202012741879687,5.092828883562587,5.237915639626934,4.875633249688121,5.030730099176152,5.181847579654022,4.998405936127669,5.1676267853785145,5.6460173955319926,123
21,5.202658512382184,5.0833814600317915,5.258187451711398,4.879785834087415,5.042155413912788,5.196050140286869,4.999808296799993,5.162974740394114,5.658951238468922,123
22,5.198717524040728,5.078182692024768,5.27741767067669,4.884564624000138,5.0594696348259465,5.203184304544584,5.000517781657047,5.1524077326263225,5.649629582701731,123
23,5.188426980931258,5.075256685826405,5.293954368800269,4.887217193179382,5.066093985622712,5.21842050099221,5.0004130571029695,5.147560991805378,5.667810186254653,123
24,5.177051086462631,5.080243270524763,5.3105005753834424,4.892505454741795,5.077462232673842,5.235504152641161,4.98914008640389,5.142190728885333,5.668381332697688,123
25,5.177654248437221,5.091499474720952,5.32827508650389,4.905062118083277,5.097303526819936,5.241267616071705,4.984368161458336,5.143047592521466,5.664177330103077,123
26,5.186793695186475,5.107625517129696,5.337899999558185,4.911838669539151,5.110800362455066,5.24515012127694,4.979625109272666,5.149043691507623,5.667455123642445,123
27,5.191803113959626,5.1226571166588455,5.33974624688202,4.924347618092008,5.119801629565334,5.241922982554728,4.979400720597813,5.159846541214674,5.669802738394282,123
28,5.188061990566056,5.147629129329665,5.330405103237759,4.929977074033839,5.133304260182468,5.231221354215181,4.9818574859878435,5.1564211037852505,5.666953140198415,123
29,5.198237376198848,5.168356650072349,5.32965543695636,4.93580098599252,5.1469794087189715,5.202688330558307,4.976128518009532,5.15846830576715,5.675378395792043,123
30,5.221095243500174,5.183199574589531,5.324571855186128,4.94718031177936,5.160780295666722,5.183469384550193,4.978389621645053,5.167436557009009,5.667062635191566,123
31,5.245772966391544,5.198087271253474,5.316879482222163,4.9577175083768745,5.170001508181093,5.146213806910586,4.981748532729892,5.171354730342863,5.6815397978690365,123
32,5.25637876774295,5.1971398015984525,5.3157432715165385,4.96654126230928,5.168916044746461,5.102240159254574,4.984023918274302,5.174305856415067,5.68679363298546,123
33,5.2672816974004615,5.203922267843785,5.310739357615304,4.961128501255267,5.164022839234445,5.0672221542621125,4.983299839245154,5.175110905934706,5.683507238517824,123
34,5.269658555921589,5.213909055982824,5.308537589497052,4.959074741505587,5.155272599401495,5.033374968387459,4.985392507543349,5.178897178222785,5.669020192281259,123
35,5.271306306735774,5.226439510517657,5.310241702819651,4.961408046517561,5.1433095546157634,4.999244001181074,4.98439716488023,5.178573642680689,5.6824524310929165,123
36,5.28124236305873,5.235167839371373,5.3193469513148175,4.961430680105587,5.119259157906786,4.969037594657806,4.97682817174003,5.1865954795908635,5.687199195285688,123
37,5.281946944452101,5.248823974328601,5.322588284034083,4.963106500013036,5.097906602982638,4.949165759640392,4.969735796527309,5.199552185409736,5.687103750913743,123
38,5.272928369350145,5.257542986991499,5.318646229019051,4.96706681602052,5.078196028172895,4.936106606640627,4.958870378448216,5.204965068847235,5.691695750519219,123
39,5.267496548814916,5.259095340538896,5.317411676716273,4.967218708087612,5.0716631631534135,4.939283911013119,4.960477491447571,5.215427680580135,5.697690233716452,123
40,5.264631879819445,5.272446386251863,5.303952056847414,4.972162571629599,5.06022030085438,4.950722138212112,4.957519844541595,5.226560718754158,5.699593606217612,123
41,5.262242532261353,5.287195770091231,5.284559384541536,4.977693375091904,5.048113726150874,4.95913513474346,4.955262297374382,5.239926836282935,5.7056221560914935,123
42,5.263865243860058,5.303087292246868,5.26323653232664,4.989941038119824,5.048376635094713,4.973065866953949,4.953820362792684,5.240363599123587,5.706030430365172,123
43,5.266914071632215,5.317809631064693,5.233576589125383,4.999524396736018,5.048124554392961,4.991895338090885,4.9526438781710995,5.242022131676344,5.703489654921506,123
44,5.265077358669035,5.3274217411063844,5.206594608234914,5.009503625012735,5.047285061286856,5.010871923856263,4.96103856042857,5.232377475594668,5.6983905727230315,123
45,5.256602333495609,5.329078269730897,5.172903839125933,5.017195380384234,5.037210398095835,5.028771198804976,4.963514582348136,5.231799269674488,5.706507147681653,123
46,5.249632932766664,5.340162075238614,5.146031645933413,5.026544873510158,5.024055851515208,5.039247534108421,4.960803145277457,5.236449496596832,5.7078243660653545,123
47,5.247442616764141,5.348957419369901,5.120768679589002,5.040404595513104,5.0112438084426465,5.033968005363537,4.954218070255247,5.232433026789048,5.712233270463237,123
48,5.245512814070686,5.3659144484552215,5.098546352696097,5.043952616209609,5.008404485376912,5.023505081183654,4.953019633074415,5.233941366546972,5.710866219652409,123
49,5.234236229879687,5.375380385481836,5.079295859292487,5.052507761527216,5.004184768608577,5.011237482649696,4.952606163490414,5.241578003453995,5.713667823862363,123
50,5.2160682787430535,5.374736986489213,5.071877338553056,5.060901838944605,4.994581394951338,4.998342207052836,4.952962994784388,5.255873923517283,5.703099091185163,123
51,5.199875565163788,5.369322521377001,5.074321069579956,5.06020081609898,4.983799605051748,4.982593470279196,4.950721907561853,5.270389614073112,5.720004963780921,123
52,5.189889421861338,5.357542310200475,5.079187369510265,5.055955318942547,4.980675031611947,4.966987227039822,4.946972537382461,5.295101190544884,5.725609525379064,123
53,5.185359765225857,5.350162809204983,5.089284872507939,5.057547331933022,4.97758851605913,4.950899819671367,4.947710277987237,5.300173489144318,5.73004686375036,123
54,5.187287403923918,5.342117680929686,5.094802751081535,5.062685130746185,4.98146533544435,4.936035887666639,4.9510342228167,5.299169299904346,5.723137341553428,123
55,5.178378264213082,5.343036015560525,5.098031449194855,5.064043153584325,4.988420641617047,4.93826128815749,4.953093200913959,5.298379634301682,5.730051024669732,123
56,5.163546326957672,5.328546488194457,5.089316710738674,5.0716611983931905,4.994014764082097,4.947789693651127,4.953448273602737,5.290564315123494,5.732031460404494,123
57,5.16044452327684,5.307057687216696,5.085156881716831,5.084592690584114,5.007167895640831,4.959084771161736,4.957768440284724,5.27725969971404,5.727519181157817,123
58,5.164824889987156,5.288833121181248,5.07299213583471,5.101043343775964,5.02550369586134,4.962339239927982,4.963480973077976,5.2548683972023005,5.7368808073451865,123
59,5.160482673912529,5.270796170574926,5.048065770589919,5.115643836511827,5.053488243256931,4.973390986222818,4.972462540040617,5.229710186548349,5.726761405028716,123
60,5.15701185547843,5.260277171310985,5.026019755787511,5.144514811139552,5.082797708555591,4.986339866306078,4.978930084628156,5.193697961922376,5.738060095527001,123
61,5.154035845289713,5.248627823761339,5.00819232662109,5.168396408976407,5.118510455553852,4.9989235358904445,4.99735776304556,5.158163495350643,5.732553835348206,123
62,5.1552997630444715,5.240536319380396,5.000479336892044,5.191877301137135,5.133983957741973,5.008200598984795,5.01479437616439,5.124756971260179,5.739664412364856,123
63,5.161604495064869,5.222012188769698,4.994263986430832,5.219682227053712,5.139796341687374,5.005130787427244,5.0321251144304835,5.083144644718842,5.739086017812378,123
64,5.185813659597153,5.211420693952361,5.001154269914446,5.24688574908966,5.140272916364806,5.001518896196865,5.051984251045475,5.045166095843547,5.7483280632251885,123
65,5.199888652277607,5.210611504365476,5.009024408780559,5.269088076812388,5.134289316292372,5.001719182519682,5.068650418290705,5.00641288239288,5.749263604927086,123
66,5.209683017214995,5.213672268344428,5.019758481662404,5.284928582809817,5.129571365086967,5.003660530822993,5.079828745837596,4.984481070324595,5.746134601423183,123
67,5.221725311980285,5.221036193447226,5.036179124719149,5.3062461987249705,5.121564974219184,5.0035460876123485,5.089914572626122,4.960217737461316,5.754011677880936,123
68,5.2216999797369255,5.2339284982620615,5.041309597346418,5.32375365667783,5.109493082333176,5.005963360639743,5.1007211483558095,4.939366288672423,5.757942462313807,123
69,5.215777763898105,5.244695740943485,5.044586476424938,5.333993505480568,5.098538967341711,5.009829475669932,5.104701648179639,4.928937146363065,5.745495692215523,123
70,5.2076901690322766,5.249582412474245,5.043880521147714,5.341841746284001,5.1017999309906195,5.020634684765701,5.109154215325433,4.9191379134323725,5.752185626918984,123
71,5.205337770409064,5.2541709261335825,5.040531981032171,5.343217769824188,5.1093566230987975,5.028981192864544,5.110297864540019,4.907584010356995,5.755117306959399,123
72,5.197153921790333,5.262133699753219,5.042094974736749,5.328017492800518,5.123581478697987,5.042543235150329,5.102767884792433,4.901110956397166,5.7588603034101284,123
73,5.194247024287578,5.26538561326205,5.039888601803485,5.312550357453131,5.145033311323288,5.046649820891524,5.0986125227077945,4.899199834227552,5.764714932061137,123
74,5.1840252059699115,5.268910556918123,5.039124637147344,5.294616830858876,5.158619531799038,5.05251835837372,5.097629543749917,4.89586925271882,5.753658043067858,123
75,5.176735825551205,5.269840546163495,5.038525144539932,5.274659282700976,5.171708773846805,5.057792843828194,5.098941346501594,4.900841758147959,5.761250441168248,123
76,5.17942720002096,5.268136075700867,5.042039428399871,5.250187901945848,5.179780879428491,5.059844261708576,5.102734782131608,4.910500454474034,5.7631528220447334,123
77,5.187561386845509,5.270308799794759,5.041812534672805,5.229716347779224,5.19439633094253,5.061534129956295,5.112798726259028,4.923164387977559,5.766301781100907,123
78,5.189338040949623,5.268723136252505,5.043953184790166,5.19977686667366,5.202004224729662,5.053730254447653,5.118680722598194,4.945059061167051,5.7652590330446785,123
79,5.184689194949171,5.276308344870601,5.049845370879376,5.180043353977361,5.2055265261237444,5.056797544008057,5.125355628370639,4.9872758987382015,5.767930942464956,123
80,5.186024219064743,5.270808285222988,5.04661038173063,5.162974206894688,5.19876444521539,5.036219975396392,5.13997267257414,5.027860539667189,5.776697521015435,123
81,5.185403875803983,5.258445914273436,5.038574991765177,5.14040860590045,5.188979591287721,5.018467410255238,5.154505112885123,5.065239079448598,5.767096934374534,123
82,5.192441662372229,5.245219174355668,5.027645997323617,5.124127246191498,5.179277584082608,5.000901735606188,5.162676019874497,5.102352197882766,5.777009061402647,123
83,5.195331588366321,5.228618643714149,5.028220199300721,5.114514675383072,5.1682206346787085,4.9807569133837255,5.1647993698281,5.137482863513446,5.7742936089807,123
84,5.195620258099953,5.211586328206885,5.023798862544959,5.1119166674911485,5.168912191960996,4.959432264460492,5.166866464922857,5.162906509006909,5.791198709063213,123
85,5.194501330432937,5.1920914273076315,5.030638042547803,5.11696902031542,5.153343140858381,4.938683548910727,5.160223414700217,5.17606086870192,5.778349617933222,123
86,5.197484770231336,5.17662000936413,5.047208390223868,5.135428632357384,5.134083366212232,4.924838508762443,5.14905832550595,5.179379582817073,5.779208664981966,123
87,5.200353574207369,5.1570244006653265,5.050808126694444,5.149407520934354,5.130477637026433,4.90722550099535,5.133010566380693,5.173299035858185,5.778245309580515,123
88,5.1915970624117005,5.1462185925904524,5.064771691896231,5.170801283627771,5.133562103179338,4.90579139799644,5.115110823616241,5.163617171556252,5.792642142050444,123
89,5.194837194672507,5.142436082813303,5.087899340278887,5.197872245250661,5.1356384375646025,4.908610709362726,5.098276902922766,5.15656338390017,5.781392341289812,123
90,5.191026972853976,5.140207881454527,5.108168752685172,5.21807982232855,5.144904765931084,4.907019148813879,5.095370115402375,5.135688760035974,5.788652949775117,123
91,5.19175115840673,5.143611741329956,5.120954721565188,5.235066001512478,5.154143497905116,4.910110574266504,5.095196582580078,5.114764289794224,5.790827571154364,123
92,5.183020032385691,5.143244208703137,5.1394372866969125,5.247885011055743,5.15519905471393,4.917476378774237,5.090003438929565,5.106152565749403,5.782335088125248,123
93,5.176372512062673,5.134853070508677,5.15087618226056,5.258208817959564,5.164358701830419,4.922251185813167,5.09109539774268,5.104389673842835,5.783214777580324,123
94,5.16386310538733,5.137730269433955,5.14439815680378,5.256573954287617,5.182824659655905,4.932670389581558,5.097404521390395,5.108954692143248,5.79294262466697,123
95,5.157483551581057,5.148745008187628,5.156054683361561,5.2548172653719085,5.182751872609662,4.94650703297288,5.105956964366988,5.107134258877861,5.794172013521038,123
96,5.157838059092528,5.158495878501421,5.156725749388397,5.251377188431796,5.180939541176557,4.949881807254182,5.113826169067731,5.104729184656723,5.798795495956711,123
97,5.14644985603703,5.171795517138191,5.148342582657055,5.250551448906402,5.178723174505306,4.950255795636341,5.129056935780186,5.102143897663806,5.798208662174219,123
98,5.144885776244542,5.179836220083775,5.148051689884252,5.25950407221716,5.164968816840718,4.955973667507521,5.13781339612344,5.116811271700405,5.800921414172934,123
99,5.143476917189786,5.182956830262883,5.147348112404212,5.2525230049905165,5.140473029337803,4.970070731815191,5.156983534935271,5.126636169777104,5.802158639105566,123
100,5.147845978220255,5.191566802174161,5.148228567778935,5.251571510610655,5.117503116116205,4.984707890297583,5.16768898594027,5.13103832121453,5.8014693353076,123
101,5.147889228360629,5.204537241459174,5.136025325056535,5.240535803423649,5.098689633746388,4.997804179770361,5.176488815641277,5.131101231008802,5.799695265111873,123
102,5.153485846675692,5.21097189760579,5.131280639520826,5.232238244897747,5.076059351252755,5.014184831999337,5.195622850737961,5.120809409674596,5.805076969523092,123
103,5.14981119494761,5.204341640866765,5.115560799240571,5.219377124288063,5.0535769371919645,5.02123960491549,5.216939296458197,5.116919152556149,5.796385103616955,123
104,5.143318529489014,5.194566112014364,5.101048078440468,5.205906985695925,5.034922157972548,5.031039074016427,5.238146441342161,5.116043113038938,5.815118814702738,123
105,5.137937886872113,5.1783182774493035,5.092405120278255,5.191847518424186,5.015726935679154,5.03986175799959,5.246724892817818,5.1038882035935815,5.807814856791934,123
106,5.13397596422125,5.161122413324378,5.080190907931778,5.1727832408479495,5.00461983596078,5.058394454644693,5.246618956953144,5.084326091055823,5.815788679630656,123
107,5.128227300270507,5.14879257848709,5.072231009772087,5.173932153852522,5.003088318193939,5.07355215349136,5.24009851621173,5.064285728348119,5.817247563854237,123
108,5.125352785434227,5.134123744619408,5.066668353320844,5.1710604213859614,5.002901952549749,5.088186249436656,5.238102661734327,5.048405657772847,5.81475255425072,123
109,5.130150889878411,5.123599912975352,5.065564897994548,5.1780703295913675,5.006599030686635,5.11342903692453,5.2330057420260605,5.032656084789251,5.813504040347406,123
110,5.138802666694808,5.110206677800324,5.05901249092944,5.183478163019052,5.003361381499443,5.131184570549835,5.218032760004411,5.026905735879675,5.826652737688308,123
111,5.145047342565067,5.101918630553777,5.061250592995334,5.187004714867305,5.0083804575159405,5.15545759236568,5.208471983206495,5.02859747222235,5.822083421220574,123
112,5.153549544030376,5.102090606775467,5.069184673641818,5.2017481184187915,5.00552859102124,5.182927188550739,5.195690904993096,5.029900502978192,5.815221189068116,123
113,5.155410641470527,5.107348655037449,5.074356129750244,5.211991120237209,5.002362855352714,5.216017542662457,5.182061791542215,5.032764225816673,5.820576161317762,123
114,5.1495357448941625,5.1220805731952055,5.081764115015069,5.227498904143454,4.992892275247628,5.236052748394661,5.1746260370420165,5.043194792878014,5.825677027978125,123
115,5.1455925128402775,5.130688922660673,5.082847905501142,5.240136529766947,4.994106888067982,5.242969418669471,5.160599836792595,5.055871319465419,5.819280713427527,123
116,5.140732362372679,5.140786136653087,5.076878087055871,5.243497689470832,4.9906747767169035,5.229917962079801,5.147110697990695,5.063412556681851,5.8151168287319495,123
117,5.138102533538012,5.150508266652474,5.0725819932184235,5.247119374582274,4.987964985575977,5.213809616709247,5.1350855942818665,5.07446039711769,5.828388719043338,123
118,5.13144617866965,5.159906438208725,5.07516499097747,5.261509789910407,4.999325124269916,5.198582218967079,5.13195709592036,5.0894043422399085,5.822618009996778,123
119,5.130649597804132,5.1699158893161705,5.083371669480574,5.270583751582229,5.00240021139645,5.170962047338249,5.123223040070455,5.087020880704892,5.82965570442109,123
120,4.4828470713269,4.528082974515292,4.447550417564537,4.615716327187808,4.380354275677142,4.512923948861007,4.478365365929083,4.451408907867947,5.825476409693146,123
121,3.841370882753742,3.885587628382553,3.814331453610974,3.9624521545638647,3.7581606092811244,3.852855672887977,3.835473335981534,3.8214173549803885,5.838645294289239,123
122,3.204964850234535,3.2372770341601536,3.1775535490603843,3.3029463864345585,3.1423316298150494,3.1950811396104024,3.1943162565075625,3.182150449104247,5.834922652948305,123
123,2.5897249774498565,2.578015725490418,2.617162536041871,2.606600290216661,2.4939653341498023,2.592948992407785,2.5749532573227105,2.5274535610944673,5.834955113793758,123
124,2.735601476465102,2.721791207589111,2.76376549199954,2.7506980584942258,2.6334969962876937,2.736063636114061,2.7194165688102636,2.6688807231244,5.8346419966548675,123
125,2.8799570566296167,2.864960685614998,2.9116284085545385,2.8940602944023586,2.772883296054835,2.8780571794445313,2.863938588744897,2.809238246267107,5.835308144050607,123
126,3.02376773711997,3.007941938632925,3.059727877621982,3.0362602193585575,2.912608655495677,3.019729253746024,3.006876875365934,2.9486364450837694,5.844339208256488,123
127,3.1685788418081753,3.1508057436179566,3.208139359459411,3.1786253602531898,3.0516045322785468,3.161111707383043,3.1492137381706464,3.0899208876233573,5.850556521424025,123
128,3.314670582602638,3.293588388570602,3.354793389191129,3.3199803234323064,3.1916620941684295,3.301733266089774,3.292633341088689,3.2296582708434918,5.839331915965177,123
129,3.461287574945931,3.4356885211027173,3.5015103262017515,3.4614474177256866,3.3293507271008727,3.4425370132860547,3.4356561889215103,3.3683563726590497,5.842193202900585,123
130,3.6082895723135286,3.5786262800492636,3.6480998817361723,3.6057111766069343,3.4675522001884813,3.5830725568317146,3.5785831092020386,3.5062562708562925,5.851985054101478,123
131,3.7546828788900948,3.721020792337172,3.7931956950502697,3.7512620161571624,3.606827219617427,3.723437440108848,3.722818672663086,3.6471372192919125,5.844495257349037,123
132,3.900347313171934,3.865711939667201,3.9370045713050783,3.897611625771795,3.747307404165837,3.863861597015665,3.8661334622055072,3.7870432420058227,5.8452865163897325,123
133,4.0468842558742875,4.009770834792553,4.081690448593944,4.04346919557362,3.888697477888904,4.003937209153285,4.0089376479625685,3.9263350622951094,5.855525707299314,123
134,4.193909981312433,4.153273771654865,4.226508795429783,4.18911490252993,4.031459630668401,4.1438741559899235,4.151064662181347,4.065972597311903,5.8522524657285295,123
135,4.340360672858819,4.295865120052249,4.371523375158472,4.335068854327286,4.1735308014424115,4.284609890958404,4.29297613943819,4.207450888030495,5.851421983415551,123
