time_step,region_1_entropy,region_2_entropy,region_3_entropy,region_4_entropy,region_5_entropy,region_6_entropy,region_7_entropy,region_8_entropy,global_entropy,lock_epoch
0,2.5140655797439164,2.543117534226061,2.5488913331287266,2.601409772658373,2.5792430749966977,2.538317335826651,2.5020338489729936,2.6034290703114467,5.603506369096161,-1
1,3.138788317781443,3.1869977750639964,3.186580466135111,3.249715874397642,3.232916629124924,3.1594786252571527,3.1234861723778256,3.254888379588139,5.602494698994456,-1
2,3.7604133483248767,3.8303376672487586,3.823776066626049,3.9034318528449834,3.8822749738961053,3.785611588298207,3.744900765430356,3.9049930818642498,5.603152591910955,-1
3,4.376640861184814,4.4658188046390705,4.456269657052651,4.553927306267354,4.532801018524047,4.414415207339491,4.371526563501792,4.552271242774122,5.609217738554311,-1
4,4.986360440874579,5.104938067121465,5.089893849559095,5.200160951251624,5.187107807751744,5.041121504039476,4.998149696570141,5.203333452763295,5.60918910398812,-1
5,4.970315213119632,5.101296989198175,5.0943029795063275,5.19553738472863,5.2022035531702695,5.029156895120098,4.998327535406926,5.203245051340189,5.611542100558701,-1
6,4.9684454941850404,5.101641852147047,5.094156587786282,5.199008746845036,5.2106703474593585,5.034469236604367,5.002433657988774,5.189988098903609,5.612692618543052,-1
7,4.981286939733016,5.095604211139202,5.097444318246751,5.192533227864233,5.214636623796666,5.054723508690282,5.008780054661055,5.167302817872711,5.618155135088932,-1
8,4.992973942822884,5.098431445700984,5.0955229949902705,5.198917286850536,5.2175309463614195,5.071604325450375,5.0243172815978605,5.143154602139498,5.609420929967296,-1
9,5.001462806323107,5.087130818726541,5.097399094213223,5.209320750355547,5.214354176196971,5.104420877433002,5.034112223118518,5.120918541358607,5.622106833907312,-1
10,5.017930795435359,5.071069777226603,5.1003235859965494,5.214921484968953,5.209417230913534,5.134727740727853,5.049666731473198,5.099979505245685,5.619697777604877,-1
11,5.038380979235685,5.068925293588375,5.110263450044101,5.209315530854512,5.208507194555897,5.160288035924357,5.053276534733648,5.0874026536925,5.629823806068533,-1
12,5.065966923412824,5.060038236378539,5.115874706599359,5.208871151675639,5.2026509247616275,5.188372949109086,5.056157859036153,5.0796248183588535,5.628373269667014,-1
13,5.09066618476445,5.047001490190311,5.122043980210753,5.201311059976483,5.193759249794893,5.214503111725609,5.051354345539209,5.0728262572554215,5.635504437706027,-1
14,5.109441962490687,5.029230240144306,5.123293174586808,5.187018091689828,5.178578599796372,5.2302588420488725,5.047225050802374,5.082610878742746,5.636459032749673,-1
15,5.118054224306176,5.021912480702303,5.1322711078144865,5.18409444837069,5.166729295197987,5.244712242727175,5.052012973540569,5.0992285798170895,5.6366284373489295,-1
16,5.133555183137839,5.015682107860049,5.14019197491491,5.186790548842213,5.144300656851336,5.2587834551022805,5.047649479148706,5.115440919751635,5.63769059629924,-1
17,5.150815136401876,5.016640500900907,5.152783130982475,5.1834407995495875,5.127847842597192,5.265587455093942,5.057328333880726,5.1374796585242875,5.650179922511405,-1
18,5.1592608707025445,5.024561187340805,5.161528619894063,5.179477053055763,5.119429497208542,5.262481886408315,5.064018616429937,5.154282451445869,5.641726166437289,-1
19,5.173791510891396,5.023928044166066,5.173314351264703,5.1919725364826075,5.117443401841288,5.2553498624141115,5.071871574509194,5.159797735193998,5.645478284067968,-1
20,5.195233058827751,5.0245708926560875,5.195536960731376,5.210222215549955,5.1131168106980525,5.251369247678929,5.081386821202142,5.15901778793137,5.650506553198281,-1
21,5.204383572656299,5.033815732881138,5.208903206156911,5.240709044658126,5.126262986818167,5.247404254471358,5.086605469677563,5.156342613838647,5.647627949692216,-1
22,5.206212364363218,5.039188328256582,5.2229180813811995,5.268261668272116,5.146078395244131,5.246194658612715,5.096168271284298,5.1412665733449145,5.658467746562896,-1
23,5.21467832584608,5.040512267119951,5.225645973330696,5.287275078705129,5.1656919800317755,5.238666665348366,5.104758838674039,5.127144558545102,5.653426695398596,-1
24,5.210765427746778,5.029552263035092,5.226189660917832,5.293162966372949,5.196064151296058,5.232346329677914,5.125178040476244,5.103704994003427,5.646976145021882,-1
25,5.202386600448875,5.005767451217263,5.230099256387904,5.306429933367361,5.226344886645972,5.229743218163307,5.134663995515708,5.084540857498083,5.663107804522203,-1
26,5.199157579847852,4.982598397462218,5.236319540750916,5.321880237785166,5.253979587206111,5.234057534007875,5.14417088814109,5.085243809917402,5.670552760319777,-1
27,5.186312513095611,4.969989219855012,5.233282884403369,5.329643531099095,5.267551525403038,5.250846152235581,5.156792495073997,5.093970283568814,5.672917534754573,-1
28,5.160027796212328,4.958732645949809,5.2184111612501605,5.329669891521589,5.28019513100049,5.252283984853897,5.174574848271373,5.1050801408950255,5.666405454825367,-1
29,5.131546206206679,4.955089999337146,5.206271685775202,5.325723479319766,5.283996133709442,5.247197362041941,5.193817798698977,5.123810909732742,5.680866811307637,-1
30,5.1078762185678075,4.961573337933276,5.1894509219873335,5.327872389257514,5.28247369166498,5.2250692254265285,5.208403151491215,5.15205782212678,5.670128868322077,-1
31,5.080467299466046,4.9697497658541145,5.18275175928414,5.3240759861080225,5.277661333273769,5.201437275298949,5.215141223028713,5.1790879969256,5.67838839057465,-1
32,5.062989150503727,4.979192400687167,5.182351101776879,5.317300201113044,5.269391467166642,5.180484152829318,5.216846129148518,5.215665884987949,5.675517902417186,-1
33,5.043914947015186,5.003444634337978,5.1789022247583105,5.304341891941363,5.26605573371776,5.154031626806354,5.213686756550779,5.243318917060278,5.6828476410281255,-1
34,5.029326906293894,5.030942013181065,5.17302639840907,5.294890734413606,5.262769713304936,5.13055065547349,5.209501709514393,5.250843450024908,5.681114865729458,-1
35,5.01919805038258,5.058276213596292,5.169196267181192,5.292146530324402,5.262616846309637,5.099283253986084,5.206282762551791,5.253164965568532,5.690227763085008,-1
36,5.023486434362644,5.081019689560721,5.171852796631497,5.288954551748329,5.2654972807513785,5.072485412309782,5.204429999693158,5.251032622930706,5.6881582168298115,-1
37,5.034019398113838,5.094840484473673,5.165232673206816,5.278274439087234,5.265616312920227,5.046532719238879,5.196109333448265,5.242559504459292,5.6909050058639545,-1
38,5.0429546327513215,5.105831128931115,5.151634880910557,5.261407194632011,5.27221155850885,5.031423114396515,5.18566791609746,5.232270228273745,5.697453789109081,-1
39,5.057664022210525,5.117874936926616,5.138579391891274,5.2515835011336085,5.281099991848997,5.024706293542065,5.183792820982147,5.221778958993781,5.68857936918581,-1
40,5.073952844694565,5.1263518738228075,5.117801198296388,5.242529492760954,5.2867294949399595,5.017815722614207,5.176528404839116,5.212313661354408,5.7068888514522085,-1
41,5.102831509982124,5.138839882865956,5.090426417631984,5.227798873277782,5.277843065732382,5.008676393110463,5.175155668297353,5.196143752812175,5.701265576043555,-1
42,5.12816037802436,5.136831497337392,5.066246233883762,5.210946234777328,5.27033404650161,5.001578632193157,5.163864173040364,5.195644358754982,5.699164175820565,-1
43,5.151919549049484,5.1241654422357525,5.040845019245438,5.19057763550553,5.264546743223316,4.999213028043163,5.150609276278091,5.209869483970486,5.697199164852836,-1
44,5.170688569056243,5.115007060771935,5.0140113608539405,5.179612383462508,5.2611291818005945,5.0043008046134165,5.128955704051516,5.218962841228713,5.703107161027608,-1
45,5.182877546333813,5.113055533347744,5.005726937391227,5.178131879185854,5.2613140154627045,5.017508824349528,5.119667437555448,5.235068789832846,5.716935826383725,-1
46,5.1959218867322425,5.10178162362398,5.010456696636582,5.178976788998268,5.258537913895522,5.025836480623232,5.112104474000268,5.253779653108436,5.71136046313249,-1
47,5.202965142700439,5.090787977376209,5.002986080564118,5.183749173950452,5.254298376309791,5.031420417510031,5.095514506489423,5.274633316360986,5.700673511999512,-1
48,5.2021386334969195,5.081775082254611,5.002072963467507,5.187270536545682,5.248227131829142,5.0324578748216835,5.076460595209311,5.296356481668176,5.7153404570793365,-1
49,5.1968965212671225,5.0547632595127165,4.996372089820355,5.19707875009453,5.260287278395974,5.039592239037065,5.05182071600735,5.3269477888018555,5.716646230277525,-1
50,5.182963655843768,5.036256446219886,4.998587903934257,5.204905881213798,5.263342454951909,5.029912806566804,5.038538986619973,5.349748929015361,5.7262319657098395,-1
51,5.176266106553648,5.0220007665274435,5.011659452377325,5.220814813984925,5.269456487151197,5.014763162034584,5.029167727721968,5.355237184871785,5.718028893472725,-1
52,5.163424301845733,5.00799478816651,5.027128148602526,5.225479356100632,5.272522356208558,4.9952676314311955,5.022375850681208,5.357353285422524,5.7269364720544225,-1
53,5.157451270902346,4.988969954561419,5.037585846739613,5.218525467550902,5.270156800164339,4.960796423409522,5.023545247720884,5.364192357394641,5.718755410857103,-1
54,5.154059971519119,4.974914954313484,5.038875778073498,5.212687932855541,5.265091688911756,4.930325325894387,5.028275619379865,5.365291959415743,5.731440512641179,-1
55,5.15204875318533,4.954623939478245,5.047807458984697,5.199538678540286,5.258814557373791,4.898264911541565,5.026691873699652,5.365101514065293,5.733075810564864,-1
56,5.154657636489473,4.9369630723733104,5.048932792540867,5.180442495467435,5.245311792120793,4.870759821980671,5.031651314313588,5.365434786400941,5.734423735131344,-1
57,5.1504019046953555,4.938432171176161,5.0566849016711695,5.161379386184909,5.218859932020135,4.842758759326322,5.04621090335926,5.359437742681991,5.736482305752292,-1
58,5.159287512383972,4.939733359243244,5.056855744242959,5.142856292591045,5.205178034547639,4.820153967164084,5.0538651144668645,5.353776178601798,5.729448947370179,-1
59,5.160290028909747,4.928279193110608,5.048593931015388,5.112511445297985,5.190958543819074,4.799964458366651,5.0616567669720745,5.35287920490778,5.726353384477931,-1
60,5.165031763398415,4.92377312554355,5.037492914530658,5.0831612739352225,5.186275255228095,4.7945157005107575,5.0594362864758535,5.359511614968914,5.74155816780984,-1
61,5.16973826400027,4.9213667107340555,5.023694129936861,5.058485059239053,5.180125170800737,4.806795238265267,5.043415826228939,5.3588453185269875,5.739088903773983,-1
62,5.174674997297558,4.935080755224555,5.01543973749111,5.029381040448638,5.181254275092255,4.829998152528886,5.01706900130434,5.353849805571878,5.73280114080102,-1
63,5.178006032776107,4.9531263041853295,5.006491395316947,5.003135207076808,5.186726535369423,4.857353191271625,4.999675175557952,5.344772550683804,5.740652128828189,-1
64,5.182574490476921,4.969339936538344,5.0059218715572245,4.998903997502253,5.199766237244582,4.883027888617916,4.979742983170711,5.339988602879991,5.750532440219226,-1
65,5.190636756068368,4.973606658715648,5.0157345613144555,4.998074720362222,5.217499237596088,4.904748248107582,4.952017661158382,5.329578710999464,5.741907024058496,-1
66,5.200231301326376,4.974524487100757,5.020425557159919,4.988302305536215,5.230929488775667,4.941087442200411,4.936114115245246,5.317939277719088,5.74279598643185,-1
67,5.210090311741768,4.988984218441901,5.030103601057685,4.984061985845761,5.241048283466366,4.9879108061751065,4.921497281829299,5.306468922847834,5.748369120546575,-1
68,5.224902107455539,4.997581946333578,5.039565819143233,4.987931606732512,5.249278575999873,5.041145528225669,4.918876400762455,5.294434546236412,5.749378956277495,-1
69,5.242314513394246,5.004851896969799,5.051033854956549,4.992516278710332,5.259543321858459,5.084366708440193,4.924097758683012,5.282833635180868,5.752436148459474,-1
70,5.262117737774713,4.99598725655866,5.067246597418965,5.000295959156228,5.261599409803273,5.1210149665556735,4.931080447457141,5.278149194176332,5.7551132082188055,-1
71,5.280665212775832,4.989149240478028,5.085717708812995,5.008371194351575,5.2626877814799515,5.150129570229561,4.949826767681644,5.271788305537888,5.763608923958305,-1
72,5.298367903323665,4.989006966532189,5.09008507285847,5.0074111506200465,5.264630362603136,5.185652497903492,4.977822278153715,5.262563431793605,5.762877177683263,-1
73,5.319104153552249,4.990049839915186,5.082025790546685,5.003873309248285,5.264801074618237,5.2250052639565965,5.009300211228886,5.268171345065317,5.760372336878867,-1
74,5.328136573733227,4.998288986453298,5.08398171813346,5.012348386799665,5.255912426997041,5.251896876269618,5.033296052095,5.277159557585269,5.76155594145619,-1
75,5.344881893468398,5.013533227310893,5.075951048890115,5.019050534692216,5.249487779494734,5.273010300698734,5.0473399807179105,5.280858522255638,5.7666585513916155,-1
76,5.348542166172912,5.032140766279302,5.070212879781493,5.021973135495737,5.235004927502258,5.271440740639839,5.052758381101094,5.286348818164525,5.767666685793815,-1
77,5.358622145245704,5.049626539041112,5.0597187578492235,5.033707218148955,5.216485552652625,5.268690832120354,5.062146245961394,5.2898266784668495,5.762545171266455,-1
78,5.371377182413191,5.07213673637617,5.045231937063549,5.047097015803936,5.2055128392551335,5.266607383350291,5.0743948765866795,5.29112565374413,5.766993184165232,-1
79,5.375207710798755,5.095059789259587,5.033819347231995,5.054045507432133,5.194329304384407,5.2595889510998575,5.0736752495189394,5.292701760815637,5.770796856310605,-1
80,5.378500887344507,5.114349031361931,5.025887760408469,5.06057975807762,5.192012538215956,5.2531413110658285,5.069420698503603,5.295114162570489,5.779946975727269,-1
81,5.378577740285906,5.135955776255823,5.016949256908996,5.064123038881785,5.190977892394648,5.25213526167676,5.060578222851402,5.293939392270739,5.776350971029245,-1
82,5.381853599649884,5.1578637501552365,4.998160266400095,5.063689271202627,5.200745517876905,5.256378658049632,5.0481891191136885,5.289128468403101,5.7759786107711575,-1
83,5.377735168366366,5.166941208130649,4.983144685963195,5.064927250182061,5.2076512022242225,5.251743360442707,5.041992694927989,5.289932855837862,5.7638001777645576,-1
84,5.385655322725957,5.173956576273332,4.97036491325045,5.068461436853322,5.2152832399650855,5.246307160549083,5.039997228963605,5.280924289213282,5.779713829943753,-1
85,5.378667629952563,5.187487332547665,4.970897808723237,5.065318713458512,5.227441260157231,5.253164583693658,5.0318270501339795,5.274663947255694,5.775355658650335,-1
86,5.361207701772637,5.202926144549036,4.972384572545918,5.058996785322923,5.237022502310022,5.2579048340068475,5.021875707576498,5.262446028374825,5.780396268808349,-1
87,5.357479464663275,5.212357031748522,4.965020774902724,5.058548976049178,5.243068277609568,5.266423369345647,5.014824503431418,5.2485305129295945,5.775060256271897,-1
