universe_id,E,I,X,stable,lockin,stable_epoch,lock_epoch,age_Gyr,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction
0,0.7438881393052419,0.12866033885845116,17.193648885556957,0,0,-1,-1,305391684.58036417,0.7162646223475593,5.841170347391184e-08,0.08918055112962259,0.02381360219269003,100.87776278610482,0.04774513377413026,0.08143301694292256,32381.186978426904,False,9.080975602934951e-10,1.0175552557220969e-06,0.09257320677716903,1.0131664417915727e-12,0.042573206777169026,9.716436617468934e-07
1,0.766,0.18636508625470605,18.67457155258471,0,0,-1,-1,305391684.58036417,0.7419755656071104,8.460961826143086e-08,0.1291784340922605,0.041632542548505166,101.32000000000001,0.06945892767751381,0.0843182543127353,32851.82286404577,False,9.358045402303334e-10,1.0264e-06,0.09372730172509414,1.0198e-12,0.04372730172509412,9.818365086254707e-07
2,0.7266178173897978,0.17248525788066624,17.637090989647948,0,0,-1,-1,305391684.58036417,0.7028200126816245,7.830818592846334e-08,0.11955767018813888,0.03643368965805136,100.53235634779595,0.0637906829538519,0.08362426289403331,32298.96945617368,False,9.137468269193691e-10,1.0106471269559192e-06,0.09344970515761333,1.0079853452169394e-12,0.04344970515761333,9.725720892660262e-07
3,0.7441148509761611,0.2102609638851379,18.666994369455704,1,0,343,-1,305391684.58036417,0.7225549390081024,9.545832992177626e-08,0.14574179429879983,0.052282717712455566,100.88229701952322,0.0780301468892506,0.0855130481942569,32644.997491466795,False,9.332184454935944e-10,1.0176459403904644e-06,0.09420521927770276,1.0132344552928483e-12,0.04420521927770276,9.79849066583746e-07
4,0.766,0.22283861929423748,19.331095147296274,1,0,121,-1,305391684.58036417,0.7447694382379386,1.0116857664327484e-07,0.15445996068367174,0.0588775271754032,101.32000000000001,0.08305274261597174,0.08614193096471189,32969.45285634375,False,9.471076881192842e-10,1.0264e-06,0.09445677238588475,1.0198e-12,0.044456772385884746,9.854838619294238e-07
5,0.766,0.17639730655508978,18.495151517991616,1,1,4,485,305391684.58036417,0.74121203368212,8.008425327892585e-08,0.12226929569702884,0.03783224868345182,101.32000000000001,0.06574390088158918,0.0838198653277545,32819.67599612313,False,9.327155253014224e-10,1.0264e-06,0.0935279461311018,1.0198e-12,0.0435279461311018,9.80839730655509e-07
6,0.7346374841016422,0.15546914131103295,17.491194225631435,1,0,39,-1,305391684.58036417,0.7093269557793781,7.058288095754729e-08,0.1077629969638182,0.03090907572914754,100.69274968203285,0.05758874219167849,0.08277345706555166,32347.912872726738,False,9.121694321230764e-10,1.0138549936406568e-06,0.09310938282622067,1.0103912452304926e-12,0.04310938282622066,9.724744109514318e-07
7,0.766,0.21717805751302918,19.22920503523453,1,1,109,165,305391684.58036417,0.7443358392054981,9.859868557044422e-08,0.15053635824464182,0.05581816449947544,101.32000000000001,0.08094303119267601,0.08585890287565145,32951.197102561855,False,9.453534800232879e-10,1.0264e-06,0.09434356115026059,1.0198e-12,0.044343561150260585,9.84917805751303e-07
8,0.7641863708423287,0.19779438398005642,18.844026328487587,0,0,-1,-1,305391684.58036417,0.7410922295468836,8.979851140108522e-08,0.13710061958636732,0.04643933717580913,101.28372741684657,0.07369261522077468,0.08488971919900283,32865.13914465063,False,9.38521878354108e-10,1.0256745483369313e-06,0.09395588767960113,1.0192559112526986e-12,0.04395588767960113,9.826167125664713e-07
9,0.766,0.18357062607848812,18.624271269412787,1,1,40,473,305391684.58036417,0.7417615099576123,8.334093530418731e-08,0.127241461899928,0.040531744864057404,101.32000000000001,0.0684174224729803,0.08417853130392441,32842.81051175598,False,9.349385370217236e-10,1.0264e-06,0.09367141252156977,1.0198e-12,0.043671412521569766,9.815570626078488e-07
