Target,E_importance,I_importance
Reaching Lock-in,0.6416201710511225,0.35837982894887754
Stability Reached,0.08727463847409873,0.9127253615259012
Time to Lock-in,0.48391638286270644,0.5160836171372937
Time to Stabilize,0.487819266010436,0.5121807339895641
Cold Spot Presence,0.6370604769910683,0.3408828675136086
Cold Spot Depth,0.6463338498136663,0.3087508121637899
AoE Strength,0.6984095417429619,0.3044497218955269
Entropy Volatility,0.6740254869390219,0.3636320618509889
CMB Quality,0.5341887748321107,0.5020641195032651
Feature Importance,0.6457360814955398,0.32431015997848744
Power Law Fit Quality,0.5843816051682144,0.40176657040090735
Phase Transition Sharpness,0.6340991623813447,0.4143583581370419
Correlation Matrix Strength,0.6675972583209393,0.3943367592500724
Finetuning Sensitivity,0.5771904571628648,0.4037727859793508
E-I Balance,0.5174301168727555,0.43950158471922435
Planck Chi-Squared,0.6996638574966084,0.2937305451782941
Planck R-Squared,0.7273761861916975,0.291113739186247
CMB Anomaly Score,0.5223625141869326,0.47857068102575545
CMB Statistical Significance,0.5092834554444419,0.49114406736923905
