group,n,stable_n,stable_ratio,lockin_n,lockin_ratio,eps
I <= 1e-12,0,0,,0,,1e-12
I > 1e-12,175,120,0.6857142857142857,51,0.2914285714285714,1e-12
I <= 1e-09,0,0,,0,,1e-09
I > 1e-09,175,120,0.6857142857142857,51,0.2914285714285714,1e-09
I <= 1e-06,0,0,,0,,1e-06
I > 1e-06,175,120,0.6857142857142857,51,0.2914285714285714,1e-06
I <= 0.001,0,0,,0,,0.001
I > 0.001,175,120,0.6857142857142857,51,0.2914285714285714,0.001
I <= 0.01,0,0,,0,,0.01
I > 0.01,175,120,0.6857142857142857,51,0.2914285714285714,0.01
I <= 0.05,0,0,,0,,0.05
I > 0.05,175,120,0.6857142857142857,51,0.2914285714285714,0.05
I <= 0.1,8,5,0.625,2,0.25,0.1
I > 0.1,167,115,0.688622754491018,49,0.2934131736526946,0.1
