universe_id,E,I,X,stable,lockin,stable_epoch,lock_epoch,age_Gyr,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction
0,0.72,0.20878132927207885,18.15806392689742,0,0,-1,-1,305391684.58036417,0.6990322557075896,9.478657684670603e-08,0.14471618973849903,0.05155440811139623,100.4,0.07711297054380663,0.08543906646360394,32328.920234873793,False,9.217607427694399e-10,1.008e-06,0.09417562658544158,1.006e-12,0.04417562658544158,9.748781329272079e-07
1,0.766,0.21337255363184196,19.160705965373154,1,1,399,469,305391684.58036417,0.7440443376081991,9.687098948127658e-08,0.14789858395878697,0.053846140734272845,101.32000000000001,0.07952470641858918,0.0856686276815921,32938.92405537037,False,9.44174154370508e-10,1.0264e-06,0.09426745107263684,1.0198e-12,0.04426745107263684,9.845372553631842e-07
2,0.766,0.21430405373971667,19.1774729673149,0,0,-1,-1,305391684.58036417,0.7441156905164623,9.729388987598917e-08,0.1485442506322516,0.054322686657858235,101.32000000000001,0.07987187980779384,0.08571520268698585,32941.92821595981,False,9.444628262539383e-10,1.0264e-06,0.09428608107479435,1.0198e-12,0.044286081074794335,9.846304053739718e-07
3,0.766,0.1484826840116873,17.992688312210372,0,0,-1,-1,305391684.58036417,0.7390737735952952,6.741103425075837e-08,0.10292035378467432,0.028883578055442012,101.32000000000001,0.055340022197266525,0.08242413420058436,32729.649158546887,False,9.240647837752219e-10,1.0264e-06,0.09296965368023374,1.0198e-12,0.04296965368023375,9.780482684011687e-07
4,0.7601394981247391,0.27848910584207975,20.21559386765222,0,0,-1,-1,305391684.58036417,0.7433015801333027,1.264338584484763e-07,0.19303393853109777,0.09840188234178443,101.20278996249479,0.10367529898478647,0.088924455292104,33072.27901524168,False,9.616182477144207e-10,1.0240557992498956e-06,0.0955697821168416,1.0180418494374217e-12,0.045569782116841595,9.898768102091557e-07
5,0.766,0.20381487113804025,18.988667680484724,1,0,488,-1,305391684.58036417,0.7433122191291739,9.253180834216928e-08,0.14127370328552116,0.04917936614356255,101.32000000000001,0.07596252430367145,0.08519074355690202,32908.09978296128,False,9.412122285656789e-10,1.0264e-06,0.0940762974227608,1.0198e-12,0.044076297422760806,9.83581487113804e-07
6,0.7497888928096618,0.30198306726502144,20.43147306696362,1,0,411,-1,305391684.58036417,0.7349418031343693,1.3710010043291713e-07,0.2093187116515939,0.12130078865584878,100.99577785619323,0.1121941155914053,0.09009915336325108,33012.403236648475,False,9.640105100085713e-10,1.0199155571238648e-06,0.09603966134530044,1.0149366678428985e-12,0.04603966134530044,9.901560852884343e-07
7,0.7283875139577342,0.21916118054194544,18.5126515289097,1,1,35,384,305391684.58036417,0.7079315650049465,9.949902203267587e-08,0.15191095438083863,0.05687257323949158,100.56775027915468,0.08108134370685634,0.08595805902709729,32470.022661071653,False,9.287462637553648e-10,1.0113550055830938e-06,0.09438322361083891,1.0085162541873202e-12,0.04438322361083891,9.775936208457413e-07
8,0.766,0.22114695188396805,19.300645133911424,1,0,276,-1,305391684.58036417,0.744639856514312,1.0040056082719768e-07,0.15328738618779833,0.05794712312175985,101.32000000000001,0.08242225218095688,0.08605734759419842,32963.99709684206,False,9.465834403888418e-10,1.0264e-06,0.09442293903767937,1.0198e-12,0.04442293903767936,9.853146951883968e-07
9,0.766,0.17773234146696587,18.519182146405385,1,1,189,374,305391684.58036417,0.7413142973563696,8.069035819122225e-08,0.12319467138214485,0.03832122410152091,101.32000000000001,0.06624147312140358,0.0838866170733483,32823.9815879678,False,9.331292526206129e-10,1.0264e-06,0.09355464682933932,1.0198e-12,0.04355464682933932,9.809732341466967e-07
10,0.7536138016520814,0.2145138888834117,18.93352603294304,0,0,-1,-1,305391684.58036417,0.7320991743003373,9.738915488384372e-08,0.1486896972704862,0.05443058347047464,101.07227603304163,0.07975691838807374,0.0857256944441706,32781.71477113236,False,9.388651681306902e-10,1.0214455206608325e-06,0.09429027777766824,1.0160841404956245e-12,0.04429027777766824,9.821741492187575e-07
11,0.7538611376569189,0.2584800011399667,19.72986277365778,1,0,198,-1,305391684.58036417,0.7356538835461666,1.1734973896761493e-07,0.17916468402129937,0.0820209408120312,101.07722275313837,0.0961083065983883,0.08792400005699835,32926.03912274829,False,9.525232878846249e-10,1.0215444550627674e-06,0.09516960002279934,1.0161583412970755e-12,0.045169600022799336,9.866202276453802e-07
12,0.7294258724386422,0.4273762226304117,22.281289456120255,0,0,-1,-1,305391684.58036417,0.7241285062218821,1.9402850489576783e-07,0.29623462375462933,0.32602086442383604,100.58851744877285,0.15814549292292993,0.09636881113152058,33145.282923005005,False,9.926052503071112e-10,1.0117703489754567e-06,0.09854752445260824,1.0088277617315926e-12,0.04854752445260824,9.986227967507695e-07
13,0.72,0.4366445198135706,22.259601356644268,0,0,-1,-1,305391684.58036417,0.7154384054265771,1.9823630530710032e-07,0.3026589178157276,0.34670493481860093,100.4,0.16127378876211326,0.09683222599067853,33050.51184055911,False,9.90803289503512e-10,1.008e-06,0.09873289039627142,1.006e-12,0.04873289039627141,9.97664451981357e-07
14,0.766,0.2894763927321133,20.53057506917804,0,0,-1,-1,305391684.58036417,0.7498738916832799,1.3142207897935425e-07,0.20064974546092776,0.1085889433407269,101.32000000000001,0.1078888767805333,0.08947381963660567,33184.36487947451,False,9.67758734107682e-10,1.0264e-06,0.09578952785464227,1.0198e-12,0.04578952785464227,9.921476392732114e-07
15,0.7520508828544349,0.3238725297959284,20.870723193415408,0,0,-1,-1,305391684.58036417,0.7388052009082459,1.4703790104733433e-07,0.22449133088886464,0.14663076424379098,101.0410176570887,0.1203799430656824,0.09119362648979643,33112.19184683106,False,9.7181206181814e-10,1.020820353141774e-06,0.09647745059591857,1.0156152648563306e-12,0.04647745059591857,9.927974295504799e-07
