Target,E_importance,I_importance
Reaching Lock-in,0.13167752855873718,0.8683224714412628
Stability Reached,0.12353304752183036,0.8764669524781696
Time to Lock-in,0.540254875612455,0.45974512438754506
Time to Stabilize,0.6524000249127936,0.3475999750872064
Cold Spot Presence,0.6516622312554623,0.3925042628476713
Cold Spot Depth,0.6466917729124336,0.37329209457248835
AoE Strength,0.6772441519640932,0.3166052889160072
Entropy Volatility,0.6344422449141949,0.33490594196706425
CMB Quality,0.4601755840537629,0.458300104503324
Feature Importance,0.6237161727637099,0.37413802439946203
Power Law Fit Quality,0.5626789062105877,0.42479899830356727
Phase Transition Sharpness,0.5947539240992569,0.4497474108005796
Correlation Matrix Strength,0.6480532573325869,0.33403133563336285
Finetuning Sensitivity,0.5340687539515675,0.455351442400782
E-I Balance,0.5559032532085444,0.4053930945048536
Planck Chi-Squared,0.6509224855696089,0.2894016004539572
Planck R-Squared,0.6868088471391345,0.2898856253506326
CMB Anomaly Score,0.53712152960224,0.48278063405715127
CMB Statistical Significance,0.4555320632491754,0.48208758246996686
