time_step,region_1_entropy,region_2_entropy,region_3_entropy,region_4_entropy,region_5_entropy,region_6_entropy,region_7_entropy,region_8_entropy,global_entropy,lock_epoch
0,2.528946177896721,2.5419580092453558,2.577183774837432,2.5821125308274593,2.5208280179212377,2.5489839883333736,2.496032460956824,2.5487073261701,5.604484524994776,-1
1,3.159782491805101,3.189551196274449,3.222954498310897,3.2217304067734025,3.143404961448167,3.1800310726720946,3.1160388530266996,3.1933690402168615,5.601864190092151,-1
2,3.7905515900506823,3.842178519434543,3.861323314107932,3.860541067144291,3.7748388939089623,3.8077585017553846,3.741311722397252,3.8324763124510035,5.609348244632179,-1
3,4.416596531653069,4.492834546696949,4.506462081541633,4.500070137159006,4.410797936461788,4.4396841782516105,4.3531696321590765,4.461060445506659,5.612050107839989,-1
4,5.049409342724898,5.1415839483077495,5.15735724806955,5.142522571754288,5.052676572659108,5.075464111002123,4.9512420926848435,5.099942784564088,5.5983829957240605,-1
5,5.046888199837572,5.150175961239415,5.174423464709755,5.145483492336542,5.047932382030689,5.074977829053665,4.919064428817219,5.104606996905464,5.611816716182355,-1
6,5.039998819017872,5.154372101530397,5.188421257087183,5.134795150993312,5.055368545608665,5.069529944897726,4.8869250605990695,5.111586503620544,5.616605885726339,-1
7,5.033229947308852,5.153194632383111,5.199372960913015,5.119265677113084,5.067861203666391,5.067548332706111,4.851164954641136,5.116114489219202,5.620456546263969,-1
8,5.030981345690049,5.142719213070108,5.202921211136591,5.117186353414397,5.072259853016013,5.065457520188066,4.819170922630398,5.125655373945596,5.62116089837828,-1
9,5.034487253829048,5.127020411766603,5.206499576347088,5.121204291936158,5.09166460659792,5.0612071540948005,4.800120497006285,5.12989526078906,5.6235707604545135,-1
10,5.026061922632902,5.113119469269355,5.208352097634097,5.131266251259825,5.106059704757831,5.057644862678323,4.774051497939507,5.130366036716106,5.6267261663622055,-1
11,5.025461638986478,5.103336831899709,5.207192475481429,5.137780753377368,5.106859928473954,5.045551918116365,4.7640117547366705,5.136519356443132,5.631672532897392,-1
12,5.01816399774332,5.098772946844466,5.202508780814595,5.140787921707847,5.105784406809873,5.027106266701566,4.771267449458547,5.137520207665553,5.630683344533168,-1
13,5.006841902856701,5.103787578435452,5.189516680796765,5.13726022963975,5.102507116023709,5.005373867663126,4.7912388338791345,5.14459174836171,5.636163929207402,-1
14,5.000239985796397,5.110907649992349,5.183216444312517,5.145916248020919,5.101664935081322,4.994286970881066,4.812418725632457,5.141778722932738,5.640254664232711,-1
15,5.011260000257015,5.116863765921918,5.186142935615978,5.164935399638427,5.098151915683219,4.986631145784145,4.847122642438149,5.133110643628856,5.631026973306302,-1
16,5.018593601827977,5.117124026868123,5.195334204946622,5.178377466423869,5.0920754215306285,4.976009255663281,4.882239269829465,5.112992042734834,5.634236279618653,-1
17,5.009765112751598,5.122841974156926,5.204875704707107,5.191613979928028,5.0788375462858655,4.9666916865974935,4.900663231963494,5.093797770449526,5.636410850955327,-1
18,5.001878291613798,5.117750287887057,5.2246635909269035,5.193779241735701,5.064602340976708,4.961732523134298,4.917759247166474,5.078854524660695,5.643145354822983,-1
19,4.9944964691443445,5.112369564269681,5.2425196287692595,5.196462783803721,5.061858248426283,4.953993275865312,4.92947403193802,5.071199094256341,5.647792753618454,-1
20,4.988721301891897,5.107521870522956,5.258867591078433,5.204124028869655,5.051732651345351,4.953340901529823,4.941153146356636,5.063483430294677,5.652687876522628,-1
21,4.99994962579856,5.107882350890516,5.282466711692715,5.2064424412552555,5.052496077721675,4.958271301136182,4.942489790034187,5.056713487950254,5.646466129439114,-1
22,5.007702678172513,5.109676771868574,5.306695008965587,5.206064988580058,5.0430007719520695,4.959596956753401,4.95382245653366,5.045863005993382,5.6478695322181425,-1
23,4.997118846460222,5.120220855834201,5.326508401389291,5.197650871290972,5.035450840370583,4.961735626190691,4.964155253812656,5.0351197663154235,5.654265597500515,-1
24,4.988953506674373,5.13886948492603,5.343024016941756,5.1826729575001576,5.0433230633577635,4.965519699320081,4.970411723340167,5.03051004487865,5.658020561648217,-1
