time_step,region_1_entropy,region_2_entropy,region_3_entropy,region_4_entropy,region_5_entropy,region_6_entropy,region_7_entropy,region_8_entropy,global_entropy,lock_epoch
0,2.5410257836782164,2.566409429661766,2.574212987568246,2.578793939776796,2.5123739619383185,2.5744196912750525,2.535323800749625,2.60585779799673,5.60020695960831,122
1,3.172462386450113,3.2130230573824656,3.224581923450038,3.2362711331803022,3.1416229114321244,3.229615194373001,3.1622725881732894,3.255391751903182,5.61017650605555,122
2,3.803224275052469,3.847671025559905,3.8639581342220306,3.9036231468266145,3.769802835851346,3.887439487171739,3.7891608403187185,3.90380441558548,5.601307018628107,122
3,4.433844768941658,4.481637761691296,4.507705751681716,4.561948970412278,4.392562949805539,4.546466409830511,4.414844859086521,4.547277488380915,5.6116528146407685,122
4,5.071584889459054,5.120627030036484,5.1500082613140075,5.21595137533863,5.0077483508777085,5.204659447293799,5.03589231903888,5.194521886478989,5.60789619817216,122
5,5.069201234118381,5.126395659370213,5.148288044463755,5.234920032571832,5.004492461372308,5.220940174170984,5.020933050355939,5.189624500934983,5.613345046840154,122
6,5.067411470887957,5.129115054962771,5.135953700870356,5.2462372598641664,5.006975932355467,5.247341785677914,5.014749503153608,5.175737917661275,5.615613326758562,122
7,5.060019696768596,5.129631270777119,5.129769557896097,5.262843021569443,5.010915975193469,5.272292720647025,5.0149632606938574,5.157104221521545,5.61342266943822,122
8,5.057575033738782,5.138183854482725,5.121444315874936,5.273884769746588,5.017384763814408,5.301909866268871,5.0225026796903,5.14022753594261,5.622396291217048,122
9,5.052093622067837,5.143419140302553,5.114676587743285,5.273566453022299,5.0179091196779595,5.327141873664935,5.036705141063627,5.124134922454968,5.620872821770268,122
10,5.047901861784613,5.171075174355279,5.104427132953345,5.255124314656921,5.023550672130052,5.347969589910842,5.049379905127747,5.11362218497708,5.629944461882609,122
11,5.037785684423258,5.188748909872553,5.08811012836079,5.245313592651488,5.038212600011374,5.365421381601356,5.06845537723263,5.105989853254019,5.625798098567808,122
12,5.027445825241324,5.2041049896007605,5.078830778354227,5.239985392029151,5.06381532983989,5.375703608832071,5.091468577872903,5.090393453391757,5.64057291216926,122
13,5.024001866874918,5.212486685765362,5.0785765598455,5.230001062209838,5.085097658202306,5.388503965728398,5.118900445574851,5.0672793191227266,5.630347822978847,122
14,5.028795252847831,5.221425263781469,5.087086622733017,5.228868078036052,5.098262796791122,5.400395835731932,5.1388715374937455,5.042125174054862,5.634890629206777,122
15,5.037680726835516,5.23426361324772,5.0835193640182466,5.222939731640601,5.112502862517817,5.406184887268565,5.157104809728806,5.029523234685251,5.635094719615593,122
16,5.0494081754508935,5.242742746130439,5.077810810889333,5.217434808058258,5.128295815595061,5.399748209910624,5.173505600118637,5.015197359176831,5.642142925081868,122
17,5.061338677025284,5.246309256362529,5.0632238370742,5.214632000441805,5.140842907707821,5.387072726497017,5.180540004420902,4.995412583094387,5.631621701577897,122
18,5.072832067453932,5.235821301697736,5.058506193781381,5.2239426100115836,5.153208584477965,5.371546882239968,5.18688560263875,4.975171168298701,5.64244911751515,122
19,5.0897427204318975,5.233559499702186,5.042967809775714,5.229085983011175,5.154856732198374,5.358816112060194,5.183623817505522,4.9588798001828485,5.6476939018631676,122
20,5.1042843034451515,5.2268887576670835,5.021919884604694,5.233962068936362,5.145959669174793,5.3534488679914025,5.175294732103466,4.947369163282095,5.65573665574218,122
21,5.11709709572038,5.227950565574275,4.995239944133404,5.24859503380222,5.137553510059179,5.348139061719484,5.157677614381613,4.948716693601787,5.655779608630204,122
22,5.125013258805382,5.216870641695072,4.966861546157862,5.261724589261805,5.1301833985919725,5.350834568420066,5.142489696583969,4.9543921139647775,5.664387263818967,122
23,5.122879258304714,5.203525918421045,4.94561741677453,5.264463383468334,5.126989051844184,5.3545596484314295,5.127302245957774,4.949588033411389,5.661729049437743,122
24,5.132919736829976,5.189865855281856,4.932560456810748,5.266927049233836,5.119573771231815,5.369516392162406,5.1154823447698625,4.946930856587252,5.659124666381884,122
25,5.14329136864986,5.174642957680955,4.917695949363176,5.276090535922526,5.114615330787307,5.386240967712477,5.105513297632884,4.94626578772227,5.656945606037834,122
26,5.151532523852396,5.161922902221813,4.907027471613034,5.275381162564564,5.101246128610446,5.39753227029808,5.098539703562799,4.945624640982368,5.6583352274214995,122
27,5.160750879241538,5.145051770648497,4.916381364040273,5.2819569170753375,5.096356256575318,5.412183776577534,5.0888536665672675,4.945069421720112,5.663344807173157,122
28,5.152409830226384,5.130524852924596,4.925346749987375,5.287090877175351,5.092162011494066,5.429425565771677,5.078903390381649,4.952672611553818,5.674848679446027,122
29,5.14298524224802,5.114175423973831,4.934622300801728,5.2810436618731496,5.0845640783745925,5.437090766084837,5.07128284259117,4.961277930188274,5.665609090330671,122
30,5.135747210478212,5.112038013406891,4.9377893176624985,5.275178892839262,5.074181314745985,5.426324143220695,5.060857923850317,4.966545824743425,5.669513808254921,122
31,5.145413397381433,5.110910052296345,4.932896691519201,5.274574523305562,5.059683749122087,5.410515508707453,5.058013078650945,4.967270588826667,5.6743605907590835,122
32,5.150679581725068,5.106225438966056,4.928119817792851,5.274203989671431,5.047245706796627,5.386203740956247,5.049790756535535,4.974001205418264,5.694232311651562,122
