time_step,region_1_entropy,region_2_entropy,region_3_entropy,region_4_entropy,region_5_entropy,region_6_entropy,region_7_entropy,region_8_entropy,global_entropy,lock_epoch
0,2.5894416166861114,2.589513245764561,2.526663469547373,2.598474463975506,2.494749946135835,2.5539048658240677,2.545970392097501,2.506629631427452,5.594167195598324,-1
1,3.2476524467235146,3.2432965666015487,3.1678016455509455,3.251434246430289,3.1191810692796267,3.206195327604032,3.184331551386732,3.1234490634696175,5.603132892386106,-1
2,3.9027044866814,3.897273102946029,3.8104153351085372,3.910454833152839,3.7413809850503865,3.8564931788460215,3.820266063773104,3.7383074409409476,5.605867436518702,-1
3,4.552563622980975,4.552161081957387,4.4557776979363695,4.566095728007747,4.359084774633317,4.501664783182576,4.453945200669624,4.349874544856924,5.606918894848021,-1
4,5.203159893359328,5.200939067851519,5.10000142451927,5.216870887941154,4.980270950087003,5.152132329287673,5.097244437820414,4.9599753952471115,5.6133956541364896,-1
5,5.205928866951112,5.216213717453603,5.111551107453427,5.219924737505334,4.970834146416971,5.175887040269865,5.097923499491557,4.925132098392672,5.608581104520484,-1
6,5.208069271456897,5.240946310868925,5.120095879906422,5.216967031917363,4.966879569540106,5.194393332069884,5.102481871844931,4.900011926691777,5.615155011813608,-1
7,5.200980022086528,5.2676689875351235,5.124046889757775,5.211895488286205,4.9596925865500365,5.2048838625029346,5.104964099944896,4.882383092854113,5.62619347485431,-1
8,5.183732947610573,5.2882832690169215,5.129665607580906,5.202380091052207,4.954223414005707,5.207569015501765,5.108833793456233,4.868562167713154,5.613658313170741,-1
9,5.1570403837258505,5.310092990434837,5.128117368669445,5.195176303162747,4.947196163520887,5.209443342287984,5.109359907379952,4.864517899637777,5.621832245837404,-1
10,5.136710386790109,5.334123450333015,5.12266976800013,5.176640548750587,4.951638182105002,5.213105901387404,5.103256456639998,4.869875991479835,5.635839843362737,-1
11,5.13522173306742,5.364754806858462,5.11242618155692,5.165867673699042,4.955366808288421,5.220521628255768,5.093802479277762,4.878704586178172,5.636376812595148,-1
12,5.13455080905707,5.402737173828287,5.095554746553178,5.159379136563219,4.957437894690731,5.225587861618321,5.077724459970288,4.886368612485638,5.634799639108724,-1
13,5.142066793224075,5.4260844232364125,5.092408894695963,5.152008193085859,4.964327484425572,5.23147464432588,5.066502193340451,4.895356491030791,5.628153579563775,-1
14,5.147708560383531,5.434857732693525,5.091955346660044,5.145684432562502,4.970409382236549,5.237618220513779,5.056280866575649,4.908086521164134,5.648616785132531,-1
15,5.160341249072513,5.4378829389925905,5.088414556294543,5.137354523603719,4.982276249255204,5.253018328086004,5.052776315376822,4.90213369366967,5.63379431930602,-1
16,5.172755221854326,5.446046068412707,5.082635824232025,5.135683254067104,4.992546528556615,5.276278069847718,5.037631653518995,4.901865516828465,5.639502249257348,-1
17,5.193367924327586,5.446483135299261,5.08454803720487,5.138916609892294,5.005936003296287,5.297356671775939,5.025184328854671,4.898259075768993,5.654000122943358,-1
18,5.208662736024978,5.44230479319245,5.092242910345278,5.156551375888164,5.007631011475639,5.312752876273202,5.023780400213586,4.882028555663945,5.651247814216889,-1
19,5.214586248764218,5.424481088192124,5.097170057754974,5.1756071488243345,5.017730950306297,5.331377732466376,5.030164793176496,4.868188380174367,5.65222305963749,-1
20,5.216242715872058,5.408881883668703,5.124494530402777,5.197232289373847,5.027862241643084,5.344438419991322,5.032722108869433,4.852117519328265,5.657467193561038,-1
21,5.210432247693682,5.392223897015652,5.139525869764417,5.224478284780627,5.036306942356119,5.346900566377585,5.034530221540763,4.845537079053651,5.655785485435046,-1
22,5.201658572355583,5.38114342812117,5.156896917558613,5.256790082013772,5.042056422672184,5.350189474204614,5.02744802804979,4.841260960266799,5.640023443304248,-1
23,5.185784186450695,5.369296560026776,5.172394434877709,5.285488594750824,5.0443451815933384,5.340344066819504,5.013890371404897,4.847037158327888,5.661169383535329,-1
24,5.178410173739534,5.35519017475291,5.179875845045455,5.311272024812814,5.0489837456454705,5.3162656137709305,5.005158208035144,4.851589315719743,5.655873507433878,-1
25,5.171265228399552,5.335739835774088,5.179804332275487,5.332480660855432,5.049186019223101,5.298754766719624,5.002777895805719,4.857408749257127,5.665375346314654,-1
26,5.176497516567127,5.315148119299653,5.171838061391033,5.343873937304603,5.047490545916233,5.294310874148884,4.999602563438699,4.862390459081347,5.663734554804094,-1
27,5.174730948466182,5.287783328466526,5.163749859559623,5.344572815922575,5.049516034909261,5.282340433860325,4.987645770740236,4.863124602651059,5.669785276228752,-1
28,5.172965178298847,5.253260352688065,5.1444550291756865,5.331401074195847,5.048809490344798,5.272142212274117,4.975315418305199,4.868941682522865,5.667640646751331,-1
29,5.168094068398833,5.222770064619252,5.136519035517412,5.318047049038339,5.05098837232477,5.265971516207667,4.960984045385359,4.871708663917944,5.672215477457226,-1
30,5.174086066096425,5.193970527639623,5.125550824063276,5.298904837844578,5.058457203620971,5.261273808454462,4.955226945931219,4.881660969658183,5.668581951001238,-1
31,5.181734422797456,5.166565792058521,5.124054801927575,5.284782049816244,5.062669946074562,5.263136216199864,4.945716066315891,4.87872016885383,5.67465099322783,-1
32,5.176459667429764,5.141689024772251,5.129874707650406,5.254216437191481,5.062880648636922,5.273416635953284,4.937666292472683,4.870053988707546,5.681954291641517,-1
33,5.168237736324544,5.131401171561562,5.134221954640575,5.223428314338447,5.063521250054896,5.2702179531408175,4.929664466528889,4.864574613009404,5.690013246730262,-1
34,5.1512943806711124,5.126091361516998,5.135767577786735,5.1898643949644185,5.072038237989514,5.261527688687833,4.9230746398838825,4.8728024083625,5.676749966674991,-1
35,5.146313353773822,5.133278315206967,5.141334675284434,5.163913690547576,5.070397266019771,5.257299137486606,4.918778650427183,4.874164690753084,5.685327828907565,-1
36,5.142637956127906,5.14586537700523,5.144124179560284,5.148884670463029,5.069291280368961,5.25309998306416,4.911233257372057,4.8830747924393565,5.69056404175181,-1
37,5.141493849570976,5.159357917822983,5.138131146450486,5.136424567259072,5.066945915688996,5.252617216664181,4.912332106929879,4.896347910509985,5.692725564072316,-1
38,5.129487190950854,5.163817702812459,5.13604341290828,5.1224377887084875,5.060731194181473,5.245801084012868,4.90364277545692,4.906236194716761,5.690269952335331,-1
39,5.108296478638285,5.176717861618218,5.1297623451925745,5.106036309104338,5.067092785356112,5.236240041868065,4.902556944535765,4.9318154319814616,5.689161758586989,-1
40,5.093808946629341,5.186859041035283,5.120900436364449,5.104077481416712,5.070730824451502,5.222885203410346,4.9076608285958745,4.960189819854909,5.693283292958335,-1
41,5.079455958461547,5.184655718853856,5.115829247009663,5.096225362381428,5.0757103014380895,5.206922775689207,4.903926063112256,4.985352665091707,5.6967756574918145,-1
42,5.062575817626086,5.172238002185914,5.118094244655255,5.096616648022121,5.06343105170035,5.197515951790858,4.8895471528756085,5.0059751535582855,5.698931450062992,-1
43,5.028180257783207,5.157414841946742,5.125124236982137,5.092063961861394,5.050265093642789,5.1926149778101856,4.873015083610458,5.039329972146001,5.707733898519681,-1
44,4.995634028305577,5.142553472741596,5.1321317535616,5.08819412859499,5.033258376318282,5.185311951897552,4.862444019636661,5.062776698694357,5.703588673936125,-1
45,4.971574591559771,5.123339904342607,5.139998976782104,5.087532285786942,5.019595500216591,5.174017918188381,4.847565456374142,5.080509956563308,5.709631452378983,-1
46,4.952822149678925,5.111090745258018,5.1479351626320184,5.088908234497247,5.001123769585847,5.169165634391232,4.847959468782195,5.087295166466927,5.7144538980017305,-1
47,4.945090104070161,5.079788166127212,5.150127218037052,5.094720377199695,4.9710027729114765,5.161968223049081,4.84855475280401,5.095089055131416,5.705737280952045,-1
