pixel_values,skewness,kurtosis,mean,std,n_maps,total_pixels
3.908215,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
146.60753,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-33.424595,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
79.379326,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-10.148739,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
0.8567536,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-19.506115,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
41.745743,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-48.252483,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-34.99094,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-51.883774,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-4.9280186,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-69.57002,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
39.45731,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
18.82036,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-24.575485,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
73.51984,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
42.85476,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
45.400284,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-34.024906,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-27.45537,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-31.345703,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
85.97275,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-21.967375,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
16.205757,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
30.454039,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-47.4224,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
102.507576,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-26.50314,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
25.346428,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
31.911287,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
47.10768,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-62.97934,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
17.375885,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-54.159588,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-81.2787,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-97.36659,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-9.955789,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-27.077332,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-33.80594,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
27.98641,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
43.80705,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
32.747097,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
47.965134,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-33.98413,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-18.554823,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-36.01229,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
7.3784413,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-5.621192,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-84.82837,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
47.430504,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-10.101044,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-21.270248,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
33.426933,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-40.20323,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-64.79843,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
12.74409,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-48.51735,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-16.811417,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
54.929935,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-44.3379,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
8.821067,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-70.32243,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
25.860125,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-15.4323,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-5.2466,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-13.405834,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
11.22963,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-51.243786,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
6.4629607,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-59.591465,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-10.24496,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
19.265041,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-44.048912,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-5.916581,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-2.1637392,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-21.731665,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-21.3486,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
68.09854,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
5.324933,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-10.099139,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-4.811928,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
9.504474,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-45.971184,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
30.830202,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
50.11074,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
6.136455,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
89.899445,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
10.939577,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-28.609545,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
11.579265,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-4.7704906,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
33.53088,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
53.92085,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-31.304129,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
98.79055,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
34.858265,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-51.87725,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-38.93986,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
40.944405,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
69.73668,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-30.570644,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
35.421886,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-70.52204,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-50.430344,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-10.105219,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-58.292374,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-4.5576854,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
41.975117,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-84.67707,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
124.791214,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
23.27583,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
128.6366,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-48.677757,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
0.60642433,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
-110.75837,0.0032154685,-0.0035517216,2.238037e-05,41.729397,127,24969216
