universe_id,E,I,X,stable,lockin,stable_epoch,lock_epoch,age_Gyr,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction
0,0.766,0.48769556433029726,24.09852015794535,1,1,20,138,305391684.58036417,0.7650574802277007,2.2141344366070912e-07,0.338044805387137,0.4692776621772451,101.32000000000001,0.18176586404797695,0.09938477821651487,33823.637186962136,False,1.0291868553859592e-09,1.0264e-06,0.09975391128660595,1.0198e-12,0.049753911286605945,1.0119695564330298e-06
1,0.752298899791339,0.48577615116365847,23.789948716772635,1,0,269,-1,305391684.58036417,0.7512288412083012,2.2054203143120322e-07,0.3367143695623516,0.4645002097548984,101.04597799582677,0.18056655380779846,0.09928880755818292,33634.77433661959,False,1.0217707114980263e-09,1.0209195599165358e-06,0.09971552302327318,1.0156896699374015e-12,0.04971552302327317,1.0090373950746336e-06
2,0.766,0.250723384682527,19.833020924285485,1,0,378,-1,305391684.58036417,0.7469054112666815,1.1382824054399196e-07,0.17378820719314014,0.07636685806466849,101.32000000000001,0.09344549343284171,0.08753616923412635,33059.38340226319,False,9.557491769131152e-10,1.0264e-06,0.09501446769365055,1.0198e-12,0.04501446769365054,9.882723384682527e-07
3,0.766,0.4345070196085653,23.141126352954178,1,1,11,269,305391684.58036417,0.760983237702016,1.9726588171535496e-07,0.3011773155751819,0.34187947874858654,101.32000000000001,0.16194230505769588,0.09672535098042828,33652.09997670128,False,1.0127037253766945e-09,1.0264e-06,0.09869014039217132,1.0198e-12,0.04869014039217131,1.0066507019608566e-06
4,0.766,0.2813928908058928,20.38507203450607,1,1,42,441,305391684.58036417,0.7492546954357314,1.2775217478250104e-07,0.19504668889171714,0.10100830166399113,101.32000000000001,0.10487612698410938,0.08906964454029465,33158.29495451574,False,9.65253656860746e-10,1.0264e-06,0.09562785781611786,1.0198e-12,0.04562785781611786,9.913392890805893e-07
5,0.72,0.5170972645807583,23.70775076245365,1,1,298,466,305391684.58036417,0.7212310030498146,2.3476179492339473e-07,0.3584245110194127,0.5426393438383071,100.4,0.19098885073164265,0.10085486322903792,33305.287634492255,False,1.0151804711679697e-09,1.008e-06,0.10034194529161518,1.006e-12,0.05034194529161517,1.005709726458076e-06
6,0.7245968703395484,0.48081000201528334,23.14651744306607,1,1,266,439,305391684.58036417,0.7232063690913937,2.1828740320594066e-07,0.33327209728191526,0.4521716905572174,100.49193740679097,0.17774811754425981,0.09904050010076418,33251.187441609836,False,1.0064706336905224e-09,1.0098387481358192e-06,0.09961620004030568,1.0073790611018644e-12,0.049616200040305675,1.003000374269438e-06
7,0.7512216223297569,0.25256902847122836,19.570674959077248,1,1,346,444,305391684.58036417,0.7326340727451097,1.1466616152772807e-07,0.17506750998159648,0.07767890351469868,101.02443244659514,0.09386194513299137,0.08762845142356142,32872.70279094407,False,9.494804473397973e-10,1.0204886489319026e-06,0.09505138056942458,1.0153664866989272e-12,0.045051380569424565,9.855012273130742e-07
8,0.7508361526811003,0.27223586011404444,19.916968535674805,0,0,-1,-1,305391684.58036417,0.7337347976300312,1.235948892800727e-07,0.18869951888536157,0.09299169666017632,101.01672305362202,0.10116306518613752,0.08861179300570222,32930.733737174014,False,9.553520364861852e-10,1.0203344610724401e-06,0.0954447172022809,1.0152508458043301e-12,0.04544471720228089,9.873908165476246e-07
9,0.766,0.46929323936796846,23.767278308623432,1,1,45,345,305391684.58036417,0.7636478621355864,2.130588010531476e-07,0.3252892857237509,0.4238306637997936,101.32000000000001,0.17490725236086313,0.09846466196839843,33764.288251907295,False,1.0234839748801336e-09,1.0264e-06,0.09938586478735938,1.0198e-12,0.049385864787359374,1.0101293239367969e-06
10,0.72,0.445008746254771,22.41015743258588,1,1,353,489,305391684.58036417,0.7160406297303434,2.020336582365805e-07,0.3084565577910106,0.365884701206816,100.4,0.1643630992355679,0.09725043731273855,33076.999469270355,False,9.933376501151955e-10,1.008e-06,0.09890017492509542,1.006e-12,0.04890017492509542,9.985008746254771e-07
11,0.766,0.33076615247429125,21.273790744537244,1,1,379,441,305391684.58036417,0.7530366872795308,1.501676009014018e-07,0.22926962601221595,0.1554685553711879,101.32000000000001,0.1232777164682108,0.09153830762371457,33317.52757899128,False,9.80554430651783e-10,1.0264e-06,0.09661532304948584,1.0198e-12,0.046615323049485825,9.962766152474292e-07
12,0.72,0.5996811818022375,25.194261272440276,1,1,4,177,305391684.58036417,0.7271770450897611,2.7225483533705493e-07,0.4156673204010769,0.7304312824372009,100.4,0.22149105702707764,0.10498405909011188,33566.812373481545,False,1.040203398086078e-09,1.008e-06,0.10199362363604476,1.006e-12,0.051993623636044754,1.0139681181802238e-06
13,0.7300001650295143,0.47284839776061255,23.11127446028131,1,0,399,-1,305391684.58036417,0.7280180976179574,2.146728404663531e-07,0.3277535337400561,0.43253495167064804,100.60000330059029,0.1749917924097658,0.09864241988803063,33297.42730779005,False,1.0067324189607414e-09,1.0120000660118058e-06,0.09945696795521225,1.0090000495088543e-12,0.049456967955212254,1.003284872781964e-06
14,0.766,0.4429271847049756,23.29268932468956,1,1,152,175,305391684.58036417,0.7616282223484012,2.0108863075501048e-07,0.30701372927160797,0.361068824340289,101.32000000000001,0.16508053040997545,0.09714635923524878,33679.255666674195,False,1.015313134540072e-09,1.0264e-06,0.09885854369409952,1.0198e-12,0.04885854369409951,1.0074927184704975e-06
15,0.766,0.4373092051127908,23.191565692030235,1,1,99,196,305391684.58036417,0.7611978851116398,1.9853807196608787e-07,0.30311964255684176,0.34821198118814367,101.32000000000001,0.1629866895193378,0.09686546025563954,33661.13724377717,False,1.013572122664454e-09,1.0264e-06,0.09874618410225583,1.0198e-12,0.04874618410225582,1.006930920511279e-06
16,0.7287048704347988,0.39637967270380925,21.70893151736454,1,0,130,-1,305391684.58036417,0.7211540067171206,1.7995609300029675e-07,0.27474945256591926,0.26188323902023875,100.57409740869599,0.14665468252099384,0.09481898363519047,33037.28056770665,False,9.82820175818125e-10,1.0114819481739195e-06,0.0979275934540762,1.0086114611304396e-12,0.047927593454076184,9.953789413573407e-07
17,0.766,0.42082149985155526,22.894786997327998,1,1,117,424,305391684.58036417,0.7599349268886292,1.910526653580414e-07,0.291691236141113,0.31178552354761074,101.32000000000001,0.1568416633756365,0.09604107499257777,33607.96310677244,False,1.008462582803997e-09,1.0264e-06,0.09841642999703111,1.0198e-12,0.04841642999703111,1.0052821499851555e-06
18,0.72,0.6023642670232732,25.242556806418914,1,1,12,246,305391684.58036417,0.7273702272256757,2.7347295414287275e-07,0.4175270933572398,0.735681539883935,100.4,0.2224820492404983,0.10511821335116367,33575.30910245403,False,1.0410163729080518e-09,1.008e-06,0.10204728534046546,1.006e-12,0.05204728534046547,1.0142364267023273e-06
19,0.766,0.47497716235674503,23.86958892242141,1,1,45,369,305391684.58036417,0.7640832506365267,2.1563929809780587e-07,0.3292290809179412,0.43776728868886994,101.32000000000001,0.17702567058895557,0.09874885811783725,33782.6193474079,False,1.0252454226143554e-09,1.0264e-06,0.0994995432471349,1.0198e-12,0.0494995432471349,1.0106977162356745e-06
20,0.7518678469225724,0.3882047080962682,22.025041684184274,1,1,56,188,305391684.58036417,0.7434623183805985,1.7624466481036513e-07,0.26908299889702486,0.24639119344599084,101.03735693845144,0.14428634931590273,0.09441023540481341,33316.112937519705,False,9.915255487270977e-10,1.020747138769029e-06,0.09776409416192537,1.0155603540767717e-12,0.04776409416192537,9.991940401941413e-07
21,0.72,0.5528888983863837,24.352000170954902,1,1,103,392,305391684.58036417,0.7238080006838196,2.5101117153199443e-07,0.3832333810794159,0.629223947836313,100.4,0.20420841980417756,0.10264444491931919,33418.63170927031,False,1.0260253362110743e-09,1.008e-06,0.10105777796772769,1.006e-12,0.051057777967727674,1.0092888898386383e-06
22,0.766,0.4582289165525151,23.568120497945273,1,1,179,206,305391684.58036417,0.7628003350079227,2.0803560626623717e-07,0.3176200815594143,0.39706465689422016,101.32000000000001,0.17078354006215013,0.09791144582762576,33728.604946806205,False,1.0200551412396244e-09,1.0264e-06,0.0991645783310503,1.0198e-12,0.049164578331050306,1.0090228916552517e-06
23,0.7245969149894625,0.4808459064950174,23.147164616699563,1,0,481,-1,305391684.58036417,0.7232090152831495,2.183037038145215e-07,0.3332969843708124,0.45226063195102845,100.49193829978927,0.17776139245419073,0.09904229532475088,33251.30194233302,True,1.0064815597017902e-09,1.009838765995785e-06,0.09961691812990035,1.0073790744968387e-12,0.04961691812990035,1.0030039736473944e-06
24,0.7469537780915977,0.4184779193772081,22.4716781106217,1,0,178,-1,305391684.58036417,0.7408644554796894,1.8998868146876045e-07,0.29006678994290386,0.30677909076406484,100.93907556183194,0.1553883577155197,0.09592389596886042,33348.230473388474,False,9.984460994064921e-10,1.018781511236639e-06,0.09836955838754417,1.0140861334274792e-12,0.04836955838754416,1.0012385475560403e-06
