Target,E_importance,I_importance
Reaching Lock-in,0.7378941812615842,0.2621058187384157
Stability Reached,0.7173110322583078,0.2826889677416922
Time to Lock-in,0.9598369529249011,0.04016304707509888
Time to Stabilize,0.705492866721675,0.29450713327832495
Cold Spot Presence,0.663012457719105,0.38725159707586054
Cold Spot Depth,0.6407448246989846,0.34866254478834646
AoE Strength,0.6535660428688388,0.3804061966529347
Entropy Volatility,0.6931648254557214,0.3327077021499729
CMB Quality,0.5412434322068812,0.5077977389952119
Feature Importance,0.6489954054913084,0.3577051641899538
Power Law Fit Quality,0.5946790625249436,0.4295888391523734
Phase Transition Sharpness,0.6103548627287443,0.4051068899496311
Correlation Matrix Strength,0.6621366939416653,0.38216310879364457
Finetuning Sensitivity,0.5715493317278677,0.4734747735215672
E-I Balance,0.514108893398197,0.475541496238334
Planck Chi-Squared,0.7408592479348626,0.26400863132729585
Planck R-Squared,0.7307428492738257,0.30391848812166455
CMB Anomaly Score,0.5348791753921465,0.5308227230366154
CMB Statistical Significance,0.4964077331815389,0.5139890027569782
