pixel_values,skewness,kurtosis,mean,std,n_maps,total_pixels
-0.49573445,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-57.03866,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
19.166357,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-13.1821375,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
22.619114,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
1.0021368,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-33.177486,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-45.648907,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-48.987915,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
14.194591,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-77.89903,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
95.30425,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-42.595146,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
25.487024,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-34.262268,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
22.064749,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-37.88617,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
1.7915838,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-15.463077,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
54.647232,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-4.841116,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
14.832188,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
38.803993,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-106.82933,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
16.153702,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-30.021513,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
10.177143,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-47.102524,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
24.036427,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
27.832205,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
15.629914,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
23.622961,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-4.8361106,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
31.39086,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
0.46658128,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-8.57319,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
33.103947,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-40.905594,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-31.954792,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
44.57183,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-32.73133,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-35.462112,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-58.4468,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
45.56568,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
14.520522,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
42.284367,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
21.077826,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-89.63067,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-50.305557,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
21.761364,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
39.8806,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-22.888527,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-49.285034,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-28.442633,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
10.596684,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
61.430138,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
8.827002,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
11.215819,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
61.09001,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-14.304647,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-57.338497,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
13.115142,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
50.773766,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
54.361607,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
34.224476,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
83.38252,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-38.20904,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-15.389522,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-57.467873,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
49.217888,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-43.596977,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-64.440796,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-53.312637,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-89.94166,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
15.64843,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-4.0221987,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-44.96974,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-43.307934,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
115.92486,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-74.97674,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
54.950287,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-30.384092,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-27.267096,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-17.72506,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
3.2933614,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-49.664043,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-65.293655,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
60.816517,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
17.505732,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
8.3861065,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-18.51838,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
37.08803,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
44.958454,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-2.0102162,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-11.61931,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-44.0189,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
24.315708,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-1.4103909,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
30.687626,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-73.88746,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
16.383417,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
9.151425,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
8.201988,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-39.711246,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
29.79014,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
16.382486,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-60.759705,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-76.46487,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-39.89351,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
-20.982067,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
26.86898,-0.0012367247,-0.0062482357,4.8828124e-06,41.634296,175,34406400
