Target,E_importance,I_importance
Reaching Lock-in,0.6,0.4
Stability Reached,0.6,0.4
Time to Lock-in,0.4751253497085257,0.5248746502914743
Time to Stabilize,0.6805217290025809,0.3194782709974191
Cold Spot Presence,0.6661533531661643,0.3768176348774864
Cold Spot Depth,0.6438185583931587,0.3709695888964066
AoE Strength,0.6544801363674196,0.3669325643923104
Entropy Volatility,0.6344054154469484,0.3543642362836657
CMB Quality,0.47855977417253776,0.5195894493503974
Feature Importance,0.6088749676365447,0.39898252164498355
Power Law Fit Quality,0.5706513500575258,0.36244690643279287
Phase Transition Sharpness,0.6366690198551402,0.43717965088006816
Correlation Matrix Strength,0.6341123692445487,0.39693154839528894
Finetuning Sensitivity,0.584840082899186,0.43599423442222524
E-I Balance,0.5751562899822564,0.44406861131037645
Planck Chi-Squared,0.6822365946493352,0.3311263889245628
Planck R-Squared,0.7458506765667994,0.299433703811467
CMB Anomaly Score,0.47017629553438967,0.5335381135093935
CMB Statistical Significance,0.4817460580733181,0.48838626936446394
