universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch
0,2768857058,0.766,0.0,15.32,1,1,7,122
1,1373236331,0.766,0.0,15.32,1,1,38,127
2,1693879517,0.7523243670484796,0.0,15.046487340969591,1,1,12,122
3,1991269579,0.766,0.0,15.32,1,1,5,218
4,3399393460,0.766,0.0,15.32,1,1,11,226
5,1907088877,0.766,0.0,15.32,1,1,242,299
6,3547773558,0.766,0.0,15.32,1,1,4,122
7,374745164,0.7431627782099473,0.0,14.863255564198944,1,1,4,122
8,1137265992,0.7449739315337742,0.0,14.899478630675485,1,1,4,122
9,875834463,0.766,0.0,15.32,1,1,12,177
10,1654578479,0.730394885076345,0.0,14.6078977015269,1,1,8,122
11,2167384513,0.766,0.0,15.32,1,1,10,126
12,3359605120,0.72,0.0,14.399999999999999,1,1,4,122
13,1566103502,0.7487169774781635,0.0,14.974339549563268,1,1,4,122
14,3123834147,0.766,0.0,15.32,1,1,156,169
15,3356901578,0.766,0.0,15.32,1,1,7,122
16,1546766505,0.7566279146362994,0.0,15.132558292725989,1,1,16,122
17,3891494235,0.72,0.0,14.399999999999999,1,1,8,122
18,2321262577,0.7562280492414187,0.0,15.124560984828374,1,1,4,122
19,2426569139,0.766,0.0,15.32,1,1,19,122
20,2647309282,0.72,0.0,14.399999999999999,1,1,406,432
21,1407243053,0.742933824327487,0.0,14.85867648654974,1,1,4,122
22,1500390074,0.766,0.0,15.32,1,1,9,132
23,2537539736,0.7286099430202213,0.0,14.572198860404427,1,1,4,122
24,3469883565,0.766,0.0,15.32,1,1,14,139
25,3547698663,0.766,0.0,15.32,1,1,9,232
26,1382274568,0.7445706697757863,0.0,14.891413395515727,1,1,7,122
27,1197484491,0.766,0.0,15.32,1,1,16,227
28,98799516,0.766,0.0,15.32,1,1,25,122
29,419749243,0.743574789411208,0.0,14.871495788224161,1,1,4,122
30,1124586454,0.72,0.0,14.399999999999999,1,1,10,149
31,2955845900,0.766,0.0,15.32,1,1,17,122
32,3024458244,0.72,0.0,14.399999999999999,1,1,5,122
33,733991566,0.766,0.0,15.32,1,1,21,122
34,1023307187,0.7590200673020566,0.0,15.180401346041133,1,1,7,122
35,2151901033,0.766,0.0,15.32,1,1,32,124
36,434047844,0.7338280114854289,0.0,14.676560229708578,1,1,4,122
37,2480885384,0.7267252849194601,0.0,14.534505698389202,1,1,4,122
38,820708607,0.72,0.0,14.399999999999999,1,1,4,122
39,566220573,0.7619056665525229,0.0,15.238113331050458,1,1,7,122
40,3256273207,0.766,0.0,15.32,1,1,8,122
41,2011540956,0.7487752503844977,0.0,14.975505007689954,1,1,4,166
42,241725729,0.766,0.0,15.32,1,1,57,123
43,2457926552,0.766,0.0,15.32,1,1,199,211
44,1279319932,0.766,0.0,15.32,1,1,8,197
45,540618751,0.72,0.0,14.399999999999999,1,1,8,178
46,793630667,0.72,0.0,14.399999999999999,1,1,7,122
47,754755498,0.7232384257030985,0.0,14.46476851406197,1,1,13,122
48,581806766,0.766,0.0,15.32,1,1,88,122
49,120774231,0.72,0.0,14.399999999999999,1,1,4,122
50,1833738714,0.72,0.0,14.399999999999999,1,1,26,122
51,4284866484,0.766,0.0,15.32,1,1,4,122
52,1342201812,0.731671609982556,0.0,14.63343219965112,1,1,4,122
53,4103338138,0.766,0.0,15.32,1,1,8,122
54,272682826,0.72,0.0,14.399999999999999,1,1,11,122
55,3941234599,0.72,0.0,14.399999999999999,1,1,11,122
56,3184659252,0.766,0.0,15.32,1,1,38,122
57,3521596648,0.765208833660536,0.0,15.304176673210721,1,1,4,163
58,715460675,0.7449293421975067,0.0,14.898586843950135,1,1,4,122
59,129668592,0.766,0.0,15.32,1,1,4,122
60,418571765,0.72,0.0,14.399999999999999,1,1,6,122
61,1854054019,0.7653024945737225,0.0,15.30604989147445,1,1,11,122
62,2014605171,0.766,0.0,15.32,1,1,31,122
63,3854817189,0.766,0.0,15.32,1,1,107,122
64,2559701165,0.72,0.0,14.399999999999999,1,1,83,122
65,4063319739,0.7249198199964765,0.0,14.498396399929529,1,1,6,122
66,3236024605,0.72,0.0,14.399999999999999,1,1,14,122
67,3301965178,0.766,0.0,15.32,1,1,28,122
68,3397227390,0.766,0.0,15.32,1,1,28,122
69,4209720584,0.766,0.0,15.32,1,1,4,126
70,2434508298,0.7557916662640702,0.0,15.115833325281404,1,1,4,122
71,4032647203,0.7320358683169658,0.0,14.640717366339315,1,1,4,122
72,1547948363,0.7509439810720834,0.0,15.018879621441668,1,1,4,122
73,2286462325,0.7273230458541755,0.0,14.546460917083511,1,1,7,122
74,1198147053,0.7285543764068594,0.0,14.571087528137188,1,1,4,122
75,674521451,0.7309668849594636,0.0,14.619337699189272,1,1,4,122
76,1655443206,0.7429549509658419,0.0,14.859099019316837,1,1,4,122
77,1561339217,0.744230578039637,0.0,14.88461156079274,1,1,4,122
78,849763706,0.72,0.0,14.399999999999999,1,1,4,122
79,3675207222,0.759829674505226,0.0,15.196593490104519,1,1,8,122
80,484710881,0.766,0.0,15.32,1,1,27,122
81,1873710179,0.766,0.0,15.32,1,1,18,129
82,1575685646,0.766,0.0,15.32,1,1,9,125
83,2258890246,0.7470404068176658,0.0,14.940808136353317,1,1,4,122
84,1164806176,0.766,0.0,15.32,1,1,125,140
85,3747633131,0.766,0.0,15.32,1,1,17,122
86,877851447,0.766,0.0,15.32,1,1,166,179
87,531009696,0.7329631197297068,0.0,14.659262394594137,1,1,4,122
88,4104777819,0.72,0.0,14.399999999999999,1,1,10,124
89,12854960,0.7461394377568037,0.0,14.922788755136073,1,1,4,122
90,1918906872,0.766,0.0,15.32,1,1,38,122
91,172784830,0.72,0.0,14.399999999999999,1,1,202,218
92,1596172383,0.72,0.0,14.399999999999999,1,1,16,137
93,1998951693,0.766,0.0,15.32,1,1,17,183
94,2372655345,0.766,0.0,15.32,1,1,4,196
95,1433232295,0.7381768814150335,0.0,14.76353762830067,1,1,4,122
96,3354052646,0.766,0.0,15.32,1,1,23,165
97,2983625379,0.766,0.0,15.32,1,1,7,132
98,2718027073,0.7515488682282987,0.0,15.030977364565974,1,1,9,122
99,815813713,0.766,0.0,15.32,1,1,39,122
100,2526200174,0.7226870704250302,0.0,14.453741408500605,1,1,4,122
101,1070828801,0.766,0.0,15.32,1,1,22,122
102,2179005505,0.72,0.0,14.399999999999999,1,1,11,122
103,1878117275,0.72,0.0,14.399999999999999,1,1,13,122
104,1400218669,0.766,0.0,15.32,1,1,42,122
105,4204176018,0.766,0.0,15.32,1,1,77,122
106,3910516229,0.766,0.0,15.32,1,1,20,122
107,47247834,0.7427345483175567,0.0,14.854690966351134,1,1,4,122
108,3197445671,0.766,0.0,15.32,1,1,5,122
109,2517949314,0.766,0.0,15.32,1,1,24,136
110,1157994194,0.72,0.0,14.399999999999999,1,1,17,122
111,4175230434,0.766,0.0,15.32,1,1,15,122
112,3736767652,0.72,0.0,14.399999999999999,1,1,23,420
113,1878427727,0.766,0.0,15.32,1,1,59,145
114,2784800864,0.766,0.0,15.32,1,1,15,128
115,1094869833,0.7515587056876589,0.0,15.031174113753178,1,1,4,122
116,3403793774,0.72,0.0,14.399999999999999,1,1,18,122
117,515651431,0.72,0.0,14.399999999999999,1,1,92,129
118,3715402607,0.766,0.0,15.32,1,1,23,122
119,568077977,0.7385879768926867,0.0,14.771759537853734,1,1,4,122
120,2212713798,0.766,0.0,15.32,1,1,11,122
121,16393668,0.7336565126903452,0.0,14.673130253806903,1,1,4,122
122,2269915790,0.7590872263990173,0.0,15.181744527980346,1,1,5,122
123,836693607,0.766,0.0,15.32,1,1,14,122
124,1818151785,0.766,0.0,15.32,1,1,6,122
125,3453880459,0.766,0.0,15.32,1,1,86,122
126,1788692838,0.766,0.0,15.32,1,1,10,122
127,2725819280,0.766,0.0,15.32,1,1,7,142
128,3849333833,0.766,0.0,15.32,1,1,20,130
129,2442782566,0.7521971308972196,0.0,15.043942617944392,1,1,4,122
130,1479822574,0.7453884863170369,0.0,14.907769726340739,1,1,4,122
131,2427871214,0.766,0.0,15.32,1,1,13,122
132,1463621020,0.72,0.0,14.399999999999999,1,1,25,122
133,1503122070,0.7506026826585772,0.0,15.012053653171545,1,1,4,122
134,103904119,0.766,0.0,15.32,1,1,9,122
135,476366865,0.766,0.0,15.32,1,1,6,122
136,3635089278,0.7424357000578757,0.0,14.848714001157514,1,1,4,122
137,2797209519,0.7591334980384244,0.0,15.18266996076849,1,1,10,122
138,3625841783,0.766,0.0,15.32,1,1,4,130
139,2556938538,0.72,0.0,14.399999999999999,1,1,10,122
140,223908591,0.7261476848535997,0.0,14.522953697071994,1,1,8,122
141,1889004262,0.7269847165866428,0.0,14.539694331732855,1,1,4,122
142,472718094,0.7456946016558863,0.0,14.913892033117726,1,1,4,122
143,3265305924,0.7469960550905554,0.0,14.939921101811109,1,1,4,122
144,1523168050,0.766,0.0,15.32,1,1,8,122
145,476661907,0.766,0.0,15.32,1,1,13,227
146,1077144718,0.748771908332645,0.0,14.9754381666529,1,1,4,122
147,2042900913,0.766,0.0,15.32,1,1,53,122
148,644088287,0.72,0.0,14.399999999999999,1,1,4,122
149,2499379855,0.766,0.0,15.32,1,1,62,172
150,1477615946,0.766,0.0,15.32,1,1,23,122
151,739836035,0.72,0.0,14.399999999999999,1,1,27,203
152,3004513817,0.7314814092347737,0.0,14.629628184695473,1,1,5,122
153,347881764,0.72,0.0,14.399999999999999,1,1,49,122
154,2400177536,0.72,0.0,14.399999999999999,1,1,22,122
155,1500212057,0.72,0.0,14.399999999999999,1,1,31,122
156,2326205223,0.72,0.0,14.399999999999999,1,1,6,122
157,4115863878,0.766,0.0,15.32,1,1,13,122
158,1901277328,0.766,0.0,15.32,1,1,4,122
159,4223528507,0.766,0.0,15.32,1,1,11,122
160,244770763,0.7522559316588031,0.0,15.045118633176063,1,1,4,122
161,4018205956,0.7606847182976514,0.0,15.213694365953028,1,1,7,122
162,3226977037,0.7451601044784358,0.0,14.903202089568717,1,1,4,122
163,838996484,0.7389624296650276,0.0,14.77924859330055,1,1,4,122
164,4163745077,0.766,0.0,15.32,1,1,28,122
165,1727991627,0.766,0.0,15.32,1,1,117,129
166,3219931052,0.72,0.0,14.399999999999999,1,1,6,122
167,1713318689,0.766,0.0,15.32,1,1,24,370
168,1272363347,0.7537794292352743,0.0,15.075588584705486,1,1,4,122
169,2823748986,0.766,0.0,15.32,1,1,8,156
170,1937934956,0.766,0.0,15.32,1,1,18,250
171,2226876520,0.766,0.0,15.32,1,1,10,122
172,3565038342,0.7301383323179037,0.0,14.602766646358074,1,1,4,122
173,685295206,0.72,0.0,14.399999999999999,1,1,22,122
174,3736441871,0.7464191027791771,0.0,14.928382055583542,1,1,4,122
175,1265009602,0.7373826081196536,0.0,14.747652162393072,1,1,4,122
176,3728410949,0.749381970583573,0.0,14.987639411671461,1,1,4,122
177,673165849,0.766,0.0,15.32,1,1,4,122
178,3304751269,0.766,0.0,15.32,1,1,11,122
179,1406398400,0.72,0.0,14.399999999999999,1,1,29,122
180,2264659162,0.72,0.0,14.399999999999999,1,1,16,126
181,2500429197,0.7447414190051216,0.0,14.894828380102432,1,1,4,122
182,3922798376,0.7566247928632533,0.0,15.132495857265067,1,1,4,122
183,3100951900,0.766,0.0,15.32,1,1,4,122
184,3563261950,0.766,0.0,15.32,1,1,19,132
185,3896568423,0.766,0.0,15.32,1,1,13,191
186,3614785216,0.766,0.0,15.32,1,1,23,187
187,1828601668,0.754221466103304,0.0,15.084429322066079,1,1,4,122
188,723262076,0.766,0.0,15.32,1,1,10,197
189,1089673707,0.766,0.0,15.32,1,1,14,122
190,679693316,0.7348064536518356,0.0,14.696129073036712,1,1,4,122
191,787644642,0.72,0.0,14.399999999999999,1,1,8,122
192,3724477577,0.72,0.0,14.399999999999999,1,1,7,122
193,351167558,0.7469130301004984,0.0,14.938260602009967,1,1,4,122
194,1890238014,0.7341755295204148,0.0,14.683510590408295,1,1,7,122
195,1256868888,0.7447542275491132,0.0,14.895084550982265,1,1,4,122
196,140088310,0.762877261092626,0.0,15.25754522185252,1,1,4,122
197,2217802985,0.72,0.0,14.399999999999999,1,1,50,129
198,461772122,0.766,0.0,15.32,1,1,165,177
199,722151326,0.7228498510593641,0.0,14.45699702118728,1,1,5,142
200,254865812,0.7203003498287741,0.0,14.406006996575481,1,1,16,122
201,2997038936,0.7646636585189743,0.0,15.293273170379486,1,1,10,122
202,3707872737,0.766,0.0,15.32,1,1,15,122
203,3551653822,0.766,0.0,15.32,1,1,24,122
204,3253825231,0.766,0.0,15.32,1,1,18,122
205,2096962556,0.766,0.0,15.32,1,1,29,122
206,1477804254,0.766,0.0,15.32,1,1,178,199
207,1534816039,0.72,0.0,14.399999999999999,1,1,16,122
208,2445598064,0.7367643123912831,0.0,14.735286247825663,1,1,5,122
209,204484984,0.766,0.0,15.32,1,1,22,122
210,3978710691,0.7289096915842691,0.0,14.578193831685383,1,1,10,122
211,1006892952,0.7252728557457628,0.0,14.505457114915256,1,1,4,122
212,2654412620,0.72,0.0,14.399999999999999,1,1,7,149
213,1389939091,0.766,0.0,15.32,1,1,13,122
214,1874673519,0.758255085583091,0.0,15.16510171166182,1,1,4,122
215,4024770857,0.766,0.0,15.32,1,1,16,122
216,774717540,0.766,0.0,15.32,1,1,4,146
217,332307582,0.72,0.0,14.399999999999999,1,1,12,122
218,2015409739,0.7384739459200316,0.0,14.769478918400631,1,1,4,122
219,250292503,0.7315596115773928,0.0,14.631192231547857,1,1,9,122
220,1981851010,0.7212814834592257,0.0,14.425629669184515,1,1,180,253
221,3071032994,0.72,0.0,14.399999999999999,1,1,25,231
222,1831731718,0.7552454079450286,0.0,15.104908158900571,1,1,4,122
223,1254701834,0.766,0.0,15.32,1,1,9,122
224,4195117269,0.7459520810791602,0.0,14.919041621583204,1,1,4,122
225,2379734519,0.766,0.0,15.32,1,1,6,122
226,2418596696,0.766,0.0,15.32,1,1,214,234
227,3752862177,0.7518339646971665,0.0,15.03667929394333,1,1,4,122
228,112268443,0.7595855412375647,0.0,15.191710824751294,1,1,4,128
229,154905370,0.72,0.0,14.399999999999999,1,1,45,122
230,2627217200,0.766,0.0,15.32,1,1,11,122
231,3322919465,0.766,0.0,15.32,1,1,5,122
232,3968142559,0.766,0.0,15.32,1,1,19,176
233,1821370933,0.7299618014245097,0.0,14.599236028490195,1,1,7,122
234,2541173994,0.7262161039546282,0.0,14.524322079092563,1,1,7,124
235,3559291376,0.72,0.0,14.399999999999999,1,1,8,183
236,2965361427,0.766,0.0,15.32,1,1,6,122
237,700884364,0.73657969770942,0.0,14.7315939541884,1,1,4,122
238,3356712646,0.7460727969999331,0.0,14.921455939998662,1,1,4,122
239,3977068578,0.720936759264514,0.0,14.418735185290279,1,1,28,131
240,806322153,0.7370428184084366,0.0,14.740856368168732,1,1,4,122
241,3365748825,0.7505208447357825,0.0,15.01041689471565,1,1,5,122
242,3952663257,0.766,0.0,15.32,1,1,45,162
243,3695535462,0.766,0.0,15.32,1,1,9,122
244,608527901,0.766,0.0,15.32,1,1,14,155
245,1211524570,0.766,0.0,15.32,1,1,31,122
246,1403156073,0.72,0.0,14.399999999999999,1,1,12,122
247,3747642175,0.7220417463222323,0.0,14.440834926444646,1,1,22,122
248,2096677232,0.766,0.0,15.32,1,1,10,122
249,2586940624,0.7412215392406644,0.0,14.824430784813288,1,1,4,122
250,389626536,0.72,0.0,14.399999999999999,1,1,7,122
251,678252273,0.766,0.0,15.32,1,1,24,122
252,779656467,0.766,0.0,15.32,1,1,53,122
253,2355720730,0.766,0.0,15.32,1,1,11,125
254,4205420596,0.7548843033682869,0.0,15.09768606736574,1,1,5,157
255,3543658046,0.7589304369245853,0.0,15.178608738491706,1,1,6,122
256,2032926021,0.72,0.0,14.399999999999999,1,1,39,122
257,2530484220,0.766,0.0,15.32,1,1,4,245
258,3740937059,0.7603597662675996,0.0,15.207195325351993,1,1,91,127
259,3891565931,0.766,0.0,15.32,1,1,14,122
260,3262569751,0.766,0.0,15.32,1,1,15,184
261,4043495458,0.766,0.0,15.32,1,1,4,122
262,3751810729,0.766,0.0,15.32,1,1,15,122
263,2000134583,0.766,0.0,15.32,1,1,9,149
264,3201290931,0.72,0.0,14.399999999999999,1,1,4,122
265,3723191775,0.7525115919689946,0.0,15.050231839379894,1,1,8,122
266,979015166,0.766,0.0,15.32,1,1,26,299
267,4037144253,0.7459715350475322,0.0,14.919430700950645,1,1,4,135
268,4075197755,0.766,0.0,15.32,1,1,34,122
269,4280613374,0.7373676943473683,0.0,14.747353886947366,1,1,4,122
270,1280472470,0.72,0.0,14.399999999999999,1,1,7,180
271,1202274622,0.72,0.0,14.399999999999999,1,1,217,230
272,2805163160,0.766,0.0,15.32,1,1,7,140
273,3338435607,0.766,0.0,15.32,1,1,18,128
274,1583038018,0.72,0.0,14.399999999999999,1,1,45,122
275,1582194599,0.766,0.0,15.32,1,1,6,123
276,3833837925,0.766,0.0,15.32,1,1,4,210
277,254728974,0.766,0.0,15.32,1,1,49,122
278,113516522,0.72,0.0,14.399999999999999,1,1,33,122
279,322066536,0.7372970900642564,0.0,14.745941801285127,1,1,7,122
280,940637732,0.766,0.0,15.32,1,1,6,122
281,1569077119,0.7383870930227184,0.0,14.767741860454368,1,1,4,122
282,3361227161,0.766,0.0,15.32,1,1,23,243
283,4118165163,0.72,0.0,14.399999999999999,1,1,20,122
284,4287396544,0.766,0.0,15.32,1,1,4,122
285,1154596806,0.732770516285049,0.0,14.655410325700979,1,1,4,122
286,755778538,0.766,0.0,15.32,1,1,9,122
287,2277989884,0.7225092512027061,0.0,14.450185024054123,1,1,6,139
288,3530780218,0.766,0.0,15.32,1,1,4,122
289,3764059752,0.7394630279720775,0.0,14.789260559441551,1,1,4,122
290,3977521413,0.7371875757003001,0.0,14.743751514006004,1,1,4,122
291,1476142923,0.7442564097223942,0.0,14.885128194447883,1,1,4,122
292,1925832626,0.7534704317826632,0.0,15.069408635653263,1,1,4,122
293,3163680529,0.766,0.0,15.32,1,1,15,128
294,1913086505,0.766,0.0,15.32,1,1,9,122
295,4076833129,0.7461308571563011,0.0,14.922617143126022,1,1,4,122
296,1060929535,0.721859183964092,0.0,14.43718367928184,1,1,7,122
297,2666985209,0.72,0.0,14.399999999999999,1,1,7,122
298,117017119,0.766,0.0,15.32,1,1,11,122
299,693298280,0.766,0.0,15.32,1,1,15,122
300,1001192284,0.7508633291464961,0.0,15.017266582929922,1,1,4,122
301,3769449411,0.766,0.0,15.32,1,1,16,169
302,902732378,0.766,0.0,15.32,1,1,41,122
303,1300866101,0.7439521908318028,0.0,14.879043816636056,1,1,4,122
304,1643600707,0.7403355604523613,0.0,14.806711209047226,1,1,4,122
305,4229504435,0.766,0.0,15.32,1,1,13,122
306,1765755647,0.766,0.0,15.32,1,1,21,131
307,3279457236,0.766,0.0,15.32,1,1,216,228
308,1299007327,0.72,0.0,14.399999999999999,1,1,20,124
309,3997351908,0.766,0.0,15.32,1,1,7,132
310,950039609,0.7295645399160323,0.0,14.591290798320646,1,1,4,209
311,2370982,0.766,0.0,15.32,1,1,23,286
312,3398025390,0.731048248296592,0.0,14.62096496593184,1,1,9,122
313,3739405792,0.7307638413563555,0.0,14.615276827127111,1,1,4,122
314,1386750171,0.766,0.0,15.32,1,1,11,267
315,2205668571,0.766,0.0,15.32,1,1,4,125
316,1074949440,0.766,0.0,15.32,1,1,29,122
317,3799637968,0.766,0.0,15.32,1,1,27,122
318,1270977493,0.736934468721822,0.0,14.73868937443644,1,1,4,122
319,1189832758,0.7615691690569262,0.0,15.231383381138524,1,1,4,201
320,1798130412,0.7417240438307299,0.0,14.834480876614597,1,1,4,122
321,3088007865,0.748956739191005,0.0,14.9791347838201,1,1,4,122
322,4029869257,0.72,0.0,14.399999999999999,1,1,13,123
323,3522576356,0.766,0.0,15.32,1,1,23,175
324,2740890359,0.7423297459484206,0.0,14.846594918968412,1,1,4,122
325,2896987215,0.7592851333088543,0.0,15.185702666177086,1,1,14,122
326,3321002440,0.766,0.0,15.32,1,1,11,122
327,4262515717,0.7616484862642038,0.0,15.232969725284075,1,1,20,122
328,1000328418,0.766,0.0,15.32,1,1,10,130
329,3321521200,0.766,0.0,15.32,1,1,132,144
330,2654878421,0.72,0.0,14.399999999999999,1,1,4,122
331,4261969521,0.766,0.0,15.32,1,1,6,122
332,328873486,0.72,0.0,14.399999999999999,1,1,95,122
333,3637726393,0.7657508972226335,0.0,15.31501794445267,1,1,4,122
334,2941421306,0.766,0.0,15.32,1,1,9,122
