time_step,region_1_entropy,region_2_entropy,region_3_entropy,region_4_entropy,region_5_entropy,region_6_entropy,region_7_entropy,region_8_entropy,global_entropy,lock_epoch
0,2.526819177497674,2.561363257179194,2.5581369259770166,2.587395111456303,2.543422306268728,2.505778409051163,2.593607204767586,2.5729293061880893,5.598028012063612,122
1,3.153162142956067,3.2090282297994834,3.1994016839111614,3.237180622286603,3.1826641276827283,3.135168384474413,3.2353700256803912,3.2137780023734654,5.597952844279617,122
2,3.7805270945380443,3.843324876992951,3.8324013248607507,3.8864009565801942,3.823447030823153,3.7656368671888005,3.8843165419012458,3.85260956432994,5.61226500557228,122
3,4.404595845851707,4.4839001246259516,4.469471397217484,4.533558367762096,4.465892344351705,4.3938189111546535,4.539200013247476,4.488436663653015,5.600385758355054,122
4,5.026752016365006,5.129941391493581,5.106368810635263,5.179828911938072,5.104687300137658,5.017948597287222,5.192925507357922,5.115780164925158,5.607381302828441,122
5,5.016306931162909,5.139481864828343,5.1114124860050625,5.193276934446198,5.10075653238129,5.016134280886389,5.197929510202648,5.096904578017714,5.609029887075191,122
6,5.005931680424077,5.151426754767493,5.113961377440487,5.1992892536448325,5.104525184683437,5.027916775332208,5.20992651302536,5.073146805776909,5.615809882969444,122
7,4.999429973422497,5.163070574813837,5.11657390637008,5.201348104551147,5.108156105157727,5.042508693236634,5.220936267525721,5.050356551572572,5.622323281039978,122
8,5.004215200754542,5.177490690407634,5.115868114756167,5.191866165271067,5.107064747453246,5.061654851434359,5.233012682439338,5.025169041689613,5.621095117805893,122
9,5.005919242707657,5.182815030674709,5.1084593531397084,5.187368862341353,5.100183447078429,5.086621473344558,5.244995073174163,4.998400881422143,5.619050826895129,122
10,5.008170322141065,5.209893668198733,5.102819274882767,5.191397972763475,5.093024002125891,5.107602600729071,5.249329752812501,4.974499491627016,5.619876125709711,122
11,5.018137636456877,5.233520315072761,5.094100163061655,5.201845565901516,5.0756466639141165,5.127217604025979,5.241820993444631,4.95845366272608,5.622129385651446,122
12,5.027387565989277,5.24672202257165,5.085240105019105,5.213519306674157,5.056928349684277,5.149765281329806,5.231697107968442,4.948247155483611,5.631253214515829,122
13,5.03412520887545,5.261571231158458,5.069338301430408,5.217257226389244,5.043962063481229,5.162097695689933,5.214861528207126,4.947932241424924,5.632496308306952,122
14,5.039908673537001,5.268674962824307,5.063136965509503,5.219038077368772,5.020458244837712,5.168866456933276,5.190256357252375,4.9427264273828895,5.6326194705812,122
15,5.055537002985455,5.276507801491339,5.044548970003996,5.21713403482709,5.004075133992169,5.176543060690736,5.172815928762433,4.9379088424806925,5.634399517978549,122
16,5.060964747570477,5.286390757585175,5.029721285047829,5.224082021201041,4.9973772564058665,5.170907243091457,5.156730051586928,4.93442349379904,5.6368290322512085,122
17,5.073712983277362,5.293381668114709,5.025244183981541,5.228771765845087,4.9958916082465565,5.16543174545247,5.1463434501103595,4.9301317309292125,5.646380074500488,122
18,5.0758390393700665,5.295251805524378,5.023454060914559,5.2290820288852835,4.996336201064512,5.155684472847924,5.137837984020964,4.925037587645064,5.647198287269517,122
19,5.063289794859145,5.299704655648511,5.0164870211978805,5.216710587516363,5.0144925697184135,5.1493778750045305,5.132026436007811,4.913955587656136,5.655066236746659,122
20,5.051656174385999,5.309270140679638,5.007285254700955,5.211425608212244,5.03618960933736,5.1508978553472025,5.12959439355732,4.908809490227991,5.644356757452044,122
21,5.037536108152677,5.312439431095307,5.002131045511383,5.208354860062457,5.066854555735804,5.153100707237487,5.130048972087215,4.898133703815593,5.663622158758301,122
22,5.0278953455066935,5.308863315199654,4.99050313820085,5.198251661943096,5.09834601504922,5.158272598048876,5.129788985359022,4.892787125551828,5.652282539006682,122
23,5.010711644704729,5.295784361951737,4.981542675486027,5.187718066737251,5.125779467599842,5.155099769709328,5.13836289612318,4.889941067620613,5.663105038226848,122
24,4.989026739991663,5.278651044868193,4.9791154768264745,5.1700374795422235,5.146122498082546,5.1561024207675805,5.147696280562783,4.881556206904039,5.667461746938685,122
25,4.961679620177334,5.256552997354912,4.974757719177093,5.151160565705257,5.171173503628902,5.1485824642422084,5.1496387679255395,4.883120295877782,5.6641889067891364,122
26,4.94056817304534,5.223969077195362,4.977762597986341,5.136264123539858,5.194144395358952,5.147278739055807,5.136433371847659,4.892201428334143,5.666336463827808,122
27,4.927214392433681,5.185125396740595,4.981099916142718,5.128653113204033,5.208441954667949,5.1418148004430915,5.126790316761186,4.90908396919567,5.659800707558079,122
28,4.91317756708213,5.144409906259322,4.9836141104694915,5.113996361679729,5.225672885154702,5.132780033809411,5.116329109735107,4.922934172760862,5.665524991374959,122
29,4.8995759797835765,5.102134993816858,4.981466100493121,5.09937953281028,5.23129168142465,5.122669213821951,5.101430127210142,4.929470399812948,5.676071099146147,122
