# TQE Heisenberg Fluctuation - Final Energies
# Run: TQE_Heisenberg_Fluctuation_20251101_054309
# Timestamp: 20251101_054309
# Master Seed: 1964260773
# N_Ensemble (NO-LAW): 100
# N_Ensemble (WITH-LAW): 100
# Reproducibility: Set MASTER_CTRL['SEED']=1964260773 to reproduce this run
no_law_final_energy,with_law_final_energy
6.264261150139827095e+00,8.837032108652092433e+00
4.134304702537598075e+00,5.819741352840752668e+00
3.439920311769882666e+00,4.796569503053275341e+00
5.465380598022758107e+00,7.756010839239544374e+00
5.470410141435054996e+00,7.784539935089819451e+00
7.562829434073939261e+00,9.861916637030816446e+00
1.215076356905895238e+01,1.282220376293072484e+01
4.195280711778369920e+00,5.859236614395483045e+00
5.477027177124409896e+00,7.608889372907986726e+00
4.791519910599779664e+00,6.758141347137238242e+00
7.433553441549342722e+00,9.965624767593826761e+00
3.737567662645684408e+00,5.446945398535879335e+00
5.159585853415248557e+00,7.381839708825503443e+00
8.209113182245113549e+00,1.050472340490147616e+01
4.716420055809020795e+00,6.720809028444358901e+00
5.819271947153077384e+00,8.090363863878408779e+00
3.700484543035357454e+00,5.197149540582151950e+00
5.293684201092716535e+00,7.498358362484969675e+00
4.066611626471971164e+00,5.717256232097131630e+00
3.156833293320302936e+00,4.480847428325196447e+00
9.871816079091139784e+00,1.157394380844541004e+01
4.173512576449757816e+00,5.792155760352828864e+00
4.067397082841369027e+00,5.848617840336052254e+00
3.492692448511436787e+00,4.882115440892180303e+00
5.640622201160096161e+00,8.013240161396728567e+00
1.934871197984901592e+00,2.521098901148310034e+00
4.199074940731363448e+00,5.832667503661440378e+00
5.057372996230975915e+00,6.781951522743787208e+00
3.832361570001886264e+00,5.032898095840555364e+00
3.726738015870576515e+00,5.292057559362686625e+00
5.842996588408269076e+00,7.663024764535649958e+00
4.866096074732901400e+00,6.915379929393565384e+00
5.970908418785078275e+00,8.618209369838107037e+00
3.444932083705222858e+00,4.735651199851017346e+00
5.424152663608974301e+00,7.461866572671382869e+00
6.856997970761849359e+00,9.066259879273554034e+00
4.333535599220811108e+00,5.990822454997633884e+00
5.276297388630342589e+00,7.719199344677786456e+00
6.349390175171949480e+00,8.779601080001725677e+00
1.114965345649987505e+01,1.230641399099463840e+01
4.803191155698906201e+00,6.902249436257607229e+00
6.912731683508557268e+00,9.475177288403969555e+00
5.564058686958015087e+00,7.888030775541732709e+00
5.424127429385311672e+00,7.761313516812816005e+00
3.804052799150903219e+00,5.191771853964512573e+00
6.152668526582225184e+00,8.932314267790500750e+00
5.856634462846797007e+00,8.311441771275736912e+00
4.541248303313147439e+00,6.540753134565521876e+00
3.446254640648230172e+00,4.950807416974694064e+00
4.359891687379251479e+00,5.936859020212835958e+00
6.160216185769660235e+00,8.745491926493926371e+00
3.663495536013201992e+00,5.080874906237218269e+00
4.999993082676626344e+00,7.000077493643255266e+00
8.048731915849767660e+00,1.028520470790845565e+01
2.294089578474821867e+00,3.003361512456994564e+00
7.278367255888589682e+00,9.975079705536886721e+00
5.066700324255211996e+00,6.898181150104678139e+00
4.340642592150279810e+00,6.075058301909552760e+00
2.660667241494716340e+00,3.561923542822665656e+00
4.544227845623072248e+00,6.575827645556914014e+00
6.254040317331807763e+00,8.861177215049146128e+00
6.524120042848620571e+00,8.656900223487252077e+00
5.982095514118338286e+00,8.084946066626692129e+00
4.987335002216589430e+00,6.993838384231987781e+00
5.531205239773852256e+00,8.117213493620900167e+00
7.830246713330978992e+00,1.032925042870350829e+01
4.777434438309479781e+00,6.760639069537470291e+00
4.906883374675738096e+00,7.059383657240946519e+00
3.349425537417236143e+00,4.267356790331169769e+00
2.529532646399864859e+00,3.404122702796479771e+00
3.676247467368255695e+00,4.705271771410439285e+00
7.463298137759973194e+00,9.994624977083510942e+00
6.160611097324275143e+00,8.718312407219849902e+00
5.657115171069016846e+00,8.244832842798238914e+00
6.065571855926264355e+00,8.856133958601370537e+00
2.971661807114448273e+00,3.940835120203891151e+00
4.594675080337115247e+00,6.515200736496673528e+00
7.185177380981093265e+00,9.293831557502036489e+00
1.199139274271277245e+01,1.261759456590901252e+01
6.204410336675108439e+00,8.731976799095590991e+00
4.188950582817972723e+00,5.618008835234229892e+00
2.790126571290941992e+00,3.777244356866638952e+00
2.790544318776123855e+00,3.677522100941316374e+00
6.691812111402611229e+00,8.959448497566787850e+00
4.857475197429327096e+00,6.839116350991830906e+00
3.930730129423976926e+00,5.735072406931224442e+00
6.315058588496017755e+00,8.987297809641782820e+00
8.141512755898705933e+00,1.031546778844752055e+01
2.773661138211353183e+00,3.545846102979680392e+00
2.946139510985464227e+00,4.092566808586505012e+00
6.452175719410982779e+00,9.139444257529920179e+00
2.810721232501697475e+00,3.755881488592333284e+00
7.374093188810906696e+00,1.008046363210726781e+01
6.025352082859375180e+00,8.423654316599984426e+00
1.195185553975173320e+01,1.282530727929621506e+01
3.344087861285276908e+00,4.834878723641249820e+00
5.834584069000850803e+00,8.096566539077075575e+00
3.727516071083371685e+00,5.435740192724637154e+00
5.755205493663626548e+00,8.292941435035775299e+00
7.814515060475327957e+00,1.044752100292341979e+01
