group,n,stable_n,stable_ratio,lockin_n,lockin_ratio,eps
I <= 1e-12,10000,5362,0.5362,2476,0.2476,1e-12
I > 1e-12,0,0,,0,,1e-12
I <= 1e-09,10000,5362,0.5362,2476,0.2476,1e-09
I > 1e-09,0,0,,0,,1e-09
I <= 1e-06,10000,5362,0.5362,2476,0.2476,1e-06
I > 1e-06,0,0,,0,,1e-06
I <= 0.001,10000,5362,0.5362,2476,0.2476,0.001
I > 0.001,0,0,,0,,0.001
I <= 0.01,10000,5362,0.5362,2476,0.2476,0.01
I > 0.01,0,0,,0,,0.01
I <= 0.05,10000,5362,0.5362,2476,0.2476,0.05
I > 0.05,0,0,,0,,0.05
I <= 0.1,10000,5362,0.5362,2476,0.2476,0.1
I > 0.1,0,0,,0,,0.1
