universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,cold_min_z,cold_mean_z_topk,cold_count,cold_sigma_best,cold_flag,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
0,1552179872,5.136698681589436,0.0,5.136698681589436,1,1,800,911,,,,,0,,,0,0.0,0.0,0.0,5.136698681589436,1.6364105932707937,1.6364105932707937,0.1329,0.1329,
1,4017225178,17.191239294927595,0.0,17.191239294927595,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,17.191239294927595,2.8443999107419313,2.8443999107419313,0.6689,0.6689,
2,2044155609,23.230009319434174,0.0,23.230009319434174,1,1,433,779,,,,,0,,,0,0.0,0.0,0.0,23.230009319434174,3.1454449479632607,3.1454449479632607,0.7994,0.7994,
3,1884963644,15.732841631674333,0.0,15.732841631674333,1,0,803,-1,,,,,0,,,0,0.0,0.0,0.0,15.732841631674333,2.7557503512110135,2.7557503512110135,0.6297,0.6297,
4,2083633629,11.287900610698713,0.0,11.287900610698713,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,11.287900610698713,2.4237314096481524,2.4237314096481524,0.4597,0.4597,
5,1881000160,5.30146363186168,0.0,5.30146363186168,1,0,640,-1,,,,,0,,,0,0.0,0.0,0.0,5.30146363186168,1.6679829393889856,1.6679829393889856,0.1414,0.1414,
6,1395935658,8.898652615875159,0.0,8.898652615875159,0,0,-1,-1,,,,,0,,,0,0.0,0.0,0.0,8.898652615875159,2.185899873802659,2.185899873802659,0.3443,0.3443,
7,876156961,25.320907448737458,0.0,25.320907448737458,1,1,774,812,,,,,0,,,0,0.0,0.0,0.0,25.320907448737458,3.2316304358414465,3.2316304358414465,0.8272,0.8272,
8,1518438695,6.509894322800671,0.0,6.509894322800671,1,0,798,-1,,,,,0,,,0,0.0,0.0,0.0,6.509894322800671,1.8733232230321415,1.8733232230321415,0.2108,0.2108,
9,2827570634,10.254137518319652,0.0,10.254137518319652,1,1,858,986,,,,,0,,,0,0.0,0.0,0.0,10.254137518319652,2.3276812844594725,2.3276812844594725,0.4125,0.4125,
10,1424726018,5.150921706158712,0.0,5.150921706158712,1,0,724,-1,,,,,0,,,0,0.0,0.0,0.0,5.150921706158712,1.6391756707319016,1.6391756707319016,0.1333,0.1333,
