universe_id,seed,E,I,X,stable,lockin,stable_epoch,lock_epoch,cold_min_z,cold_mean_z_topk,cold_count,cold_sigma_best,cold_flag,angle_deg,aoe_align_score,aoe_flag,ft_acc_delta,ft_auc_delta,ft_r2_delta,abs_E_minus_I,logE,logX,E_rank,X_rank,dist_to_goldilocks
0,415365546,3.8844586097223437,0.6287868611358418,2.1982468827774677,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,3.2556717485865017,1.356983620112375,0.7876601712290989,0.0773,0.2732,0.9632625966282701
1,1183809823,2.547021862596071,0.5336136955590369,1.223213173892596,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,2.013408167037034,0.9349247796263899,0.2014811455989148,0.0271,0.1033,1.0272608688805134
2,513883639,6.118500774850673,0.4382502691586041,2.4132911502828915,1,0,760,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,5.680250505692069,1.8113170950843676,0.8809914384126196,0.191,0.3117,0.9491477394159629
3,1628980970,12.157832003300083,0.47578229403698846,5.206033080941786,1,1,871,953,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,11.682049709263094,2.497973571440398,1.6498181609399654,0.493,0.6475,0.765840581130149
4,2309883969,17.421669230743166,0.3760150646245588,5.895729073499022,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,17.04565416611861,2.8577147894940587,1.77422820293235,0.6652,0.6998,0.7205710160876844
5,1238846704,32.54813016474428,0.4910736181331787,14.385175239123564,1,0,958,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,32.0570565466111,3.482719921989044,2.6661981790026203,0.8889,0.9418,0.16334937131011504
6,3141445797,12.223287730237915,0.08070811984740911,0.8878667139552663,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,12.142579610390506,2.5033429625850605,-0.11893364415172995,0.496,0.0515,1.0492719992099873
7,1073802079,6.948864117889013,0.388864008581655,2.4319468403743927,1,1,218,945,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,6.560000109307357,1.938578209944719,0.8886921054667463,0.2401,0.3154,0.9479232361781262
8,124318689,8.665778506202379,0.3380736308763035,2.636704083565501,1,1,598,817,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,8.327704875326075,2.1593817640484767,0.9695296839967925,0.335,0.3452,0.934483588219339
9,1067974277,5.496864857988835,0.2936556791542778,1.4527670247827948,0,0,-1,-1,,,,,0,,,0,0.0595999999999999,0.0563546603703142,0.3393374203181014,5.203209178834557,1.7041779038919118,0.3734700309089161,0.1583,0.1421,1.0121936463712284
