group,n,stable_n,stable_ratio,lockin_n,lockin_ratio,eps
I <= 1e-12,0,0,,0,,1e-12
I > 1e-12,10000,4263,0.4263,1698,0.1698,1e-12
I <= 1e-09,0,0,,0,,1e-09
I > 1e-09,10000,4263,0.4263,1698,0.1698,1e-09
I <= 1e-06,0,0,,0,,1e-06
I > 1e-06,10000,4263,0.4263,1698,0.1698,1e-06
I <= 0.001,0,0,,0,,0.001
I > 0.001,10000,4263,0.4263,1698,0.1698,0.001
I <= 0.01,0,0,,0,,0.01
I > 0.01,10000,4263,0.4263,1698,0.1698,0.01
I <= 0.05,3,0,0.0,0,0.0,0.05
I > 0.05,9997,4263,0.42642792837851357,1698,0.16985095528658598,0.05
I <= 0.1,71,11,0.15492957746478872,2,0.028169014084507043,0.1
I > 0.1,9929,4252,0.4282405076039883,1696,0.17081277067176956,0.1
