universe_id,E,I,X,stable,lockin,stable_epoch,lock_epoch,age_Gyr,vacuum_energy,quantum_correction,entanglement_entropy,information_bound,causal_scale,entanglement_density,error_correction_threshold,holographic_entropy,topological_defects,magnetic_field_strength,string_tension,string_density,wall_energy_density,wall_probability,pbh_mass_fraction
0,0.8,0.39591033814717513,23.126386086649156,1,1,4,138,305391684.58036417,0.791672827051774,1.7974301544123378e-07,0.274424134641249,0.2609770278194193,102.0,0.14853128507128857,0.09479551690735877,33979.16805374768,False,1.0172117565163603e-09,1.04e-06,0.09791820676294351,1.03e-12,0.047918206762943505,1.0095910338147176e-06
1,0.7727720376903904,0.2533196324040744,20.01519413708115,1,1,59,128,305391684.58036417,0.7537092686578586,1.1500693518603461e-07,0.17558778898136593,0.07821838047455092,101.4554407538078,0.09453760351430116,0.08766598162020373,33156.22305268112,False,9.596891936151922e-10,1.0291088150761562e-06,0.09506639264808149,1.0218316113071171e-12,0.04506639264808149,9.898863707784855e-07
2,0.6891479749275208,0.5650866968416742,23.95452004170055,1,1,129,148,361194701.4994993,0.6936334114598369,2.565489634632658e-07,0.39168825068773905,0.6572058054219533,99.78295949855041,0.2074320962640652,0.10325433484208371,33047.2784153065,False,1.013994048146361e-09,9.956591899710082e-07,0.10130173393683349,9.967443924782562e-13,0.05130173393683349,1.0043382646696716e-06
3,0.8,0.37673111601482906,22.781160088266926,1,1,110,130,305391684.58036417,0.7901384892811864,1.7103566206415773e-07,0.2611301108948804,0.2257111623856107,102.0,0.1413359323979616,0.09383655580074146,33916.4805169397,False,1.0111703015446711e-09,1.04e-06,0.09753462232029658,1.03e-12,0.047534622320296586,1.0076731116014828e-06
4,0.7138877252691248,0.4208250721548965,21.852605804170633,1,1,50,123,305391684.58036417,0.708235524355356,1.9105428718124922e-07,0.29169371227310203,0.3117931888801476,100.2777545053825,0.15524229554014513,0.09604125360774483,32920.102527084564,False,9.830264503341141e-10,1.00555509010765e-06,0.09841650144309794,1.0041663175807374e-12,0.048416501443097934,9.948600522693145e-07
5,0.7814002490971709,0.3210289445197525,21.406525983298963,1,1,33,150,305391684.58036417,0.767415446363826,1.457469153292141e-07,0.22252030777200155,0.14310821397257426,101.62800498194342,0.12000705640756626,0.09105144722598763,33488.806423416645,False,9.848235646299198e-10,1.0325600996388683e-06,0.09642057889039506,1.024420074729151e-12,0.04642057889039505,9.983829442714095e-07
6,0.7226910252600742,0.43614326110039237,22.304399205008547,1,1,49,125,305391684.58036417,0.718076156049562,1.9800873420338907e-07,0.30231147175195705,0.3455704548258219,100.45382050520149,0.16117463598304285,0.09680716305501963,33084.366430002796,False,9.919711447288453e-10,1.0090764101040296e-06,0.09872286522200785,1.0068073075780224e-12,0.048722865222007854,9.98152531162054e-07
7,0.7885050760268204,0.2972751576300882,21.121054357878,1,1,32,162,305391684.58036417,0.7725201193022792,1.3496271276537617e-07,0.20605543736180895,0.1163715659940783,101.7701015205364,0.11128019562440884,0.08986375788150441,33505.23019307416,False,9.807437586644657e-10,1.035402030410728e-06,0.09594550315260177,1.026551522808046e-12,0.04594550315260176,9.974285309683729e-07
8,0.8,0.37744861026689325,22.79407498480408,1,1,52,127,305391684.58036417,0.7901958888213515,1.7136140395064472e-07,0.26162744001276667,0.22696756297576426,102.0,0.14160511037343226,0.09387243051334467,33918.82565622769,False,1.0113963122340715e-09,1.04e-06,0.09754897220533787,1.03e-12,0.04754897220533787,1.0077448610266893e-06
9,0.7597010447195669,0.3380435039783519,21.27880396600167,1,1,51,205,305391684.58036417,0.7473971927968903,1.5347151337281445e-07,0.23431390168919927,0.16526487623229305,101.19402089439133,0.12583530134956838,0.0919021751989176,33258.13819419101,False,9.798132277515474e-10,1.0238804178878265e-06,0.09676087007956705,1.01791031341587e-12,0.04676087007956704,9.957445593417486e-07
10,0.7886568049205903,0.30658335306046014,21.29163645350009,1,1,14,147,305391684.58036417,0.7734028694412112,1.3918862695291986e-07,0.2125073867804722,0.12629013172068468,101.77313609841181,0.11476793202684984,0.09032916765302301,33537.517111782894,False,9.837312530880162e-10,1.0354627219682362e-06,0.09613166706120921,1.026597041476177e-12,0.046131667061209206,9.983896962901642e-07
11,0.781293845924661,0.39873520581973765,22.8031106232485,1,1,41,181,305391684.58036417,0.7733820898744743,1.810255033804603e-07,0.27638218370394063,0.26646196413802375,101.62587691849323,0.14905214375808393,0.09493676029098688,33739.52812483811,False,1.0090326540218994e-09,1.0325175383698643e-06,0.09797470411639475,1.0243881537773982e-12,0.047974704116394755,1.006132289766906e-06
12,0.7832792645362187,0.4049289509974703,22.95430640867884,1,1,4,124,305391684.58036417,0.7758325464020799,1.8383745934081824e-07,0.28067536071099275,0.2787419591434564,101.66558529072438,0.15142562835594747,0.09524644754987352,33786.01123854583,False,1.011930700511408e-09,1.0333117058144873e-06,0.09809857901994941,1.0249837793608656e-12,0.048098579019949406,1.0071487480069909e-06
13,0.7568209321774462,0.3659824993337543,21.724103631556503,1,1,69,127,305391684.58036417,0.7466782071992142,1.6615579764051107e-07,0.25367973754747386,0.20748128025118823,101.13641864354892,0.1361588214369696,0.09329912496668773,33310.06540172698,False,9.870629659914572e-10,1.0227283728709783e-06,0.09731964998667508,1.0170462796532337e-12,0.047319649986675094,9.979624363688646e-07
14,0.8,0.41717076541161857,23.509073777409135,1,1,26,122,305391684.58036417,0.7933736612329295,1.893952344864953e-07,0.2891607398570978,0.3040062656827494,102.0,0.15650743087624747,0.09585853827058094,34048.65803657893,False,1.0239087911046598e-09,1.04e-06,0.09834341530823237,1.03e-12,0.04834341530823238,1.0117170765411618e-06
15,0.65,0.40066577299137157,20.21198391384469,1,1,204,220,305391684.58036417,0.6435432752444392,1.819019795203997e-07,0.2777203508958403,0.2702524224232797,99.0,0.14591533932057413,0.09503328864956859,32024.429546693533,False,9.459447385999765e-10,9.8e-07,0.09801331545982744,9.85e-13,0.048013315459827434,9.80066577299137e-07
16,0.721552493457505,0.4312643608315974,22.19380836411886,1,1,6,147,305391684.58036417,0.7165928562743694,1.9579371690817447e-07,0.29892967578640867,0.3346214148743432,100.4310498691501,0.15933569506700443,0.09656321804157987,33053.90921652464,False,9.899333413162105e-10,1.008620997383002e-06,0.09862528721663195,1.0064657480372517e-12,0.04862528721663195,9.974369347746607e-07
17,0.7402847918671922,0.30848134629749335,20.358360070698723,1,1,71,134,305391684.58036417,0.7261069571977077,1.4005031454942966e-07,0.21382297544144363,0.12839929212560225,100.80569583734385,0.11439460724135561,0.09042406731487468,32909.00151674491,False,9.615295064573806e-10,1.0161139167468768e-06,0.09616962692594988,1.0120854375601578e-12,0.04616962692594987,9.889050930031877e-07
18,0.65,0.5951655816290254,23.71298046932246,1,1,99,126,305391684.58036417,0.6561857628058867,2.70204756030062e-07,0.41253734487247895,0.721448054103916,99.0,0.21674870590255363,0.10475827908145129,32623.309037152387,False,1.0028359326264902e-09,9.8e-07,0.10190331163258051,9.85e-13,0.05190331163258051,9.995165581629025e-07
19,0.7606903131323168,0.3555950777537429,21.614517662213707,1,1,7,125,305391684.58036417,0.7497055705801815,1.6143991553905267e-07,0.2464797255660014,0.19091908632733323,101.21380626264633,0.132394375092403,0.09277975388768715,33327.63127307482,False,9.857090828999353e-10,1.0242761252529266e-06,0.09711190155507486,1.018207093939695e-12,0.04711190155507486,9.976975704018376e-07
20,0.6717521649105614,0.47334930593304547,21.955330805006046,1,1,69,287,305391684.58036417,0.6699618987669769,2.149002524248122e-07,0.32810073682749746,0.43376483615528955,99.43504329821124,0.17314890387182363,0.09866746529665227,32532.2720469792,False,9.77993797896848e-10,9.887008659642246e-07,0.09946698611866091,9.915256494731684e-13,0.04946698611866091,9.91685363575417e-07
21,0.6514392232157613,0.5664998554552101,23.22578186250901,1,1,138,177,305391684.58036417,0.6557712846339316,2.5719053648124365e-07,0.39266777759639543,0.660382348897847,99.02878446431522,0.2063697409431473,0.10332499277276051,32553.96713749545,False,9.95185175548902e-10,9.805756892863045e-07,0.1013299971091042,9.854317669647283e-13,0.0513299971091042,9.969378301886731e-07
22,0.8,0.45905632004551494,24.26301376081927,1,1,67,122,305391684.58036417,0.7967245056036413,2.0841124687091149e-07,0.3181935939577726,0.39904717374090093,102.0,0.17222138087010588,0.09795281600227575,34185.561516277776,False,1.0371027408143373e-09,1.04e-06,0.09918112640091031,1.03e-12,0.0491811264009103,1.0159056320045513e-06
23,0.8,0.3434361855698135,22.181851340256642,1,1,43,160,305391684.58036417,0.7874748948455852,1.5591978702765245e-07,0.23805182372997838,0.17283909807300174,102.0,0.12884487488099683,0.09217180927849067,33807.65560405278,True,1.0006823984544912e-09,1.04e-06,0.09686872371139627,1.03e-12,0.046868723711396276,1.0043436185569814e-06
24,0.732452367822551,0.29241814450850667,19.91257395760414,1,1,84,141,305391684.58036417,0.7172479856653767,1.327576322196235e-07,0.20268881241064204,0.1114694414381595,100.64904735645102,0.10827057289313938,0.08962090722542533,32755.68090650467,False,9.52941148854673e-10,1.0129809471290202e-06,0.09584836289017014,1.0097357103467653e-12,0.045848362890170136,9.857322880153607e-07
25,0.65,0.5362422273002047,22.652360091403683,1,1,80,201,305391684.58036417,0.6523557447745133,2.434535945510773e-07,0.3716947879503222,0.5896266713205988,99.0,0.19528986958467962,0.10181211136501023,32441.87961229208,False,9.856008514853102e-10,9.8e-07,0.10072484454600411,9.85e-13,0.050724844546004094,9.936242227300205e-07
26,0.8,0.31903792602063863,21.742682668371497,1,1,32,137,305391684.58036417,0.7855230340816511,1.4484299432905835e-07,0.22114023891289808,0.14068396900735516,102.0,0.11969152753143954,0.09095189630103194,33727.90957561712,False,9.929969466965012e-10,1.04e-06,0.09638075852041278,1.03e-12,0.046380758520412776,1.001903792602064e-06
27,0.71852851913249,0.43025371012948904,22.115137164980606,1,1,41,133,305391684.58036417,0.7135170492949257,1.953348821992732e-07,0.2982291461017113,0.3323749756777018,100.3705703826498,0.1588669533478549,0.09651268550647446,33010.91250740609,True,9.88146528285149e-10,1.007411407652996e-06,0.09860507420258979,1.005558555739747e-12,0.04860507420258978,9.96731074839447e-07
28,0.7540137488702405,0.3636175645282457,21.625391138913233,1,1,131,158,305391684.58036417,0.7437303257252293,1.6508211889988158e-07,0.25204048965482745,0.20361944743918728,101.08027497740481,0.13520470536415677,0.09318087822641229,33265.50191092966,False,9.849871648006116e-10,1.0216054995480962e-06,0.09727235129056493,1.0162041246610722e-12,0.047272351290564917,9.971645062268726e-07
29,0.7045888343026723,0.45945832066367276,22.362026457999555,1,1,83,151,305391684.58036417,0.7017323128442466,2.0859375486919988e-07,0.31847223955283205,0.40001159559479565,100.09177668605345,0.1691803248760737,0.09797291603318364,32919.69955662968,False,9.901040074931142e-10,1.001835533721069e-06,0.09918916641327347,1.0013766502908017e-12,0.04918916641327346,9.968635989269016e-07
30,0.7516581157685397,0.3858123346476138,21.977784339027842,1,1,25,181,305391684.58036417,0.7430751072302614,1.7515852894501967e-07,0.26742473198624356,0.2419759717897158,101.0331623153708,0.14339126945259625,0.09429061673238069,33305.67475311932,False,9.906879503331373e-10,1.020663246307416e-06,0.09771624669295229,1.0154974347305617e-12,0.047716246692952276,9.989128566184693e-07
31,0.7662853658637042,0.32318288580058185,21.142999261684558,1,1,280,293,305391684.58036417,0.7527361291591776,1.4672480315783581e-07,0.2240133060979001,0.14576991274698745,101.32570731727408,0.12045810251816201,0.0911591442900291,33296.82182961152,False,9.78339490606176e-10,1.0265141463454816e-06,0.09646365771601165,1.0198856097591113e-12,0.04646365771601164,9.95575361752799e-07
32,0.7425789267647767,0.3900947014836479,21.873283162001194,1,1,6,126,305391684.58036417,0.7344175909029732,1.771027204807511e-07,0.27039304248476403,0.24991737851119766,100.85157853529554,0.1447247138919377,0.0945047350741824,33199.74737779503,False,9.876159263789945e-10,1.0170315707059108e-06,0.09780189402967296,1.012773678029433e-12,0.04780189402967296,9.975252555013203e-07
33,0.8,0.43865452411458694,23.89578143406257,1,1,24,175,305391684.58036417,0.795092361929167,1.9914884584798464e-07,0.30405214662989044,0.35127152408292983,102.0,0.16456736258514654,0.09693272620572935,34118.877981119585,True,1.030676175096095e-09,1.04e-06,0.09877309048229174,1.03e-12,0.04877309048229174,1.0138654524114587e-06
34,0.7968033265094537,0.2477721461008619,20.395965160004586,1,1,6,129,305391684.58036417,0.7767057272069363,1.1248838030079265e-07,0.17174256449109926,0.07431105481745448,101.93606653018907,0.09289803625121167,0.08738860730504311,33453.000390145084,True,9.69070832790619e-10,1.0387213306037814e-06,0.09495544292201724,1.029040997952836e-12,0.04495544292201724,9.941378799119769e-07
35,0.7213989498266546,0.3516461818291938,20.75761026945858,1,1,6,138,305391684.58036417,0.7106967209635352,1.5964711956291378e-07,0.24374255948957557,0.18489359256547327,100.42797899653308,0.12991586598924793,0.0925823090914597,32799.614416289005,False,9.657171370753412e-10,1.008559579930662e-06,0.09703292363658389,1.0064196849479964e-12,0.04703292363658388,9.894444081482502e-07
36,0.8,0.35089328175256984,22.31607907154626,1,1,22,122,305391684.58036417,0.7880714625402057,1.5930530345694478e-07,0.24322068892422027,0.18376160319950138,102.0,0.13164250851720985,0.0925446640876285,33832.029219844466,False,1.0030313837520596e-09,1.04e-06,0.0970178656350514,1.03e-12,0.0470178656350514,1.005089328175257e-06
37,0.6762510502794467,0.3939711963531283,20.616502539945245,1,1,85,134,358808853.7163785,0.6690808412968396,1.7886264642874152e-07,0.27308002397399944,0.2572544144018218,99.52502100558893,0.14424386047805518,0.09469855981765642,32344.164528735462,False,9.566945949546728e-10,9.905004201117786e-07,0.09787942392706257,9.92875315083834e-13,0.04787942392706257,9.84647329691202e-07
38,0.8,0.4373802793773841,23.872845028792913,1,1,44,137,305391684.58036417,0.7949904223501907,1.9857033963229244e-07,0.303168907482955,0.3483733090190877,102.0,0.16408931190024195,0.09686901396886921,34114.713095634936,False,1.0302747880038761e-09,1.04e-06,0.0987476055875477,1.03e-12,0.048747605587547684,1.0137380279377382e-06
39,0.7116649613776884,0.42394288550177006,21.86427116658563,1,1,70,126,305391684.58036417,0.7062522430325002,1.924697722508552e-07,0.29385481580399964,0.31852227729972965,100.23329922755377,0.15632330088015212,0.0961971442750885,32900.761278612394,False,9.828822658439073e-10,1.0046659845510753e-06,0.09847885771003541,1.0034994884133066e-12,0.048478857710035406,9.947272808257147e-07
40,0.7154929580277122,0.4222705744150626,21.910729500025372,1,1,37,135,305391684.58036417,0.709931472363956,1.9171054419207976e-07,0.2926956580892292,0.3149033286422803,100.30985916055424,0.15582526762533552,0.09611352872075313,32945.75448912774,False,9.84247012529159e-10,1.006197183211085e-06,0.09844541148830126,1.0046478874083136e-12,0.048445411488301254,9.953256490470487e-07
41,0.7124791659362819,0.45970658095609207,22.524301775935296,1,1,107,122,305391684.58036417,0.7096083437769695,2.087064648675864e-07,0.3186443204745675,0.40060757368815875,100.24958331872564,0.16953816063734925,0.0979853290478046,33024.36888794428,False,9.940761330156102e-10,1.0049916663745128e-06,0.09919413161912184,1.0037437497808844e-12,0.04919413161912184,9.984664912828655e-07
42,0.7532357007716981,0.3639544303825504,21.61589376231987,1,1,14,122,305391684.58036417,0.7429882627749296,1.6523505576112972e-07,0.2522739872719657,0.20416624969778088,101.06471401543395,0.13530935039036748,0.09319772151912753,33256.34143014372,False,9.847178073152938e-10,1.0212942803086792e-06,0.09727908860765101,1.0159707102315094e-12,0.04727908860765101,9.970425831925945e-07
43,0.8,0.3895894961968205,23.01261093154277,1,1,8,142,305391684.58036417,0.7911671596957457,1.768733576353751e-07,0.27004286086459567,0.248971524369808,102.0,0.1461599330575665,0.09447947480984104,33958.50829968226,False,1.0152206913019985e-09,1.04e-06,0.09779178992393642,1.03e-12,0.047791789923936415,1.008958949619682e-06
44,0.8,0.34622404642047083,22.232032835568475,1,1,61,131,305391684.58036417,0.7876979237136377,1.571854738957267e-07,0.23998422161840496,0.17686120841245936,102.0,0.12989077976109153,0.09231120232102355,33816.76776347641,False,1.0015605746224485e-09,1.04e-06,0.09692448092840943,1.03e-12,0.04692448092840942,1.004622404642047e-06
